#符号说明：-白=文/书*俗?待考	
#调值	[1]²²⁴ [2]⁴⁴⁵ [3]⁵⁵ [6]⁵³⁵ [7]⁵ [8]¹³ [0]⁰
#ɿ	
pʰ	[1]拼聘姘[2]贫频苹凭平坪评瓶屏萍[3]品並[6]病
m	[2]民明{清~}盟名铭[3]闽悯敏皿[6]命
t	[1]丁钉{名词；动词}疔订□{沉淀}[3]顶
tʰ	[1]听厅汀[2]亭停廷庭蜓[3]艇挺[6]锭定
l	[2]林淋临邻鳞磷陵凌菱宁灵零铃伶[3]领岭[6]令另
tɕ	[1]浸今{古~}金禁{~不住；~止}襟津进晋巾斤筋劲俊茎京荆惊鲸境敬竟镜竞精晶睛经径[3]锦紧仅谨景警井靖颈
tɕ	[1]揿{按}亲{~戚}亲{~家}清轻2青蜻[2]岑琴禽擒秦勤芹巡卿擎情[3]侵寝钦近庆请轻1倾
ɕ	[1]心辛新薪信讯欣兴{~旺}兴{高~}幸性姓星腥[2]寻晴形型刑邢□{~孙孙：重孙}[3]盡衅迅静醒□{些}[6]净
Ø	[1]毅音阴因姻洇印殷应{~当}鹰应{响~}莺鹦樱英婴缨[2]壬任{姓}淫人仁纫银寅仍扔孕迎盈赢莹荥营茔[3]饮忍刃引隐允影颖[6]任{责~}认

#uen	
ts	[1]肫均钧君军鳟[3]準准{批~}
tsʰ	[1]椿春[2]唇群裙琼[3]蠢菌[6]郡
s	[1]熏勋薰训[2]纯莼醇淳[6]顺舜
k	[1]□{熏}□{打~头：翻跟头}[3]滚棍
kʰ	[1]昆坤困{~难}睏{睡}[2]□{~柴：木柴}[3]捆
x	[3]混

#ɔm	
p	[1]崩绷迸[3]绑乓
pʰ	[1]胖碰[2]庞棚篷蓬{~菜}[3]棒蚌捧□{进}[6]蓬{茶~：茶树}□{遇}
m	[2]萌蒙[3]蟒网猛懵[6]梦[0]□{妈~：妈妈}
f	[1]放风枫疯1丰讽封1峰蜂锋[2]逢缝{动词}[6]凤奉1俸缝{名词}笐2
t	[1]东冻栋冬中{~秋}[3]董懂
tʰ	[1]通痛[2]同铜桐筒童瞳[3]桶捅动统[6]洞
l	[1]弄{~堂}[2]聋农脓隆浓龙砻咙[3]笼拢陇垄[6]弄{~送：捉弄}
ts	[1]桩棕鬃粽宗综中{~国}忠中{~风}终众踪纵冢缠锺盅种{~树}[3]总种{~类}肿
tsʰ	[1]疮聪匆葱惚{尖头扁担}囱充铳冲□{火~：烘篮}[2]丛虫穷1从{~容；跟~}重{~复}共1[3]仲宠重{轻~}[6]撞
s	[1]双{一~；~生}送宋嵩兄1胸1凶1[2]床{一~被}曾2{不~}崇熊1雄{英~}松{~树}㞞{精液}[3]𢱤{推}颂讼[0]裳1{衣~}
k	[1]缸杠扛豇公蚣工功攻贡{~枣}虹弓躬宫恭[3]讲贡{~献}供{~给；上~}拱巩
kʰ	[1]囥{藏放}空{~虚}控空{~缺}[3]孔恐共2
x	[1]放2烘风2疯2封2[2]曾1{不~}弘宏洪鸿冯[3]轰哄[6]笐1奉2{朝~：公公}缝2{名词}
Ø	[1]翁瓮塕[2]黄2红[3]□{推}[0]蟥{蚂~}

#iɔm	
tɕʰ	[2]穷2
ɕ	[1]兄2胸2凶2[2]熊2雄2{英~}
Ø	[2]荣戎绒雄{雌~}融茸容蓉熔庸[3]诵甬毛雍拥勇涌[6]用

#m̩	
Ø	[3]母{舅~}姆{~妈：妈妈}

#n̩	
Ø	[3]尔{你}

#əɭ	
Ø	[2]儿{文读}而[3]尔{文读}耳{木~}饵[6]二{十~}贰

#ɿʔ	
Ø	[7]瑟虱

#iʔ	
p	[7]臂笔毕必弼逼碧璧壁
pʰ	[7]匹胍{女阴}僻辟
m	[8]密蜜
v	[7]慰熨□{淹}
t	[7]得1德的{目~}滴嫡嘀{~子：一种像唢呐的乐器}扚{掐}
tʰ	[7]踢剔□{撒}[8]特{~为：故意}笛敌狄籴
l	[7]□{丢失}□{牧牛细骨~：牧童}□{痴胚~吸吸：傻不愣登}[8]裹1{哪~}立笠栗律率{效~}肋{~臭：狐臭}鳓力歷曆
tɕ	[7]急级吉戟积迹脊绩击激笄
tɕʰ	[7]契1杞缉{通~}辑七漆讫乞剧屐戚寂吃
ɕ	[7]吸悉膝戌恤蟋息熄媳惜昔锡析□{~得：知道}□{髓}[8]疾新藉席夕
Ø	[7]乙一逸益亦□{这}□{xɑʔ7~：怎么}[8]日译

#uʔ	
v	[7]恶{善~}握屋[8]镬斛

#yʔ	
tɕ	[7]橘
tɕʰ	[7]䶙
ɕ	[7]□{~嘴：亲嘴}□{~毽：键子}

#ɑʔ	
p	[7]百柏伯檗
pʰ	[7]泊{粱山~}迫拍魄□{掰}[8]拔1雹白
m	[7]□{张开嘴}[8]拇2袜茉麦脉
f	[7]法髮發[8]伐筏罚
t	[7]答搭褡跌拓{淋}
tʰ	[7]塔榻塌獭托[8]踏达
l	[7]□{揉}[8]腊蜡肋{~排骨：肋骨}辣落{~雨}烙骆酪洛络乐{快~}
ts	[7]札扎作雀{麻~}着{穿}酌摘责隻炙□{勺子}[0]着2{助词}
tsʰ	[7]插擦察拆策册赤斥尺[8]着{~火}泽择宅[0]着1{助词}
s	[7]撒杀栅[8]昨芍石
k	[7]蛤夹袂甲挟{~菜}格隔
kʰ	[7]𢈈{~宝：压宝}阔{~叶芥}客[8]轧
x	[7]吓瞎赫□{~iʔ7：怎么}[8]狭峡匣辖鹤学
Ø	[7]阿{~tsʰe⁰：喷嚏}鸦鸭押压轭□{折断}[8]岳额□{~络桌：一种桌子}

#iɑʔ	
tʰ	[7]帖贴铁[8]叠1碟1牒蝶谍
l	[7]裂[8]例猎列烈劣略掠{梳子}
tɕ	[7]爵脚觉{~悟}摭{捡}
tɕʰ	[7]恰切雀{~斑}鹊却□{湿}
ɕ	[7]屑削[8]嚼
Ø	[7]捏约液腋[8]惹箬诺若弱虐疟药钥乐{音~}

#uɑʔ	
k	[7]剐括刮
kʰ	[7]夸阔{开~}
Ø	[8]活滑猾割{~清界限}

#eʔ	
pʰ	[8]鼻{~头}□{~燕：蝙蝠}
tʰ	[7]脱
k	[7]虼
kʰ	[7]□{kʰɑ1~：蛤蜊} 
Ø	[7]黑

#ueʔ	
k	[7]骨国
kʰ	[7]屈{弯}

#əʔ	
p	[7]钵拨不北
pʰ	[7]泼勃□{香~：柚子}[8]荸
m	[8]末沫抹没墨默陌
f	[7]忽吻刎佛弗或惑[8]佛{拜~}
v	[8]悦阅月越日粤穴物域核{桃~}疫役
t	[7]掇得2{较小的坛子}
tʰ	[7]蜕突[8]夺特{~务}
l	[8]来{十~岁}纳粒垃捺捋勒呢2
ts	[7]者摺褶蛰执汁哲浙质卒则织职□{疖子}
tsʰ	[7]厕涉缉{~鞋底：纳鞋底}铡彻撤辙撮秩猝侧测[8]侄直值殖植
s	[7]些佘摄涩湿设失室塞色啬识式饰适释□{垃~：垃圾}[8]杂十什拾舌3折{~本}实贼食蚀
k	[7]合{十~一升}蛤鸽割葛革
kʰ	[7]咳磕瞌渴刻克
x	[7]喝[8]合{结~}盒颌核{~桃}核{审~}
Ø	[7]沃

#iəʔ	
p	[7]鳖憋
pʰ	[7]撇劈[8]别蹩{驱赶} 
m	[8]灭篾□{河~：蚯蚓}
tʰ	[8]叠2碟2
tɕ	[7]接劫给节结洁䥛即鲫羯□{捡} 
tɕʰ	[7]妾[8]及{~格}舌2杰极
ɕ	[7]洽胁薛泄揭歇蝎雪[8]协集习舌1绝
Ø	[7]靥噎[8]聂镊叶页业入热孽翼逆

#uəʔ	
ts	[7]蕨决诀
tsʰ	[7]缺出屈{委~}[8]掘{发~}
s	[7]刷说血率{~领}[8]術述秫
k	[7]㶁{裂}
kʰ	[8]掘{用力挖}

#oʔ	
