#汉字	音标	解释
#来源	/	林德威《Problems in Comparative Chinese Dialectology》
#声调	/	1阴平33 2阳平32 3阴上11ʔ 5阴去12 6阳去阴入35 8阳入43ʔ
勺	tsʰoʔ8	
赊	so1	
蛇	so2	
舍	soʔ3	训，呵斥
射	so6	
石	soʔ8	
栓	soʔ8	栓门
乌	o1	
哑	oʔ3	
鸭	o6	
家	ko1	
加	ko1	
豭	ko1	蚊~
枷	ko2	
假	koʔ3	
嫁	ko5	
价	ko5	
架	ko5	
隔	ko6	
蛤	ko6	训，青蛙
甲	ko6	天干；指甲；马甲
咬	koʔ8	
客	kʰo6	
咳	kʰoʔ8	
牙	ŋo2	
虾	ho2	虾；赤虾：婴儿
下	ho1	
夏	ho6	
下	ho6	一下
吓	ho6	
匣	hoʔ8	
合	hoʔ8	
麻	ma2	
痧	sa1	中暑
鸦	u1	鸦片
哕	ɔʔ8	干呕
搲	vo1	挖耳朵
瓦	voʔ3	
话	vo6	
划	voʔ8	
华	vo6	~坑：地名
瓜	ko2	
寡	koʔ3	
挂	ko5	
花	fo1	
画	fo6	
发	fo6	
法	fo6	
雕	tio1	
兜	tio1	下面
雕	tio1	修剪枝条
骰	tio2	
斗	tioʔ3	
昼	tio5	
斗	tio5	拼接
豆	tio6	
偷	tʰio1	
头	tʰio2	
敨	tʰioʔ3	
透	tʰio5	
跳	tʰio5	
毒	tʰio6	
稠	nio2	训
纽	nioʔ3	
楼	lɪo2	两层的建筑
留	lɪo2	
滤	lio5	训，过滤谷子
漏	lio6	
走	tsioʔ3	跑
馊	tsʰio1	
薮	sioʔ3	鸟窝
搜	sio1	从袋子里拿出
瘦	sio5	
瓯	io1	小杯子
呕	ioʔ3	蓝黑色；紫色
钩	kio1	
沟	kio1	
狗	kioʔ3	
厚	kʰio1	
够	kio5	
箍	kʰio1	
口	kʰioʔ3	
猴	hio2	
帮	poŋ1	一~人；帮助
膨	poŋʔ8	用在传统的玩具气球
绑	pog3	牛颈上放牛轭处的隆起
鸿	pʰoŋ2	~家山：地名
硼	pʰoŋ2	~沙
捧	pʰog3	
碰	pʰoŋ6	训，偷看
张	toŋ1	装入
塘	toŋ2	
堂	toŋ2	
肠	toŋ2	
长	toŋ2	
盪	tʰoŋ1	
丈	tsʰoŋ1	量词
当	toŋ5	典当
汤	tʰoŋ2	
糖	tʰoŋ2	
烫	tʰoŋ5	
瓤	noŋ1	
郎	loŋ2	
浪	loŋ6	
装	tsoŋ1	设置陷阱
庄	tsoŋ1	
从	tsoŋ2	训，蚂蚁，苍蝇聚集在肉上
壮	tsoŋ5	
撞	tsoŋ6	
藏	tsoŋ6	宝藏
仓	tsʰoŋ1	
疮	tsʰoŋ1	
床	tsʰoŋ2	
霜	soŋ1	
桑	soŋ1	本地没有
丧	soŋ1	丧事
张	tsoŋ1	姓氏；量词
章	tsoŋ1	
中	tsoŋ1	
涨	tsog3	
掌	tsog3	
丈	tsʰoŋ1	
帐	tsoŋ5	蚊帐
账	tsoŋ5	
胀	tsoŋ5	
长	tsoŋ6	剩余
扬	tsʰoŋ2	单脚跳
长	tsʰoŋ2	长江；长汀
杖	tsʰog3	拐杖
唱	tsʰoŋ5	
香	soŋ1	
乡	soŋ1	
伤	soŋ1	
尝	soŋ2	
响	sog3	~雷公
上	soŋ1	动词
向	soŋ5	
上	soŋ6	名词
尚	soŋ6	和尚
肮	oŋ1	~龟：乌龟
秧	oŋ1	
影	og3	
黄	voŋ2	
王	voŋ2	
黄	voŋ2	姓氏
抱	vog3	训
旺	voŋ6	火旺
缸	koŋ1	
光	koŋ1	
扛	koŋ1	端
江	koŋ1	
讲	kog3	
杠	koŋ5	训，用棍子打
降	koŋ5	霜降
钢	koŋ5	
□	koŋ5	用于蜜饯
糠	kʰoŋ1	
慷	kʰog3	
空	kʰoŋ5	一百~三：一百零三
方	foŋ1	姓氏；方形
荒	foŋ1	
房	foŋ2	
楻	hoŋ2	大木桶
行	hoŋ2	
网	miog3	
辆	lioŋ2	
量	lioŋ2	动词
梁	lioŋ2	
凉	lioŋ2	鸟睾丸
两	lioŋ3	两个；斤两
量	lioŋ6	名词
酱	tsioŋ5	酱油
浆	tsioŋ1	
浆	tsiog3	
痒	ioŋ1	
墙	tsʰioŋ2	
从	tsʰioŋ2	来自
抢	tsʰiog3	
匠	tsʰioŋ6	
像	tsʰioŋ6	
箱	sioŋ1	
相	sioŋ1	
厢	sioŋ1	一块菜地的量词
想	siog3	
鲞	siog3	
相	sioŋ5	样貌
象	sioŋ6	
洋	ioŋ2	大块低地
羊	ioŋ2	
煬	ioŋ2	融化
杨	ioŋ2	杨梅
养	iog3	训，灌满水
旺	ioŋ6	热闹
姜	kioŋ1	
疆	kioŋ1	上~：上牙
强	kioŋ2	训，用工具保持打开
拱	kiog3	作揖
强	kʰioŋ2	强迫
娘	ŋioŋ2	夫娘：妻子
让	ŋioŋ6	
婆	pɤ2	
宝	pɤʔ3	
驳	pɤ6	交换；连接
步	pɤ6	训，一段路的量词
薄	pɤʔ8	
藨	pʰɤ1	
浮	pʰɤ2	浮；油炸
□	pʰɤ5	粗鲁的冲进
粕	pʰɤ6	汤渣
雹	pʰɤʔ8	
毛	mɤ1	
摸	mɤ1	训，轻擦
冇	mɤ2	
磨	mɤ6	名词
帽	mɤ6	
戊	mɤ6	天干
刀	tɤ1	
逃	tɤ2	
倒	tɤʔ3	倒下；表示成功完成的动词后缀
到	tɤ5	
道	tɤ6	
啄	tɤ6	弯腰；点头；鸡啄食
择	tɤʔ8	
桃	tʰɤ2	
驼	tʰɤ2	
讨	tʰɤʔ3	
挪	nɤ2	训，踩到别人脚趾
糯	nɤ6	
□	lɤ2	训，锅巴
啰	lɤ2	
罗	lɤ2	
牢	lɤ2	建栅栏围住动物 ；
□	lɤ2	壁~：一种蜘蛛
佬	lɤʔ3	嘴~：嘴
老	lɤʔ3	
落	lɤʔ8	
糟	tsɤ1	
糟	tsɤ1	用于脏
□	tsɤ1	放蒸笼的架子
槽	tsɤ2	
早	tsɤʔ3	
枣	tsɤʔ3	
左	tsɤʔ3	
灶	tsɤ5	
□	tsɤ5	修剪
做	tsɤ5	
□	tsɤ5	用于开玩笑
桌	tsɤ6	
作	tsɤ6	作田；一起
搓	tsʰɤ1	
骚	tsʰɤ1	
草	tsʰɤʔ3	
糙	tsʰɤ5	
错	tsʰɤ5	
锉	tsʰɤ5	
凿	tsʰɤʔ8	
□	sɤ1	用于孕穗
梭	sɤ1	
唆	sɤ1	
锁	sɤ3	
嫂	sɤ3	
扫	sɤ5	
索	sɤ6	
朝	tsɤ1	
貂	tsɤ1	训，黄~狸：鼬
招	tsɤ1	招赘
照	tsɤ5	
烧	tsʰɤ1	热闹
笑	tsʰɤ5	
着	tsʰɤʔ8	正确
烧	sɤ1	脾气差；凶暴
少	sɤʔ3	
屙	ɤ1	
袄	ɤʔ3	
恶	ɤ6	小孩表现好
呃	ɤʔ8	打嗝
窝	vɤ1	山谷
高	kɤ1	
哥	kɤ1	下村用老伯
歌	kɤ1	
篙	kɤ1	
糕	kɤ1	
籇	hɤ2	抓捕运输动物的笼
果	kɤʔ3	
过	kɤ5	
告	kɤ5	盖章
钁	kɤ6	锄头
郭	kɤ6	
桷	kɤ6	
角	kɤ6	
搉	kɤʔ8	敲
考	kʰɤʔ3	
去	kʰɤ5	
壳	kʰɤ6	
倒	kʰɤʔ8	训，倒掉
蜈	ŋɤ2	
鹅	ŋɤ2	
熬	ŋɤ2	
饿	ŋɤ6	
豪	hɤ2	豪猪
何	hɤ2	
河	hɤ2	河溪：银河
好	hɤʔ3	
好	hɤʔ3	作~：一起
好	hɤ5	做~：开玩笑
货	hɤ5	
□	hɤ6	用于差不多
学	hɤʔ8	
礁	tsiɤ1	搁浅
曲	tsʰiɤ6	训，牙齿弯曲
赵	tsɤ6	
腰	iɤ1	
摇	iɤ2	
窑	iɤ2	
要	iɤ5	
摇	iɤ6	训，碗里摇晃液体
药	iɤʔ8	
钥	iɤʔ8	
轿	kiɤ6	
脚	kiɤ6	
窥	kiɤʔ8	训，窥探
攫	kʰiɤ6	从地上捡起
箬	ŋiɤʔ8	叶子
箬	niɤʔ8	训，~婆：鹰
尿	ŋiɤ6	尿；~䘆：蚯蚓
薸	pʰio2	
挑	tʰio1	托架
捞	lio1	
椒	tsio1	
蕉	tsio1	
匀	tsio2	训，均匀
醮	tsio5	
噍	tsio6	
樵	tsʰio2	
箫	sio1	*桥~：一种蜘蛛
箫	sio1	
硝	sio1	盐的沉积物
小	sioʔ3	
桥	kio2	
茄	kio2	
荞	kio2	
桥	kio2	~*箫：一种蜘蛛
缴	kioʔ3	赌博
夫	pu1	~娘：妻子
埔	pu1	训，干泥
烰	pu2	烤；水煮
菩	pu2	
符	pu2	
浮	pu2	~尘：灰尘
浮	pu2	训，一~粪
脯	pu2	
䊿	pu2	衣服的卷边
瓠	pu2	葫芦
浮	pu2	~竹：地名
补	puʔ3	
脯	puʔ3	
斧	puʔ3	
父	pʰu1	伯
妇	pʰu1	新妇
布	pu5	
孵	pu6	
步	pu6	
簿	pu6	
腐	fu6	豆腐
部	pu6	
铺	pʰu1	
殕	pʰu1	发酵
扶	pʰu2	
殕	pʰuʔ3	霉
殕	pʰuʔ3	灰暗的
潽	pʰu5	水溢出来
亩	muʔ3	
墓	mu5	
屠	tu2	
涂	tu2	糊涂
肚	tuʔ3	
堵	tuʔ3	正在
渡	tu6	
杜	tu6	
涂	tʰu2	~潭：地名
土	tʰuʔ3	
吐	tʰu5	
兔	tʰu5	
奴	nu2	
黸	lu1	铁锈
炉	lu2	
驴	lu2	本地没有
攎	lu2	用手抹
卤	luʔ3	
露	lu5	
路	lu6	
珠	tsu1	
抽	tsʰu1	鞭打（小孩）
蛀	tsu5	
筹	tsʰu2	解开绳子
仇	tsʰu2	
手	tsʰuʔ3	
臭	tsʰu5	
收	su1	
首	suʔ3	笛~：竖笛
守	suʔ3	
寿	su6	
乌	u1	
湖	u2	盆地
雨	uʔ3	
舞	uʔ3	
捂	u5	掩盖
芋	u6	
姑	ku1	
姑	ku1	耳~
菇	ku1	
珠	ku1	上~：地名
珠	ku1	锁眼
糊	fu2	
鼓	kuʔ3	凸出
久	kuʔ3	时间久；现在
古	kuʔ3	故事
鼓	kuʔ3	
牯	kuʔ3	
股	kuʔ3	翼~
跍	ku6	蹲下
舅	kuʔ8	
丘	kʰu1	一~田
枯	kʰu1	油饼
枯	kʰu1	枯萎
苦	kʰuʔ3	
杵	kʰuʔ3	
裤	kʰu5	
库	kʰu5	
吴	ŋu2	
夫	fu1	姐夫
糊	fu2	训，撇汤
胡	fu2	~蝇
壶	fu2	
胡	fu2	姓氏；胡椒
湖	fu2	文读
糊	fu2	
虎	fuʔ3	
赴	fu5	~墟
富	fu5	
副	fu5	一~棺材
戽	fu5	洒
傅	fu5	姓
傅	fu6	师傅
抽	tsʰu1	
绸	tsʰu2	
丑	tsʰuʔ3	地支
溜	liu1	蛇爬行
刘	liu2	
榴	liu2	石榴
吐	liuʔ3	训，吐痰
柳	liuʔ3	
遛	liu5	训，瓜夹
遛	liu6	训，一段木头或竹子的量词
啾	tsiu1	哭
酒	tsiuʔ3	
揪	tsiu5	训，弯曲，拧
就	tsiu6	
鞦	tsʰiu1	
须	tsʰiu1	
秋	tsʰiu1	
鳅	tsʰiu1	沙~：一种小鱼
泅	siu2	游泳
绣	siu5	
油	iu2	
酉	iuʔ3	地支
幼	iu5	细
右	iu6	
又	iu6	
九	kiuʔ3	
韭	kʰuʔ3	
旧	kiu6	
球	kʰiu2	
扭	ŋiuʔ3	
分	pæ1	给
本	pæʔ3	
粪	pæ5	
奋	pæ6	训，用前脚挖
潘	pʰæ1	泔水
㖹	pʰæ2	吹
坟	pʰæ2	
盆	pʰæ2	
喷	pʰæ5	泼洒
满	mæ1	训，溢出，满
蚊	mæ1	
门	mæ2	
问	mæ5	
钝	tæ1	
墩	tæ1	无法灌溉的山顶，用于地名
顿	tæ5	
顿	tæ5	捅；用拳头打
吞	tʰæ1	
填	tʰæ5	训，施肥
耸	næ1	训，耸肩
轮	læ2	训，竹鼠
轮	læ2	
撚	næʔ3	
沦	læ5	河谷的岭
蜦	læ6	一种青蛙
村	tsʰæ1	
寸	tsʰæ5	
孙	sæ1	
寻	sæ2	
笋	sæʔ3	
闩	sæʔ3	训
云	væ2	
浑	væ2	
炆	væ2	
稳	væʔ3	
混	væ6	打滚
揾	væ6	沾蘸料
裙	kuæ2	
混	kuæ2	训，用大量水煮
群	kuæ2	一~鸭子
滚	kuæʔ3	滚水
滚	kuæʔ3	滚动
棍	kuæʔ3	
棍	kuæ5	光棍：单身汉
薰	fæ1	烟；古田：薰
婚	fæ1	
分	fæ1	一~
粉	fæʔ3	
份	fæ6	
