#调值	［1］44［2］13［3］52［5］325
#ɿ	
ʦ [1]只{一~}知蜘支枝肢栀资姿咨兹滋辎之芝[3]紫纸姊脂旨指子梓滓止趾址 [5]掷炙滞制智只{~有}自致雉稚至字置痣治志痣执汁侄质直值织职殖植	
p [1]奔{~跑}[3]本[5]奔{~向}笨	
pʰ [1]喷{~水}烹[2]盆彭膨{~胀}棚[5]喷{~香 }	
m [2]门[5]闷	
f [1]昏婚分{~开}芬纷荤[2]魂馄焚坟[3]粉[5]浑{~浊}混粪奋愤忿份	
t [1]墩登灯[3]等[5]顿沌盾钝遁凳镫邓瞪	
tʰ [1]吞[2]屯豚臀囤腾誊藤疼	
l [2]论{~语}仑伦沦轮能[3]冷[5]嫩论{辩~}楞	
ʦ [1]针斟珍真曾{姓}增征{~求}蒸争筝睁贞正{~月}征[3]枕诊疹拯整[5]镇阵振震憎赠证症郑正政	
ʦʰ [1]参{~差}村称{~呼}撑[2]成城诚盛{~满了}沉岑陈尘辰晨臣存唇曾{~经}层澄乘承丞橙呈程[3]惩逞[5]趁衬忖寸蹭秤	
s [1]森参{人~}深身申伸娠僧升生牲笙甥声[2]神绳[3]盛{兴~}沈审婶损笋省{~长 }[5]渗葚甚肾慎剩胜圣	
ɹ [1]仍扔[2]任{姓}人仁[3]忍刃韧[5]壬任{责~}纫认	
k [1]跟根更{~换，五~}庚羹耕[3]哽耿[5]更{~加 }	
kʰ [1]坑[3]恳垦肯	
ŋ [1]恩	
x [1]亨[2]横{~竖}痕恒衡[3]很[5]横{蛮~}恨	
#in	
p [1]彬宾槟冰兵[3]禀丙秉柄饼[5]并殡鬓病	
pʰ [1]拼[2]瓶屏萍贫频凭平坪评[3]品[5]姘聘	
m [2]铭民鸣明名[3]闽悯敏抿皿[5]命	
t [1]丁钉{螺~}靪汀[3]顶鼎[5]钉{~住}订锭定	
tʰ [1]厅[2]亭停廷庭蜓[3]艇挺[5]听	
l [1]拎[2]灵零铃伶翎林淋临邻鳞磷陵凌菱[3]领岭[5]另赁吝令	
ʨ [1]经今金津巾斤筋京荆惊鲸精晶睛[3]颈锦紧仅谨景警井[5]劲径禁襟进晋尽近茎境敬竟静靖净	
ʨʰ [1]轻青蜻倾侵钦亲卿清[2]琴禽擒秦勤芹擎情晴[3]顷寝请[5]磬浸亲庆	
ȵ [2]宁凝[5]佞	
ɕ [1]星馨心辛新薪欣兴{~奋}[2]形型刑行{~为}[3]醒省{反~}[5]腥信讯迅兴{高~}杏幸性姓	
Ǿ [1]婴缨音阴因姻殷鹰蝇莺鹦樱英[2]盈赢吟淫银寅迎营萤荥[3]饮引隐尹影颖[5]荫印应硬映	
#uən	
ʋ [2]文纹蚊闻[3]吻刎[5]问	
t [1]蹲[5]盾	
ʦ [1]尊遵	
s [1]孙	
k [3]滚[5]棍	
kʰ [1]昆坤[3]捆[5]困	
Ǿ [1]温瘟[3]稳	
#yn	
ʨ [1]均钧君军[3]准[5]俊郡	
ʨʰ [1]春[2]醇群裙[3]蠢	
ɕ [1]熏勋薰[2]寻荀旬循巡纯[5]逊殉顺舜训	
Ǿ [1]晕[2]匀云[3]咏允[5]泳润闰熨韵运孕	
#ɑŋ	
p [1]帮邦[3]榜绑[5]棒蚌谤傍	
pʰ [2]滂旁螃庞[5]胖	
m [2]忙芒茫盲[3]莽蟒	
f [1]荒慌方芳[2]黄簧皇蝗肪妨房防[3]谎晃仿纺访[5]放	
t [1]当{~时}[3]党挡[5]当{典~}荡宕	
tʰ [1]汤[2]堂棠螳唐糖塘[3]倘躺[5]烫趟	
l [2]囊郎廊狼螂[3]朗[5]浪	
ʦ [1]赃脏张章樟[3]长涨掌[5]葬藏{西~}帐账胀丈仗杖障瘴	
ʦʰ [1]仓苍疮昌[2]藏{隐~}长{~短}肠场常尝偿[3]厂[5]畅唱倡	
s [1]桑商伤[2]裳[3]嗓赏[5]丧上尚	
ɹ [3]壤攘嚷[5]让	
k [1]冈刚纲钢缸[3]岗港[5]杠	
kʰ [1]康糠[2]扛[3]慷[5]抗炕	
ŋ [1]肮[2]昂	
x [2]行{~列}航杭	
#iɑŋ	
l [2]良凉量{打~}粮梁粱[3]两辆[5]亮谅量{数~ }	
ʨ [1]将{~来}浆疆僵姜缰江[3]蒋奖桨讲[5]酱将{大~}匠降{下~ }	
ʨʰ [1]枪羌腔[2]墙强[3]抢	
ȵ [2]娘[5]酿	
ɕ [1]相{~信}箱厢湘襄香乡[2]详祥降{投~}[3]想晌饷享响[5]相{~貌}象像向项巷	
Ǿ [1]央秧殃[2]羊洋杨阳扬疡[3]仰养痒[5]瓤样	
#uɑŋ	
ʦ [1]庄装桩[5]壮状撞	
ʦʰ [1]窗[2]床[3]闯[5]创	
s [1]霜孀双[3]爽	
k [1]光[3]广[5]逛	
kʰ [1]匡筐眶[2]狂[5]矿旷况	
Ǿ [1]汪[2]亡王[3]网枉往[5]忘妄望旺	
#əŋ	
p [1]崩	
pʰ [2]朋篷蓬	
m [2]盟蒙[3]猛懵{~懂}[5]孟梦	
f [1]风枫疯丰封峰蜂锋[2]逢缝{~衣服}[5]讽凤奉俸缝{一条~ }	
ʦʰ [1]聪匆葱囱丛	
#oŋ	
pʰ [3]捧	
t [1]东冬[3]董懂[5]冻栋动洞	
tʰ [1]通[2]同铜桐筒童瞳[3]桶捅统[5]痛	
l [1]聋[2]笼农脓隆浓龙[3]拢陇垅[5]弄	
ʦ [1]棕鬃宗中{当~}忠终踪钟盅[3]总仲冢种肿[5]粽中{射~}众纵重{轻~}种	
ʦʰ [1]充冲[2]虫崇从重{~复}[3]宠[5]铳	
s [1]松嵩[3]怂[5]送宋诵颂讼	
ɹ [2]融	
k [1]公蚣工功攻弓躬宫恭[3]汞拱巩[5]贡供共	
kʰ [1]空{~虚}[3]孔恐[5]控空{~缺 }	
x [2]宏虹弘红洪鸿虹冯[3]轰烘哄	
#ioŋ	
ʨ [3]窘迥	
ʨʰ [2]穷琼	
ɕ [1]兄胸凶[2]熊雄	
Ǿ [1]雍庸[2]荣戎绒茸容蓉[3]永拥甬勇涌[5]用	
#uoŋ	
Ǿ [1]翁[5]瓮	
