	注释：-白读，=文读																																																
p	[1]飞-[2]赔[4]背勃[5]辈焙[7]发{头～}																																																
pʰ	[1]坯-[2]皮陪[4]被{棉～}倍																																																
m	[2]梅媒糜{粥}枚煤[3]尾[5]妹																																																
t	[1]兜[3]短-[4]夺[5]袋																																																
tʰ	[2]颓[5]退[7]脱																																																
l	[2]雷螺{髻}[3]垒儡[4]捋[7]□{脱落}																																																
ts	[1]朘{男阴}[2]蛴[4]坐座																																																
tsʰ	[4]绝[7]□{刀切}																																																
s	[1]衰蓑[7]屑率																																																
k	[1]乖[3]拐馃傀[5]怪绘髻-																																																
kʰ	[1]开[5]快[7]窟																																																
h	[1]灰[2]□{陶瓷}槐怀[3]火[4]核[5]坏																																																
∅	[1]歪煨[2]禾-																																																
#yɛ																																																	
tʃ	[5]啄[7]拙																																																
tʃʰ	[1]吹炊[7]啜																																																
ʃ	[2]螺-脶[4]笠-[5]税说{游～}[7]说{小～}血																																																
k	[1]饥-{饥饿}[4]□{稠}[7]决诀□{阉割}																																																
kʰ	[7]缺																																																
ŋ	[4]月																																																
∅	[4]越□{裂开}[5]魏秽{杂草}[7]悦阅																																																
#ɒ																																																	
p	[1]爸巴芭疤包[2]爬琶杷耙[3]把饱[4]白[5]霸坝豹[7]百伯柏																																																
pʰ	[4]雹□{沸起}[5]怕帕脬																																																
m	[1]□{用手抓}[2]麻嫲猫茅矛[3]马妈码[4]𢫦{打}麦																																																
t	[2]条[4]踏达[5]□{提}[7]答搭																																																
tʰ	[1]他[4]沓[7]塔塌																																																
l	[1]拉{拖～}[2]拉{～屎}[3]那哪了-[4]纳搦{抓}蜡腊[5]闹																																																
ts	[1]查-渣糟=[2]茶[3]爪找={～钱}[4]杂[5]榨乍炸诈罩[7]扎紮眨																																																
tsʰ	[1]岔差叉抄[2]柴[3]炒吵[7]册插																																																
s	[1]纱痧[2]□{人}[4]煠[5]找-																																																
k	[1]家加佳嘉像痂胶铰[3]假{真～}绞搅[4]咬[5]架驾嫁价教假{放～}[7]甲裌隔膈																																																
kʰ	[1]骹{脚}[3]巧[4]徛{站立}喀[5]敲[7]客																																																
ŋ	[2]牙芽衙[3]雅[4]岳																																																
h	[2]虾暇霞何[3]□{物件}[4]学下{放～}[5]夏厦孝酵[7]洽																																																
∅	[1]阿鸦[3]哑拗[4]下{～山}[5]□{单头挑}[7]鸭押压轭																																																
#iɒ																																																	
t	[4]籴[5]□{撞}																																																
tʰ	[7]拆□{捕鸟器}																																																
l	[4]历坜[7]烈-{快}																																																
ts	[1]□{一种野菜}[2]斜[4]籍藉[5]谢{姓}[7]迹脊只{鸟}																																																
tsʰ	[4]□{踩踏}[7]刺-{织网}																																																
s	[2]邪[3]写[4]翼-{翅}[5]谢{感～}卸[7]削																																																
tʃ	[1]遮[3]者纸-[5]蔗[7]只{一～}																																																
tʃʰ	[1]车[2]勺{舀}[7]赤																																																
ʃ	[1]赊[3]捨[4]社[5]射舍麝[7]吓																																																
k	[4]剧-[7]隔-																																																
∅	[1]丫[2]耶爷椰[3]野也冶[4]疫役[5]夜																																																
#a																																																	
p	[3]摆[5]拜败[7]北																																																
pʰ	[5]派[7]迫																																																
m	[3]□{躲藏}[4]脉密-陌默墨[5]迈																																																
t	[1]呆[2]台挃{～唔～}[4]直特待怠[5]代袋=带戴贷[7]德得-																																																
tʰ	[1]苔{舌～}胎[2]抬[5]太态[7]踢																																																
l	[2]来[3]乃[4]□{做事慢}[5]耐奈赖濑癩																																																
ts	[1]灾栽[2]才财材裁豺=脐[3]宰仔[4]在截[5]再载[7]宅则																																																
tsʰ	[1]猜[3]采彩睬[4]贼[5]蔡菜[7]漆擦																																																
s	[5]赛婿[7]锡塞																																																
h	[3]海[5]害[7]黑□{植物茂密}																																																
∅	[1]哀[3]蔼[5]爱																																																
#ia																																																	
tʃ	[1]爹{称父}[3]□{秕谷}[4]泽择宅[7]仄侧-																																																
tʃʰ	[7]赤=策测厕																																																
ʃ	[1]狮-[2]豺-[3]使-[4]笠-力-{勤～}[5]事-{话～}[7]色蝨虱																																																
k	[1]□{欠}[3]改解[5]盖界介疥=[7]格革结{编织}																																																
kʰ	[1]开={十六～}[3]楷凯恺[7]刻级{石～}																																																
ŋ	[4]额逆-[5]□{忍耐}																																																
#o																																																	
p	[4]跋{跌倒}[7]发-{～芽}拨																																																
pʰ	[2]跑[5]破[7]泼																																																
m	[2]磨摩魔蔴-[4]末袜沫[5]骂[7]抹																																																
t	[2]陀[3]朵[4]舵[5]大																																																
tʰ	[1]拖[3]妥椭																																																
l	[2]箩锣[4]辣																																																
ts	[4]□{蟑螂}																																																
k	[1]瓜[3]寡剐[5]挂卦芥[7]萬割刮																																																
kʰ	[1]夸誇垮[5]靠[7]阔扩																																																
ŋ	[5]外																																																
h	[1]花[2]华怀哗[4]活伐乏罚滑=阀猾[5]化画话=[7]发=法																																																
∅	[1]蛙娃[3]瓦[4]划[5]话{～事}																																																
#yo																																																	
tʃ	[1]抓[3]纸																																																
tʃʰ	[4]□{齿不正}[5]□{丢失}																																																
ʃ	[1]□{丑陋}[2]蛇[3]□{骗人}[4]舌[5]帅[7]杀煞																																																
k	[3]□{轻佻}[4]□{单头挑}[5]寄-																																																
kʰ	[4]崎{山陡}[7]缺																																																
ŋ	[2]鹅-蛾{～火}[3]蚁-[4]热[5]艾																																																
#ɯ																																																	
k	[1]哥歌锅戈高膏篙羔糕[3]果裹稿[5]过告[7]各阁郭廓鸽觉角=																																																
kʰ	[1]科柯棵窠[3]可考洘[5]课去-[7]确渴																																																
ŋ	[2]鹅=蛾=俄娥[3]我=[4]乐{音～}[5]卧傲[7]额{～头}																																																
h	[1]教{～书}[2]何=河和豪[3]好[4]祸合匣盒鹅获[5]贺货号好{爱～}[7]喝霍																																																
∅	[1]窝[3]袄[5]坳邀[7]恶{善～}																																																
#ø																																																	
pʰ	[3]否剖																																																
m	[2]谋[3]某亩牡[5]茂贸																																																
t	[1]雕[2]投[3]斗抖陡[5]门豆痘逗																																																
tʰ	[1]偷□{柚子}[2]头[3]敨{解开}[5]透毒-{～杀}																																																
l	[1]搂{挖掘}[2]牢楼流[3]篓[5]陋漏																																																
ts	[1]糟[2]□{均匀}巢=[3]走[5]灶奏骤																																																
tsʰ	[2]愁[3]娶-巢-[5]凑																																																
s	[4]扫{～帚}[5]扫{～地}																																																
tʃ	[1]邹[5]昼=皱																																																
ʃ	[1]搜[2]留-[3]叟[5]瘦[7]涩																																																
k	[1]沟阄钩勾[2]猴[3]垢苟[4]厚[5]购够選到构																																																
kʰ	[1]箍抠[3]口[5]扣寇																																																
ŋ	[3]偶藕																																																
h	[2]侯喉=[3]吼[4]後后[5]候[7]熻{焖}																																																
∅	[1]瓯欧殴[2]喉-[3]狗[4]呕																																																
#aɯ																																																	
p	[1]波玻菠[2]婆袍[3]保堡宝[4]薄爆瀑[5]哺报暴[7]剥=驳搏{交换}																																																
pʰ	[2]浮[3]颇[4]抱[7]拍朴																																																
m	[2]无{没有}[4]幕膜[5]磨{石～}帽																																																
t	[1]多刀[2]逃陶涛萄[3]倒{打～}岛祷[4]道稻盗导[5]到倒{～水}																																																
tʰ	[1]滔[2]桃[3]讨[5]套透[7]托																																																
l	[1]□{烧焦}[2]罗脶=劳痨[3]老脑恼骆乐{长～}若落络[5]□{傻}[7]□{揉}																																																
ts	[2]曹槽遭[3]左早蚤枣[4]鉵浊皂[5]做造躁[7]作卓桌啄琢																																																
tsʰ	[1]搓操[3]草[5]糙[7]错																																																
s	[1]梭唆臊骚[3]锁嫂[5]燥[7]索嗍{吸}																																																
#iɯ																																																	
p	[1]标彪[3]表錶婊裱																																																
pʰ	[1]飘漂{～泊}[2]瓢嫖薸[3]漂{～白}[5]票漂{～洗}																																																
m	[2]苗描瞄[3]秒渺藐淼杪{木细}[5]妙庙																																																
t	[1]凋朝{今～}雕□{干枯}[2]朝{～代}潮调{～和}[4]赵兆着{～火}[5]钓调{～动}□{道路}吊																																																
tʰ	[1]挑超[5]跳粜																																																
l	[1]撩療[2]辽燎療寥寮膫{猪油}[3]了[4]略掠[5]料																																																
ts	[1]焦蕉椒礁[3]皎剿[4]嚼[7]借芍																																																
tsʰ	[1]锹缲[2]□{移动}[4]蓆[5]笑[7]惜-{得人～}																																																
s	[1]肖消稍萧宵霄箫销硝[2]泅[3]小[5]笑=少{～年}鞘[7]屑削=																																																
tʃ	[1]招昭浇[4]石-{一～米}[5]照[7]灼酌着={～落}																																																
tʃʰ	[1]烧[5]厝[7]尺																																																
ʃ	[1]靴嚣骚-[3]晓少{多～}[4]石=[5]邵绍[7]惜=																																																
k	[1]骄娇[2]乔侨桥荞茄[3]绞缴矫[4]挢[5]轿叫[7]脚觉{～悟}																																																
kʰ	[1]敲[4]藠[5]窍[7]却怯隙□{螫}																																																
ŋ	[2]尧饶[3]鸟=[4]弱箬{叶子}虐疟[5]尿																																																
∅	[1]腰要{～求}妖邀幺[2]摇窑姚谣[3]杳□{砍树}[4]药若钥[5]要耀鹞[7]约																																																
#ui																																																	
p	[1]杯[2]肥[5]吠贝痱[7]不																																																
pʰ	[1]丕[2]培裴[5]屁配沛																																																
m	[2]没=[3]每[4]勿没{淹～}[5]昧寐[7]□{烂}																																																
t	[1]堆追-[2]锤{动词}[4]□{塌}[5]对队坠碓戴-{～帽}																																																
tʰ	[1]推[2]锤{名词}槌[3]腿[4]突[5]蜕□{倒下}																																																
l	[2]螺=[3]累{积～}蕊[5]累{连～}锐类泪内[7]脱																																																
ts	[1]追=[3]嘴[4]罪[5]最碎赘醉缀[7]卒																																																
tsʰ	[1]崔催摧[5]脆=碎粹翠																																																
s	[1]虽[2]垂随隋[5]岁遂邃睡																																																
k	[1]圭归规[2]葵[4]滑-掘[7]骨国																																																
kʰ	[1]窥魁[4]血[5]块愧[7]窟																																																
ŋ	[2]危																																																
h	[2]回廻徊[3]悔毀燬[4]或惑佛[5]会汇[7]忽惚																																																
∅	[4]物[5]畏爱-																																																
#yi																																																	
tʃ	[1]椎锥																																																
tʃʰ	[5]喙[7]出																																																
ʃ	[1]飞=辉挥晖非霏□{（人）瘦}[2]谁垂[3]水匪[4]术述[5]废肺慧惠费穗[7]刷																																																
k	[1]龟[3]鬼轨[4]跪[5]桂季癸贵柜																																																
kʰ	[1]亏[3]豨{猪}[4]□{中风}[7]曲{～折}乞																																																
∅	[1]威[2]为{作～}维唯惟围违[3]委伟苇萎玮[4]域[5]位未味胃愄娟蔚慰[7]熨																																																
#ɑu																																																	
t	[1]都[2]徒图途涂[3]猪赌贮[4]苎独毒犊牍[5]杜度渡镀肚{猪～}妬[7]督笃剁-																																																
tʰ	[2]塗[3]土吐{～出来}[4]读毒{有～}[5]吐{呕～}兔[7]秃																																																
l	[2]奴努卢芦=庐炉[3]鲁虏櫓卤□{不爱}[4]鹿禄[5]怒路露[7]漉{玩水}																																																
ts	[1]租[3]祖组阻[4]族[5]助																																																
tsʰ	[1]粗初[3]楚础[4]簇凿[5]醋[7]撮																																																
s	[1]苏酥梳疏蔬[2]芦-{～苇}[3]所[5]露-素诉数塑[7]束速朔缩																																																
#iɑu																																																	
t	[1]丢[2]绸稠筹[4]纣宙																																																
tʰ	[1]抽[3]丑[4]柱-																																																
l	[1]溜遛[2]刘留=榴流=琉硫聊[3]妞扭柳[5]馏																																																
ts	[1]□{嚎叫}[2]□{摘}[3]酒[5]就																																																
tsʰ	[1]秋																																																
s	[1]修羞[5]秀锈绣袖																																																
tʃ	[1]周州洲舟鸠[3]帚[5]咒																																																
tʃʰ	[2]仇酬[3]手醜[5]臭																																																
ʃ	[1]收休[3]守首朽韭[4]受授[5]寿售兽嗅																																																
k	[2]球求毬逑[3]九久炙[4]舅[5]救究旧																																																
kʰ	[1]丘邱[5]翘																																																
ŋ	[2]牛[3]纽扭																																																
∅	[1]优优悠幽[2]由油邮尤犹游柔[3]有酉友诱[5]幼又釉右佑袖																																																
#ã																																																	
p	[1]彬宾滨槟冰兵[2]贫凭平=评萍屏频房[3]禀丙炳秉[4]并[5]鬓殡放-																																																
pʰ	[1]蜂[2]压冯蓬篷[3]品[5]缝{一条～}碰聘																																																
m	[2]民眠名=铭明盟冥蒙[3]蠓朦敏悯[5]命=闷梦																																																
t	[1]东冬丁[2]沉尘陈澄停-庭呈程橙筒[3]鼎=□{拳击}[4]动重{很～}[5]陈镇定订洞冻栋																																																
tʰ	[1]汀通[2]桐虫[3]挺艇桶统宠[5]趁痛听{～任}																																																
l	[2]林淋临鳞人燐邻灵铃翎零宁伶菱陵凌笼{鸡～}[3]耳忍扔领笼{箱～}[5]认赁另令吝弄																																																
ts	[1]津精□{稀}睛晶宗棕鬃[2]丛崇潈[3]总[4]尽烬静净[5]浸进晋粽																																																
tsʰ	[1]侵亲青清蜻葱[3]寝请=[5]倩																																																
s	[1]心芯新辛薪双鬆[2]蝇聋-[5]信{～件}迅讯性=姓=送诵																																																
k	[1]公工[3]港赶[5]贡摃□{弯腰}																																																
kʰ	[1]空=倾-{～倒}[3]孔恐[5]空{～缺}																																																
ŋ	[2]迎=																																																
h	[1]风丰封轰烘兴{～旺}馨[4]奉凤[5]巷兴{高～}																																																
∅	[1]翁[5]瓮唔{不}																																																
#iã																																																	
tʃ	[1]针斟箴真珍贞侦蒸征正{～月}徵[3]枕振震诊疹整[5]正{～面}证症政																																																
tʃʰ	[1]深称{～呼}[2]塍[5]秤称{相～}衬																																																
ʃ	[1]身娠升声申伸[2]臣晨承成{～功}辰城诚巫神[3]婶审沈[4]肾[5]甚剩慎圣盛胜																																																
k	[1]今金襟经京惊=荆鲸[2]禽擒琴琼[3]锦紧谨仅景境[4]妗腱[5]禁竟茎敬径劲																																																
kʰ	[1]钦轻=卿顷[5]庆磬																																																
∅	[1]音阴殷因烟鹧莺英婴[2]仁人=贏[3]饮引尹颖影-[5]任□{山头}纴印应孕砚																																																
#uã																																																	
p	[2]盆[3]本[5]笨粪																																																
pʰ	[2]□{吹气}[3]纺-[5]喷																																																
m	[2]门们[5]问闷																																																
t	[1]敦墩钝[2]屯{住宿}豚[3]盾[5]顿吨遁																																																
tʰ	[1]椿屯饨																																																
l	[2]银轮沦伦[5]论嫩蜦																																																
ts	[1]尊遵[2]存[3]准[5]俊圳																																																
tsʰ	[1]春[3]蠢忖[5]寸																																																
s	[1]孙[2]寻巡唇纯醇旬荀循[3]笋损爽榫[5]顺逊舜																																																
k	[1]斤军君均钧筋[2]群裙勤=[3]滚[4]近郡[5]棍																																																
kʰ	[1]昆坤[2]芹[3]菌綑稇恳垦[5]困□{不乖}																																																
h	[1]分=芬纷熏勋晕昏婚[2]魂坟焚[3]粉[4]混浑[5]忿训奋份忟																																																
∅	[1]温瘟[2]文浑-{水～}闻纹[3]稳吻刎																																																
#yã																																																	
∅	[2]云雲绒容荣莹萤营[3]永勇允[5]泳咏闰润运用韵																																																
#ɔ̃																																																	
p	[1]□{断奶}[5]病																																																
pʰ	[1]拼[2]棚彭膨[3]甏{大瓮}[5]冇{不实}																																																
m	[2]暝{夜晚}盲氓[5]骂																																																
t	[1]担耽[2]谈[3]胆[4]淡																																																
tʰ	[1]贪[2]潭谭坛痰[3]毯[5]探																																																
l	[1]拿[2]男南婪蓝篮[3]嚷览揽缆[5]□{用脚蹬}																																																
ts	[1]争[2]晴[3]井斩[4]錾[5]渐站暂																																																
tsʰ	[1]参青-生-{不熟}争-[3]醒惨[5]撑																																																
s	[1]三衫杉生-{～育}牲-{头～}[3]省-																																																
k	[1]柑泔监{～牢}江更-{三～}[2]含-[3]感橄减哽[5]监{～督}鉴降{下～}																																																
kʰ	[1]坑刚{～好}堪龛[3]坎砍[4]掐-																																																
ŋ	[2]岩																																																
h	[2]含=咸衔函涵降{投～}[3]喊[5]陷憾																																																
∅	[1]俺阿{词头}																																																
#iɔ̃																																																	
p	[2]平-{很～}[3]饼[5]併摒																																																
pʰ	[1]栟{木板墙}[2]平{铲～}[3]□{受纠缠}																																																
m	[2]名-[5]命-																																																
t	[3]鼎[4]籴[5]郑																																																
tʰ	[1]听厅[2]程{姓}呈[5]定-{～钱}																																																
l	[2]□{伸到水中的码头}[3]领岭																																																
ts	[1]精-{～美}[3]䭕{味淡}																																																
tsʰ	[3]请且[5]倩																																																
s	[2]□{引诱}[5]性-姓-																																																
tʃ	[1]正-{～月}[5]正-{～面}																																																
ʃ	[1]声-兄[2]成-{三～}[5]□{谷仓}																																																
k	[1]惊-[2]行-[3]颈[4]镜-																																																
ŋ	[2]迎-{～佛}																																																
∅	[2]营-贏-[5]暎{看}																																																
#ɛ̃																																																	
p	[1]崩斑斑颁[2]朋瓶[3]板扳反-版[5]办																																																
pʰ	[1]烹攀[5]瓣襻																																																
m	[2]闽蛮[3]猛[5]慢孟																																																
t	[1]登瞪灯钉疔[2]藤滕腾填亭停[3]点等顶[4]但[5]店旦凳																																																
tʰ	[1]蛏[2]□{筛酒}[5]替-																																																
l	[1]奶{母亲}[2]零[3]冷懒[4]唸																																																
ts	[1]曾僧增征[2]曾{～经}层[3]剪[5]攒赞憎赠																																																
tsʰ	[2]堘{田}塍{田}[3]筅{刷}																																																
s	[1]星[3]醒[5]鉎{铁锈}腥信-{相～}																																																
tʃ	[1]争=筝臻榛																																																
ʃ	[1]生=牲={三～}甥参{人～}森[2]鳞-[3]省=产陕																																																
k	[1]庚更=奸间-肩艰跟根耕[3]茧柬梗謙简耿[5]更{～加}间{～隔}																																																
kʰ	[1]牵轻倾=刊[3]恳肯[5]看																																																
ŋ	[2]黏拈凝[3]眼碾研软-[5]岸硬																																																
h	[1]亨[2]还-闲行{～为}舷衡恒痕[3]很罕狠[4]限恨[5]幸杏行{品～}苋																																																
∅	[1]恩缨[2]闲-{～话}[5]案按应{答～}																																																
#yɛ̃																																																	
ʃ	[1]山闩[3]散{药～}[4]卵[5]□{抽筋}																																																
#am																																																	
p	[1]帮邦坊枫[2]傍旁[3]榜绑[4]范[5]谤塝{田～}																																																
m	[2]忙盲																																																
t	[1]当中终[2]堂唐塘长-肠棠重{～复}[3]党涨{～水}[4]仲[5]当{典～}中{打～}																																																
tʰ	[1]汤滩摊[2]糖[2]倘捅{推}[5]烫																																																
l	[1]㝗{稀疏}[2]郎狼囊瓤浓龙[3]朗[5]浪																																																
ts	[1]庄装妆簪赃砧工从松-藏[4]□{按住}[5]葬壮状脏{内～}藏{西～}																																																
tsʰ	[1]仓疮窗囱[2]蚕床[3]惨[5]创																																																
s	[1]丧桑霜删[2]床-{蒸笼}[3]爽{斯～}[5]□{稀}																																																
k	[1]缸扛光冈[3]敢讲广[4]钢																																																
kʰ	[1]康糠慷[2]狂[3]矿[4]项[5]抗囥{藏}																																																
h	[1]凶胸汹[2]熊雄形																																																
#iam																																																	
t	[1]张[2]长=场=[3]长{队～}[4]丈杖仗[5]帐账胀长{余剩}																																																
tʰ	[5]畅																																																
l	[2]良凉量{衡～}粮梁粱[3]两[5]亮量{数～}谅																																																
ts	[1]将浆[2]墙[3]蒋奖桨[4]痒-[5]将酱匠颂{穿着}																																																
tsʰ	[1]枪鎗[3]抢[5]铳																																																
s	[1]箱相{互～}湘厢襄镶[2]祥详[3]想鲞[4]象像橡[5]相{～儿}上{～面}																																																
tʃ	[1]章钟锺樟春盅[3]种{～类}肿掌塚准[5]众种{～树}瘴圳																																																
tʃʰ	[1]春昌冲菖猖[3]厂[5]唱倡																																																
ʃ	[1]伤香乡商[2]熊常裳[3]赏饷响享偿[4]上{～山}[5]尚上=向顺																																																
k	[1]薑姜弓宫供=疆僵[2]强穷[3]强{勉～}颈[5]共供{上～}																																																
kʰ	[1]腔匡眶框[4]虹[5]□{燻}																																																
ŋ	[2]娘[3]壤仰[5]让																																																
∅	[1]央秧-殃拥癰痈[2]阳扬疡羊洋烊蛘{蛀虫}昔容溶融[3]养痒=勇涌[5]样漾																																																
#aiŋ																																																	
p	[1]边鞭蝙[2]便{～宜}[3]扁贬匾[4]辫汁辨辩[5]变便{～利}遍=																																																
pʰ	[1]篇编偏[5]骗遍-片																																																
m	[2]棉绵眠=[3]免勉娩[5]面麵缅																																																
t	[1]颠癫甜[2]传{～达}田缠[3]转典[4]佃惮[5]电殿店垫传{自～}																																																
tʰ	[1]天添[4]□{拣选}[5]䋎{缝}																																																
l	[2]廉镰簾联连莲[3]脸殓[5]恋练炼																																																
ts	[1]尖签煎笺[2]全泉钱[4]□{吮}錾[5]渐践箭溅贱荐战																																																
tsʰ	[1]签千铅迁歼竿[2]前[3]浅癣																																																
s	[1]先仙鲜=宜喧[3]选鲜[5]线羡																																																
#iaiŋ																																																	
tʃ	[1]占[5]佔战																																																
ʃ	[2]嫌贤[3]闪产显险[4]善瞎缮鳝=[5]扇煽陷现县																																																
k	[1]兼坚[3]检拣[4]俭件[5]见剑																																																
kʰ	[1]谦[2]钳嵌乾[5]欠歉																																																
ŋ	[2]严言年[3]染冉软辇[5]愿																																																
∅	[1]烟淹阉炎焉燃[2]盐然簷[3]掩衍演[5]厌艳焰雁燕宴																																																
#yaiŋ																																																	
tʃ	[1]专砖[3]展																																																
tʃʰ	[1]川穿[4]鳝-[5]串																																																
ʃ	[1]欣掀薰勳轩[2]玄悬=禅船旋眩[3]䘆{蚯蚓}[4]远-[5]献楦宪																																																
k	[1]根-筋-捐绢娟[2]权勤-□{山坡}[3]捲囝{儿子}[5]建健键券卷倦眷																																																
kʰ	[1]圈[3]犬[5]劝																																																
ŋ	[2]原元源[3]阮[5]验念愿																																																
∅	[1]冤渊[2]完丸顽员圆沿缘园=援袁[3]䘼{袖子}远=箢[4]□{掀}[5]院怨																																																
#m																																																	
h	[1]方芳荒慌肪[2]皇蝗楻{大木桶}防房=妨防簧杭航[3]纺仿访晃[5]放=幻泛况																																																
∅	[1]庵秧-汪[2]王黄亡芒{～种}行茫[3]网枉往影-[5]暗望笐{竹～}妄																																																
#ŋ																																																	
p	[1]分-搬[2]盘[3]坂[5]饭半																																																
pʰ	[1]潘□{吐}[4]伴																																																
m	[2]瞒[3]满莽[5]漫																																																
