简体	繁體	注释	声母	韵母	声调	IPA	吴拼	
侍	侍		z	ɿ	³¹³	zɿ³¹³	zy6	
睡	睡	白读，半睡半醒：～一□lɐʔ8；～洋洋：昏昏欲睡	z	ɿ	³¹³	zɿ³¹³	zy6	
屄	屄		p	i	⁴⁴³	pi⁴⁴³	pi1	
鞭	鞭	白读，～子	p	i	⁴⁴³	pi⁴⁴³	pi1	
彼	彼		p	i	⁵³	pi⁵³	pi3	
鄙	鄙		p	i	⁵³	pi⁵³	pi3	
比	比		p	i	⁵³	pi⁵³	pi3	
扁	扁	白读，～担	p	i	⁵³	pi⁵³	pi3	
蔽	蔽		p	i	⁴⁴	pi⁴⁴	pi5	
闭	閉		p	i	⁴⁴	pi⁴⁴	pi5	
庇	庇		p	i	⁴⁴	pi⁴⁴	pi5	
痹	痹		p	i	⁴⁴	pi⁴⁴	pi5	
泌	泌		p	i	⁴⁴	pi⁴⁴	pi5	
秘	祕		p	i	⁴⁴	pi⁴⁴	pi5	
遍	遍	白读，一～	p	i	⁴⁴	pi⁴⁴	pi5	
□	□	发～，～牢：因摩擦力动弹不得	p	i	⁴⁴	pi⁴⁴	pi5	
批	批		pʰ	i	⁴⁴³	pʰi⁴⁴³	phi1	
砒	砒		pʰ	i	⁴⁴³	pʰi⁴⁴³	phi1	
披	披		pʰ	i	⁴⁴³	pʰi⁴⁴³	phi1	
𢇳	𢇳	屋旁小舍；小草屋	pʰ	i	⁴⁴³	pʰi⁴⁴³	phi1	
丕	丕		pʰ	i	⁴⁴³	pʰi⁴⁴³	phi1	
𠜱	𠜱	用刀削成薄片	pʰ	i	⁴⁴³	pʰi⁴⁴³	phi1	
譬	譬		pʰ	i	⁴⁴	pʰi⁴⁴	phi5	
屁	屁		pʰ	i	⁴⁴	pʰi⁴⁴	phi5	
片	片	白读，一～一～	pʰ	i	⁴⁴	pʰi⁴⁴	phi5	
杮	杮	木～：无用的碎木片	pʰ	i	⁴⁴	pʰi⁴⁴	phi5	
骗	騙	白读，～人	pʰ	i	⁴⁴	pʰi⁴⁴	phi5	
皮	皮		b	i	²³²	bi²³²	bi2	
疲	疲		b	i	²³²	bi²³²	bi2	
脾	脾		b	i	²³²	bi²³²	bi2	
琵	琵		b	i	²³²	bi²³²	bi2	
枇	枇		b	i	²³²	bi²³²	bi2	
坒	坒	叠置物体的一层：一～砖头	b	i	²³²	bi²³²	bi2	
毙	斃		b	i	³¹³	bi³¹³	bi6	
敝	敝		b	i	³¹³	bi³¹³	bi6	
币	幣		b	i	³¹³	bi³¹³	bi6	
