简体	繁體	注释	声母	韵母	声调	IPA	吴拼	
□	□	～刀：锅铲	tɕʰ	ia	⁴⁴	tɕʰia⁴⁴	chia5	
茄	茄		dʑ	ia	²³²	dʑia²³²	jia2	
射	射	排泄	dʑ	ia	³¹³	dʑia³¹³	jia6	
𧸖	𧸖	做～：做错	dʑ	ia	³¹³	dʑia³¹³	jia6	
绽	綻	谷粒饱满，包塞得满	dʑ	ia	³¹³	dʑia³¹³	jia6	
丈	丈	～母娘；～母老头	dʑ	ia	³¹³	dʑia³¹³	jia6	
□	□	傻	dʑ	ia	³¹³	dʑia³¹³	jia6	
□	□	剩下；遗落	dʑ	ia	³¹³	dʑia³¹³	jia6	
□	□	恨气～□poʔ7：很生气	dʑ	ia	³¹³	dʑia³¹³	jia6	
酾	釃	倒酒	ɕ	ia	⁴⁴³	ɕia⁴⁴³	shia1	
山	山	白读，～上	ɕ	ia	⁴⁴³	ɕia⁴⁴³	shia1	
删	刪	移栽蔬菜等：～出来	ɕ	ia	⁴⁴³	ɕia⁴⁴³	shia1	
衫	衫		ɕ	ia	⁴⁴³	ɕia⁴⁴³	shia1	
洒	灑		ɕ	ia	⁵³	ɕia⁵³	shia3	
产	產	白读，～门：阴门；～母□dei2：产妇	ɕ	ia	⁵³	ɕia⁵³	shia3	
豺	豺	白读，～狗	ʑ	ia	²³²	ʑia²³²	zhia2	
柴	柴		ʑ	ia	²³²	ʑia²³²	zhia2	
惹	惹	文读，～厌：小孩顽皮	ʑ	ia	³¹³	ʑia³¹³	zhia6	
栈	棧	白读，稻～：打谷桶	ʑ	ia	³¹³	ʑia³¹³	zhia6	
霞	霞		ɦ	ia	²³²	ɦia²³²	ya2	
遐	遐		ɦ	ia	²³²	ɦia²³²	ya2	
瑕	瑕		ɦ	ia	²³²	ɦia²³²	ya2	
涯	涯		ɦ	ia	²³²	ɦia²³²	ya2	
崖	崖		ɦ	ia	²³²	ɦia²³²	ya2	
讶	訝		ɦ	ia	³¹³	ɦia³¹³	ya6	
械	械		ɦ	ia	³¹³	ɦia³¹³	ya6	
雅	雅	文读，～致	∅	ia	⁵³	ia⁵³	ia3	
厦	廈	文读，～门：地名	∅	ia	⁵³	ia⁵³	ia3	
亚	亞	文读，～洲	∅	ia	⁴⁴	ia⁴⁴	ia5	
官	官		k	ua	⁴⁴³	kua⁴⁴³	kua1	
关	關	白读，～门	k	ua	⁴⁴³	kua⁴⁴³	kua1	
冠	冠	白读，～头：鸡冠	k	ua	⁴⁴³	kua⁴⁴³	kua1	
乖	乖		k	ua	⁴⁴³	kua⁴⁴³	kua1	
㾩	㾩	屙～顶：尾蚴皮炎	k	ua	⁴⁴³	kua⁴⁴³	kua1	
拐	拐		k	ua	⁵³	kua⁵³	kua3	
管	管	白读，～牢；～子	k	ua	⁵³	kua⁵³	kua3	
馆	館	白读，饭～	k	ua	⁵³	kua⁵³	kua3	
怪	怪		k	ua	⁴⁴	kua⁴⁴	kua5	
观	觀	道～	k	ua	⁴⁴	kua⁴⁴	kua5	
灌	灌		k	ua	⁴⁴	kua⁴⁴	kua5	
罐	罐		k	ua	⁴⁴	kua⁴⁴	kua5	
鹳	鸛	～山：地名	k	ua	⁴⁴	kua⁴⁴	kua5	
贯	貫	白读，十五～	k	ua	⁴⁴	kua⁴⁴	kua5	
□	□	□iɔ2天～：很高	k	ua	⁴⁴	kua⁴⁴	kua5	
宽	寬	白读，宽限；更多：～吃□tiʊ1	kʰ	ua	⁴⁴³	kʰua⁴⁴³	khua1	
款	款	白读，罚～	kʰ	ua	⁵³	kʰua⁵³	khua3	
快	快		kʰ	ua	⁴⁴	kʰua⁴⁴	khua5	
筷	筷		kʰ	ua	⁴⁴	kʰua⁴⁴	khua5	
瘸	瘸		ɡ	ua	²³²	ɡua²³²	gua2	
环	環	白读，铜～	ɡ	ua	²³²	ɡua²³²	gua2	
□	□	～倒来：树上果实多歪倒	ɡ	ua	²³²	ɡua²³²	gua2	
掼	摜	扔	ɡ	ua	³¹³	ɡua³¹³	gua6	
□	□	～尾巴：摇尾巴	h	ua	⁴⁴³	hua⁴⁴³	hua1	
□	□	～头：门环、箱环	h	ua	⁴⁴	hua⁴⁴	hua5	
娃	娃		ɦ	ua	²³²	ɦua²³²	wa2	
华	華	中～	ɦ	ua	²³²	ɦua²³²	wa2	
淮	淮		ɦ	ua	²³²	ɦua²³²	wa2	
怀	懷		ɦ	ua	²³²	ɦua²³²	wa2	
槐	槐		ɦ	ua	²³²	ɦua²³²	wa2	
完	完	白读，做～	ɦ	ua	²³²	ɦua²³²	wa2	
还	還	～钞票	ɦ	ua	²³²	ɦua²³²	wa2	
□	□	个～□tsʰɛ3：这个地方	ɦ	ua	²³²	ɦua²³²	wa2	
外	外	～头	ɦ	ua	³¹³	ɦua³¹³	wa6	
坏	壞		ɦ	ua	³¹³	ɦua³¹³	wa6	
换	換	白读，～衣裳；～糖佬	ɦ	ua	³¹³	ɦua³¹³	wa6	
□	□	消耗：～油；油蛮～	ɦ	ua	³¹³	ɦua³¹³	wa6	
□	□	完结体助词	ɦ	ua	³¹³	ɦua³¹³	wa6	
鸦	鴉		∅	ua	⁴⁴³	ua⁴⁴³	ua1	
歪	歪		∅	ua	⁴⁴³	ua⁴⁴³	ua1	
弯	彎		∅	ua	⁴⁴³	ua⁴⁴³	ua1	
碗	碗	劈～爿：打水漂	∅	ua	⁵³	ua⁵³	ua3	
□	□	用手挽	∅	ua	⁵³	ua⁵³	ua3	
□	□	～～：儿语，饭	∅	ua	⁴⁴	ua⁴⁴	ua5	
抓	抓	文读，～捕	tɕ	ya	⁴⁴³	tɕya⁴⁴³	ciua1	
阿	阿	又读，～弥陀佛	∅	o	⁴⁴³	o⁴⁴³	o1	
□	□	～屄：女阴	∅	o	⁴⁴³	o⁴⁴³	o1	
□	□	回应：～一声	∅	o	⁴⁴³	o⁴⁴³	o1	
巴	巴	白读，～掌	p	uo	⁴⁴³	puo⁴⁴³	puo1	
疤	疤		p	uo	⁴⁴³	puo⁴⁴³	puo1	
芭	芭	白读，～蕉	p	uo	⁴⁴³	puo⁴⁴³	puo1	
笆	笆		p	uo	⁴⁴³	puo⁴⁴³	puo1	
把	把	给	p	uo	⁵³	puo⁵³	puo3	
坝	壩		p	uo	⁴⁴	puo⁴⁴	puo5	
霸	霸		p	uo	⁴⁴	puo⁴⁴	puo5	
怕	怕		pʰ	uo	⁴⁴	pʰuo⁴⁴	phuo5	
琶	琶		b	uo	²³²	buo²³²	buo2	
杷	杷		b	uo	²³²	buo²³²	buo2	
爬	爬		b	uo	²³²	buo²³²	buo2	
耙	耙	铁～	b	uo	²³²	buo²³²	buo2	
𫂀	𫂀	～篮：晒东西时用的竹簟	b	uo	²³²	buo²³²	buo2	
□	□	用手拨开土	b	uo	²³²	buo²³²	buo2	
稗	稗		b	uo	³¹³	buo³¹³	buo6	
耙	耙	犁耙	b	uo	³¹³	buo³¹³	buo6	
䶕	䶕	～牙：龅牙	b	uo	³¹³	buo³¹³	buo6	
□	□	仰天～～：仰天摔倒	m	uo	⁴⁴³	muo⁴⁴³	muo1	
麻	麻		m	uo	²³²	muo²³²	muo2	
麻	痳		m	uo	²³²	muo²³²	muo2	
蟆	蟆		m	uo	²³²	muo²³²	muo2	
马	馬		m	uo	⁵³	muo⁵³	muo3	
码	碼		m	uo	⁵³	muo⁵³	muo3	
玛	瑪		m	uo	⁵³	muo⁵³	muo3	
蚂	螞		m	uo	⁵³	muo⁵³	muo3	
骂	罵		m	uo	³¹³	muo³¹³	muo6	
□	□	处置式中引介对象：～只老虎打杀	m	uo	³¹³	muo³¹³	muo6	
𡗘	𡗘	支撑；～拄：挑扁担时用于支撑休息的棍子	t	uo	⁵³	tuo⁵³	tuo3	
女	女	白读，女儿	n	uo	⁵³	nuo⁵³	nuo3	
家	家	白读，～里	k	uo	⁴⁴³	kuo⁴⁴³	kuo1	
家	傢	～伙	k	uo	⁴⁴³	kuo⁴⁴³	kuo1	
加	加	白读，～上	k	uo	⁴⁴³	kuo⁴⁴³	kuo1	
瓜	瓜		k	uo	⁴⁴³	kuo⁴⁴³	kuo1	
枷	枷	～锁	k	uo	⁴⁴³	kuo⁴⁴³	kuo1	
假	假	真～	k	uo	⁵³	kuo⁵³	kuo3	
寡	寡		k	uo	⁵³	kuo⁵³	kuo3	
价	價	白读，～钱	k	uo	⁴⁴	kuo⁴⁴	kuo5	
架	架	白读，衣～	k	uo	⁴⁴	kuo⁴⁴	kuo5	
嫁	嫁	白读，～人	k	uo	⁴⁴	kuo⁴⁴	kuo5	
挂	掛		k	uo	⁴⁴	kuo⁴⁴	kuo5	
卦	卦		k	uo	⁴⁴	kuo⁴⁴	kuo5	
尬	尬	弗尴弗～	k	uo	⁴⁴	kuo⁴⁴	kuo5	
夸	夸		kʰ	uo	⁴⁴³	kʰuo⁴⁴³	khuo1	
夸	誇		kʰ	uo	⁴⁴³	kʰuo⁴⁴³	khuo1	
□	□	卡住	ɡ	uo	³¹³	ɡuo³¹³	guo6	
虾	蝦		h	uo	⁴⁴³	huo⁴⁴³	huo1	
花	花		h	uo	⁴⁴³	huo⁴⁴³	huo1	
呵	呵	～痒：哈痒；～鼾：哈欠	h	uo	⁴⁴³	huo⁴⁴³	huo1	
□	□	切开	h	uo	⁴⁴³	huo⁴⁴³	huo1	
□	□	喉咙～：软腭	h	uo	⁴⁴³	huo⁴⁴³	huo1	
下	下	下种	h	uo	⁵³	huo⁵³	huo3	
跨	跨		h	uo	⁴⁴	huo⁴⁴	huo5	
化	化		h	uo	⁴⁴	huo⁴⁴	huo5	
牙	牙		ɦ	uo	²³²	ɦuo²³²	wo2	
芽	芽		ɦ	uo	²³²	ɦuo²³²	wo2	
衙	衙		ɦ	uo	²³²	ɦuo²³²	wo2	
蛤	蛤	～蟆	ɦ	uo	²³²	ɦuo²³²	wo2	
□	□	～鳃：鱼鳃	ɦ	uo	²³²	ɦuo²³²	wo2	
夏	夏		ɦ	uo	³¹³	ɦuo³¹³	wo6	
厦	廈	白读，芝～：地名；仕～：地名	ɦ	uo	³¹³	ɦuo³¹³	wo6	
华	華	姓氏	ɦ	uo	³¹³	ɦuo³¹³	wo6	
画	畫		ɦ	uo	³¹³	ɦuo³¹³	wo6	
话	話		ɦ	uo	³¹³	ɦuo³¹³	wo6	
活	活	做生～：干活	ɦ	uo	³¹³	ɦuo³¹³	wo6	
丫	丫		∅	uo	⁴⁴³	uo⁴⁴³	uo1	
蛙	蛙		∅	uo	⁴⁴³	uo⁴⁴³	uo1	
洼	洼		∅	uo	⁴⁴³	uo⁴⁴³	uo1	
洼	窪		∅	uo	⁴⁴³	uo⁴⁴³	uo1	
划	划	～船；用手拨开土	∅	uo	⁴⁴³	uo⁴⁴³	uo1	
握	握		∅	uo	⁴⁴³	uo⁴⁴³	uo1	
雅	雅	白读，～坊：地名；～泉：地名	∅	uo	⁵³	uo⁵³	uo3	
下	下	上～	∅	uo	⁵³	uo⁵³	uo3	
哑	啞		∅	uo	⁵³	uo⁵³	uo3	
亚	亞	白读，山～：地名	∅	uo	⁵³	uo⁵³	uo3	
瓦	瓦		∅	uo	⁵³	uo⁵³	uo3	
挜	掗	强行给予	∅	uo	⁴⁴	uo⁴⁴	uo5	
查	查	姓氏	tɕ	yo	⁴⁴³	tɕyo⁴⁴³	cio1	
渣	渣		tɕ	yo	⁴⁴³	tɕyo⁴⁴³	cio1	
楂	楂	山～	tɕ	yo	⁴⁴³	tɕyo⁴⁴³	cio1	
吒	吒	哪～	tɕ	yo	⁴⁴³	tɕyo⁴⁴³	cio1	
遮	遮		tɕ	yo	⁴⁴³	tɕyo⁴⁴³	cio1	
摣	摣	用手指捏过来：～牌	tɕ	yo	⁴⁴³	tɕyo⁴⁴³	cio1	
榨	榨		tɕ	yo	⁴⁴	tɕyo⁴⁴	cio5	
炸	炸	爆～	tɕ	yo	⁴⁴	tɕyo⁴⁴	cio5	
柞	柞	～树	tɕ	yo	⁴⁴	tɕyo⁴⁴	cio5	
蔗	蔗		tɕ	yo	⁴⁴	tɕyo⁴⁴	cio5	
柘	柘	～州：地名	tɕ	yo	⁴⁴	tɕyo⁴⁴	cio5	
叉	叉		tɕʰ	yo	⁴⁴³	tɕʰyo⁴⁴³	chio1	
叉	扠		tɕʰ	yo	⁴⁴³	tɕʰyo⁴⁴³	chio1	
杈	杈		tɕʰ	yo	⁴⁴³	tɕʰyo⁴⁴³	chio1	
差	差	～弗多	tɕʰ	yo	⁴⁴³	tɕʰyo⁴⁴³	chio1	
车	車	开～；油～：榨油处；～起来：升腾；～白□vəʔ8：吐白沫；～头发：修鬓角	tɕʰ	yo	⁴⁴³	tɕʰyo⁴⁴³	chio1	
扯	扯		tɕʰ	yo	⁵³	tɕʰyo⁵³	chio3	
岔	岔		tɕʰ	yo	⁴⁴	tɕʰyo⁴⁴	chio5	
茶	茶		dʑ	yo	²³²	dʑyo²³²	jio2	
搽	搽		dʑ	yo	²³²	dʑyo²³²	jio2	
查	查	调～	dʑ	yo	²³²	dʑyo²³²	jio2	
□	□	～～猪：猪	ȵ	yo	⁴⁴	ȵyo⁴⁴	gnio5	
沙	沙		ɕ	yo	⁴⁴³	ɕyo⁴⁴³	shio1	
纱	紗		ɕ	yo	⁴⁴³	ɕyo⁴⁴³	shio1	
痧	痧		ɕ	yo	⁴⁴³	ɕyo⁴⁴³	shio1	
鲨	鯊		ɕ	yo	⁴⁴³	ɕyo⁴⁴³	shio1	
奢	奢		ɕ	yo	⁴⁴³	ɕyo⁴⁴³	shio1	
赊	賒		ɕ	yo	⁴⁴³	ɕyo⁴⁴³	shio1	
舍	捨	割～：舍得	ɕ	yo	⁵³	ɕyo⁵³	shio3	
产	產	又读，～母□dei2：产妇	ɕ	yo	⁵³	ɕyo⁵³	shio3	
赦	赦		ɕ	yo	⁴⁴	ɕyo⁴⁴	shio5	
舍	舍	白读，入～：入赘；草～：草屋	ɕ	yo	⁴⁴	ɕyo⁴⁴	shio5	
晒	曬		ɕ	yo	⁴⁴	ɕyo⁴⁴	shio5	
蛇	蛇		ʑ	yo	²³²	ʑyo²³²	zhio2	
佘	佘		ʑ	yo	²³²	ʑyo²³²	zhio2	
畲	畬		ʑ	yo	²³²	ʑyo²³²	zhio2	
麝	麝		ʑ	yo	³¹³	ʑyo³¹³	zhio6	
射	射	白读，光线～	ʑ	yo	³¹³	ʑyo³¹³	zhio6	
褒	褒		p	ɔ	⁴⁴³	pɔ⁴⁴³	pau1	
包	包		p	ɔ	⁴⁴³	pɔ⁴⁴³	pau1	
胞	胞	胎盘	p	ɔ	⁴⁴³	pɔ⁴⁴³	pau1	
苞	苞		p	ɔ	⁴⁴³	pɔ⁴⁴³	pau1	
保	保		p	ɔ	⁵³	pɔ⁵³	pau3	
堡	堡		p	ɔ	⁵³	pɔ⁵³	pau3	
宝	寶		p	ɔ	⁵³	pɔ⁵³	pau3	
饱	飽		p	ɔ	⁵³	pɔ⁵³	pau3	
豹	豹		p	ɔ	⁵³	pɔ⁵³	pau3	
报	報		p	ɔ	⁴⁴	pɔ⁴⁴	pau5	
爆	爆	～芽头	p	ɔ	⁴⁴	pɔ⁴⁴	pau5	
脬	脬	尿～：膀胱	pʰ	ɔ	⁴⁴³	pʰɔ⁴⁴³	phau1	
泡	泡	～泡	pʰ	ɔ	⁴⁴³	pʰɔ⁴⁴³	phau1	
抛	拋	～光	pʰ	ɔ	⁴⁴³	pʰɔ⁴⁴³	phau1	
□	□	香～：柚子	pʰ	ɔ	⁴⁴³	pʰɔ⁴⁴³	phau1	
泡	泡	～茶	pʰ	ɔ	⁴⁴	pʰɔ⁴⁴	phau5	
炮	炮		pʰ	ɔ	⁴⁴	pʰɔ⁴⁴	phau5	
疱	皰		pʰ	ɔ	⁴⁴	pʰɔ⁴⁴	phau5	
疱	疱	～疹	pʰ	ɔ	⁴⁴	pʰɔ⁴⁴	phau5	
袍	袍		b	ɔ	²³²	bɔ²³²	bau2	
跑	跑		b	ɔ	²³²	bɔ²³²	bau2	
抱	抱		b	ɔ	³¹³	bɔ³¹³	bau6	
暴	暴		b	ɔ	³¹³	bɔ³¹³	bau6	
爆	爆	～炸	b	ɔ	³¹³	bɔ³¹³	bau6	
鲍	鮑		b	ɔ	³¹³	bɔ³¹³	bau6	
刨	鉋		b	ɔ	³¹³	bɔ³¹³	bau6	
曝	曝		b	ɔ	³¹³	bɔ³¹³	bau6	
瀑	瀑		b	ɔ	³¹³	bɔ³¹³	bau6	
猫	貓		m	ɔ	⁴⁴³	mɔ⁴⁴³	mau1	
毛	毛		m	ɔ	²³²	mɔ²³²	mau2	
茅	茅	～草	m	ɔ	²³²	mɔ²³²	mau2	
矛	矛		m	ɔ	²³²	mɔ²³²	mau2	
茆	茆	～坪：地名	m	ɔ	²³²	mɔ²³²	mau2	
□	□	上～歇：上次，以前	m	ɔ	²³²	mɔ²³²	mau2	
卯	卯		m	ɔ	⁵³	mɔ⁵³	mau3	
冒	冒		m	ɔ	³¹³	mɔ³¹³	mau6	
帽	帽		m	ɔ	³¹³	mɔ³¹³	mau6	
貌	貌		m	ɔ	³¹³	mɔ³¹³	mau6	
贸	貿		m	ɔ	³¹³	mɔ³¹³	mau6	
刀	刀		t	ɔ	⁴⁴³	tɔ⁴⁴³	tau1	
叨	叨		t	ɔ	⁵³	tɔ⁵³	tau3	
倒	倒	～翻	t	ɔ	⁵³	tɔ⁵³	tau3	
岛	島		t	ɔ	⁵³	tɔ⁵³	tau3	
捣	搗	～乱	t	ɔ	⁵³	tɔ⁵³	tau3	
祷	禱		t	ɔ	⁵³	tɔ⁵³	tau3	
□	□	～钱：破钱	t	ɔ	⁵³	tɔ⁵³	tau3	
到	到		t	ɔ	⁴⁴	tɔ⁴⁴	tau5	
倒	倒	～车	t	ɔ	⁴⁴	tɔ⁴⁴	tau5	
滔	滔		tʰ	ɔ	⁴⁴³	tʰɔ⁴⁴³	thau1	
□	□	绕；～铜箍：绕圈子	tʰ	ɔ	⁴⁴³	tʰɔ⁴⁴³	thau1	
讨	討		tʰ	ɔ	⁵³	tʰɔ⁵³	thau3	
套	套		tʰ	ɔ	⁴⁴	tʰɔ⁴⁴	thau5	
掏	掏		d	ɔ	²³²	dɔ²³²	dau2	
桃	桃		d	ɔ	²³²	dɔ²³²	dau2	
逃	逃		d	ɔ	²³²	dɔ²³²	dau2	
陶	陶		d	ɔ	²³²	dɔ²³²	dau2	
淘	淘	用工具挖；一群：一～人，做～；舀汤	d	ɔ	²³²	dɔ²³²	dau2	
啕	啕		d	ɔ	²³²	dɔ²³²	dau2	
萄	萄		d	ɔ	²³²	dɔ²³²	dau2	
涛	濤		d	ɔ	²³²	dɔ²³²	dau2	
稻	稻		d	ɔ	³¹³	dɔ³¹³	dau6	
道	道	～理	d	ɔ	³¹³	dɔ³¹³	dau6	
导	導		d	ɔ	³¹³	dɔ³¹³	dau6	
盗	盜		d	ɔ	³¹³	dɔ³¹³	dau6	
捣	搗	用汤匙搅拌汤使沉淀物浮起	d	ɔ	³¹³	dɔ³¹³	dau6	
挠	撓	～痒	n	ɔ	⁴⁴³	nɔ⁴⁴³	nau1	
□	□	～一手把：抓取一把	n	ɔ	⁴⁴³	nɔ⁴⁴³	nau1	
□	□	赌东～：打赌	n	ɔ	⁴⁴³	nɔ⁴⁴³	nau1	
哪	哪	～吒	n	ɔ	²³²	nɔ²³²	nau2	
脑	腦		n	ɔ	⁵³	nɔ⁵³	nau3	
恼	惱		n	ɔ	⁵³	nɔ⁵³	nau3	
瑙	瑙		n	ɔ	⁵³	nɔ⁵³	nau3	
闹	鬧		n	ɔ	³¹³	nɔ³¹³	nau6	
捞	撈		l	ɔ	⁴⁴³	lɔ⁴⁴³	lau1	
劳	勞		l	ɔ	²³²	lɔ²³²	lau2	
唠	嘮		l	ɔ	²³²	lɔ²³²	lau2	
牢	牢		l	ɔ	²³²	lɔ²³²	lau2	
萝	蘿	～卜	l	ɔ	²³²	lɔ²³²	lau2	
痨	癆	肺结核	l	ɔ	²³²	lɔ²³²	lau2	
□	□	木～～：多	l	ɔ	²³²	lɔ²³²	lau2	
老	老		l	ɔ	⁵³	lɔ⁵³	lau3	
佬	佬		l	ɔ	⁵³	lɔ⁵³	lau3	
□	□	表示对前述信息的提示性否定：介～弗是。（本字可能是“倒”）	l	ɔ	⁴⁴	lɔ⁴⁴	lau5	
遭	遭		ts	ɔ	⁴⁴³	tsɔ⁴⁴³	tsau1	
糟	糟		ts	ɔ	⁴⁴³	tsɔ⁴⁴³	tsau1	
抓	抓	白读，～痒	ts	ɔ	⁴⁴³	tsɔ⁴⁴³	tsau1	
早	早		ts	ɔ	⁵³	tsɔ⁵³	tsau3	
枣	棗		ts	ɔ	⁵³	tsɔ⁵³	tsau3	
蚤	蚤		ts	ɔ	⁵³	tsɔ⁵³	tsau3	
澡	澡		ts	ɔ	⁵³	tsɔ⁵³	tsau3	
沼	沼	～气	ts	ɔ	⁵³	tsɔ⁵³	tsau3	
灶	灶		ts	ɔ	⁴⁴	tsɔ⁴⁴	tsau5	
操	操		tsʰ	ɔ	⁴⁴³	tsʰɔ⁴⁴³	tshau1	
抄	抄	～写	tsʰ	ɔ	⁴⁴³	tsʰɔ⁴⁴³	tshau1	
超	超	～市	tsʰ	ɔ	⁴⁴³	tsʰɔ⁴⁴³	tshau1	
□	□	一～：一回；个～子：（短时间的）现在；下～子：以后	tsʰ	ɔ	⁴⁴³	tsʰɔ⁴⁴³	tshau1	
草	草		tsʰ	ɔ	⁵³	tsʰɔ⁵³	tshau3	
钞	鈔		tsʰ	ɔ	⁵³	tsʰɔ⁵³	tshau3	
吵	吵		tsʰ	ɔ	⁵³	tsʰɔ⁵³	tshau3	
□	□	～牌：把牌打乱	tsʰ	ɔ	⁵³	tsʰɔ⁵³	tshau3	
噪	噪	～音	tsʰ	ɔ	⁴⁴	tsʰɔ⁴⁴	tshau5	
躁	躁	脾气暴	tsʰ	ɔ	⁴⁴	tsʰɔ⁴⁴	tshau5	
糙	糙	粗糙：～里蟹拉	tsʰ	ɔ	⁴⁴	tsʰɔ⁴⁴	tshau5	
曹	曹		dz	ɔ	²³²	dzɔ²³²	dzau2	
肇	肇		dz	ɔ	³¹³	dzɔ³¹³	dzau6	
骚	騷		s	ɔ	⁴⁴³	sɔ⁴⁴³	sau1	
臊	臊		s	ɔ	⁴⁴³	sɔ⁴⁴³	sau1	
缫	繅	～丝：抽丝	s	ɔ	⁴⁴³	sɔ⁴⁴³	sau1	
扫	掃		s	ɔ	⁵³	sɔ⁵³	sau3	
嫂	嫂		s	ɔ	⁵³	sɔ⁵³	sau3	
燥	燥	干	s	ɔ	⁴⁴	sɔ⁴⁴	sau5	
㥰	㥰	飞快跑：～过去；豪～：快点	s	ɔ	⁴⁴	sɔ⁴⁴	sau5	
潲	潲	潲雨	s	ɔ	⁴⁴	sɔ⁴⁴	sau5	
𤵥	𤵥	空腹的难受感	z	ɔ	²³²	zɔ²³²	zau2	
皂	皂		z	ɔ	³¹³	zɔ³¹³	zau6	
造	造		z	ɔ	³¹³	zɔ³¹³	zau6	
高	高		k	ɔ	⁴⁴³	kɔ⁴⁴³	kau1	
膏	膏		k	ɔ	⁴⁴³	kɔ⁴⁴³	kau1	
篙	篙		k	ɔ	⁴⁴³	kɔ⁴⁴³	kau1	
羔	羔		k	ɔ	⁴⁴³	kɔ⁴⁴³	kau1	
糕	糕		k	ɔ	⁴⁴³	kɔ⁴⁴³	kau1	
交	交	白读，～代	k	ɔ	⁴⁴³	kɔ⁴⁴³	kau1	
胶	膠	～水	k	ɔ	⁴⁴³	kɔ⁴⁴³	kau1	
茭	茭	～白	k	ɔ	⁴⁴³	kɔ⁴⁴³	kau1	
稿	稿		k	ɔ	⁵³	kɔ⁵³	kau3	
绞	絞	白读，～毛巾	k	ɔ	⁵³	kɔ⁵³	kau3	
铰	鉸	～链	k	ɔ	⁵³	kɔ⁵³	kau3	
搞	搞		k	ɔ	⁵³	kɔ⁵³	kau3	
搅	攪	～拌	k	ɔ	⁵³	kɔ⁵³	kau3	
告	告		k	ɔ	⁴⁴	kɔ⁴⁴	kau5	
犒	犒		k	ɔ	⁴⁴	kɔ⁴⁴	kau5	
教	教	白读，～书	k	ɔ	⁴⁴	kɔ⁴⁴	kau5	
窖	窖	番薯～	k	ɔ	⁴⁴	kɔ⁴⁴	kau5	
觉	覺	困～：睡觉	k	ɔ	⁴⁴	kɔ⁴⁴	kau5	
校	校	白读，～手表；～消防龙头	k	ɔ	⁴⁴	kɔ⁴⁴	kau5	
珓	珓	卜卦用具：刀～，阴～，阳～；阴～也无有，阳～也无有：没有音讯	k	ɔ	⁴⁴	kɔ⁴⁴	kau5	
□	□	一～雨；一～雪	k	ɔ	⁴⁴	kɔ⁴⁴	kau5	
□	□	一～铜箍：四面八方	k	ɔ	⁴⁴	kɔ⁴⁴	kau5	
敲	敲		kʰ	ɔ	⁴⁴³	kʰɔ⁴⁴³	khau1	
考	考		kʰ	ɔ	⁵³	kʰɔ⁵³	khau3	
拷	拷		kʰ	ɔ	⁵³	kʰɔ⁵³	khau3	
烤	烤		kʰ	ɔ	⁴⁴	kʰɔ⁴⁴	khau5	
靠	靠		kʰ	ɔ	⁴⁴	kʰɔ⁴⁴	khau5	
铐	銬		kʰ	ɔ	⁴⁴	kʰɔ⁴⁴	khau5	
薧	薧	龙头～：龙头鱼干	kʰ	ɔ	⁴⁴	kʰɔ⁴⁴	khau5	
交	交	结束	ɡ	ɔ	²³²	ɡɔ²³²	gau2	
搅	攪	搅乱	ɡ	ɔ	³¹³	ɡɔ³¹³	gau6	
峧	峧	两山之间较低的岭：老虎～，白石～	ɡ	ɔ	³¹³	ɡɔ³¹³	gau6	
岙	嶴	～子里：地名	ɡ	ɔ	³¹³	ɡɔ³¹³	gau6	
蒿	蒿		h	ɔ	⁴⁴³	hɔ⁴⁴³	hau1	
□	□	油～气：油类腐败的气味	h	ɔ	⁴⁴³	hɔ⁴⁴³	hau1	
好	好		h	ɔ	⁵³	hɔ⁵³	hau3	
耗	耗		h	ɔ	⁴⁴	hɔ⁴⁴	hau5	
孝	孝	白读，～兜：孝帽；～帘	h	ɔ	⁴⁴	hɔ⁴⁴	hau5	
哮	哮	白读，～病：哮喘；～子：哮喘病人	h	ɔ	⁴⁴	hɔ⁴⁴	hau5	
敖	敖		ɦ	ɔ	²³²	ɦɔ²³²	ghau2	
熬	熬		ɦ	ɔ	²³²	ɦɔ²³²	ghau2	
鳌	鼇		ɦ	ɔ	²³²	ɦɔ²³²	ghau2	
豪	豪		ɦ	ɔ	²³²	ɦɔ²³²	ghau2	
壕	壕		ɦ	ɔ	²³²	ɦɔ²³²	ghau2	
嚎	嚎	～丧	ɦ	ɔ	²³²	ɦɔ²³²	ghau2	
毫	毫		ɦ	ɔ	²³²	ɦɔ²³²	ghau2	
号	號	～啕	ɦ	ɔ	²³²	ɦɔ²³²	ghau2	
崤	崤	～山：地名	ɦ	ɔ	²³²	ɦɔ²³²	ghau2	
噢	噢	表示疑问语气；表示确认：尔侬十八岁～	ɦ	ɔ	²³²	ɦɔ²³²	ghau2	
傲	傲		ɦ	ɔ	³¹³	ɦɔ³¹³	ghau6	
浩	浩		ɦ	ɔ	³¹³	ɦɔ³¹³	ghau6	
号	號	～码	ɦ	ɔ	³¹³	ɦɔ³¹³	ghau6	
爊	爊	～豆腐	∅	ɔ	⁴⁴³	ɔ⁴⁴³	au1	
坳	坳		∅	ɔ	⁴⁴³	ɔ⁴⁴³	au1	
沃	沃		∅	ɔ	⁴⁴³	ɔ⁴⁴³	au1	
噢	噢	应答：～一声；表示提示语气	∅	ɔ	⁴⁴³	ɔ⁴⁴³	au1	
懊	懊	～恼	∅	ɔ	⁴⁴³	ɔ⁴⁴³	au1	
