#a			
tʰ	[1]挑[5]跳[6]掉调{音~}		
n	[1]□{黏}[4]鸟[6]尿		
l	[1]溜燎[2]聊辽疗[4]了{~解；动态助词：我买~本书}[6]料廖		
ɬ	[1]宵{~夜}消硝霄萧箫[3]小[5]笑		
ts	[1]椒焦蕉朝{今~}召招[2]朝{~代}潮[5]照		
tsʰ	[1]锹超[6]赵		
s	[1]烧[3]少{多~}[5]少{~年}[6]绍{介~}邵{~阳}韶{~关}		
k	[1]娇骄[2]乔侨桥[5]叫		
kʰ	[3]巧[5]窍{开~}[6]轿		
h	[1]嚣[2]摇尧[3]晓[6]鹞		
Ø	[1]妖腰邀要{~求}[4]扰{打~}[5]要{重~}		
#əu			
t	[1]□{疙瘩}		
n	[4]女		
l	[4]吕旅[6]滤虑		
ɬ	[1]须需鬚荽{芫~}[5]嗉{鸡~}		
ts	[1]猪诸株{~洲}蛛朱珠[2]徐除储{~蓄}厨[3]煮主[4]柱[5]著{显~}驻{~扎}注		
tsʰ	[1]蛆[3]杵{舂~}[5]处{办事~；箇~：这里；相~}[6]序聚箸{筷子}住{~两日：住两天；~处：在这里；打~电话：打着电话}□{歇：~一阵}		
s	[1]书舒输[2]殊薯蜍{蟾~}[3]鼠[4]竖[6]树竖		
k	[1]车{~马炮}居[2]渠{水~}[3]举矩{规~}[4]佢{他}[5]据锯句距		
kʰ	[1]拘区驱[6]具俱		
h	[1]墟虚[3]许[4]雨[5]去[6]芋{荔浦~}		
Ø	[1]於于		
ŋi	[2]鱼愚[4]语[6]预遇喻裕{富~}玉{~米}		
#ɐu			
p	[2]浮[3]补[5]布		
pʰ	[1]铺[5]铺[6]部簿步		
m	[2]谋[4]某母拇亩[6]贸		
f	[1]夫[2]符浮{飘~}[3]府斧妇{新~：儿媳妇}否[4]武舞{~狮子}[5]付附富副[6]腐父负		
t	[1]蔸{一~木：一棵树}[2]头投[3]抖陡斗{漏~}纠{~察队}[5]斗{~争}窦{鸡~：鸡窝}		
tʰ	[1]偷[5]敨{歇}透[6]豆痘		
n	[3]扭朽		
l	[1]褛{中~：大衣}骝{犸~：猴子}[2]楼刘流留硫榴[4]柳搂□{lœk²²~：蝌蚪}[6]漏陋		
ɬ	[1]修搜[5]秀绣锈		
ts	[1]州舟周洲[2]绸稠筹酬[3]走酒[5]奏昼咒		
tsʰ	[1]秋抽[3]丑醜[5]凑臭[6]就袖宙		
s	[1]收[2]愁仇[3]手守首[5]瘦兽[6]受寿售授		
k	[1]沟鸠[2]求球[3]狗笱{鱼~}韭九久[4]舅[5]购够构究救		
kʰ	[1]抠[5]扣寇[6]旧		
ŋ	[1]勾钩[4]藕偶{~然}		
h	[2]侯喉猴[3]口[4]厚[6]后候		
Ø	[1]欧[3]呕□{~血：淤血}[5]沤		
ŋi	[2]牛[5]皱嗅		
j	[1]休优忧悠幽[2]柔尤邮由油游[4]友有[5]诱幼[6]又右佑柚		
#am			
pʰ	[6]湴{烂~：烂泥}		
