聲韻	調類	調值	
iəŋ	2	14	容蓉溶熔榕镕荣嵘庸戎绒融茸
iəŋ	3	35	拥涌勇
iəŋ	4	11	甬俑踊蛹恿冗
iəŋ	5	554	拥（又）
iəŋ	6	223	用佣
uəŋ	1	443	翁嗡壅（言用土或灰掩埋也）
uəŋ	5	554	蓊瓮蕹
ʦʱɯʔ	7	42	族簇
sɯʔ	7	42	速
piʔ	7	42	毕笔必碧逼煏壁（文）璧
pʱiʔ	7	42	鼻匹弼僻避（文）霹劈（文）
miʔ	7	42	密蜜秘（文：～书）觅汨幂
tiʔ	7	42	滴文嫡的（文：目～）得（懒～，晓/要/记～）
tʱiʔ	7	42	踢（文）惕剔倜笛迪敌狄涤隶棣粒
niʔ	7	42	力律立粒笠历沥（言去掉渣汁也：把米湯～出來）率栗（文）□（你/我/渠～：人称复数也）
ʦiʔ	7	42	积绩即鲫脊（文）迹稷
ʦʱiʔ	7	42	七柒漆膝文辑缉文籍藉疾嫉集习袭席寂戚
siʔ	7	42	息媳熄昔惜析（文）晰淅蜥悉蟋戌恤夕锡（文）
kiʔ	7	42	吉急吸级圾汲棘击激戟剧稽
kʱiʔ	7	42	及极乞讫迄佶喫（文）
ŋiʔ	7	42	日白逆溺匿暱
xiʔ	7	42	泣翕隙
iʔ	7	42	一壹液腋益溢译绎驿抑揖逸轶亦邑挹易
pʱuʔ	7	42	卜扑仆朴噗璞蹼曝瀑瓿□（～辣椒）
fuʔ	7	42	复覆復複腹幅福蝠辐斛服伏茯腑
kuʔ	7	42	谷毂酷梏鹄
kʱuʔ	7	42	哭
uʔ	7	42	屋
paʔ	7	42	八捌
pʱaʔ	7	42	拔跋𰼦
maʔ	7	42	抹
faʔ	7	42	发發髮伐筏阀乏法砝罚
taʔ	7	42	搭跌（训读）
tʱaʔ	7	42	塔沓踏塌榻蹋搨遢鳎獭拓趿达挞
naʔ	7	42	腊蜡辣剌瘌垃邋捺
ʦaʔ	7	42	札扎眨蚱匝砸闸啄（白）
ʦʱaʔ	7	42	察擦插铡（白）
saʔ	7	42	杀刹煞飒撒萨卅靸
ʧaʔ	7	42	折哲浙褶摺
ʧʱaʔ	7	42	彻澈撤辙辄
ʃaʔ	7	42	失（白）涉设舌折摄
kaʔ	7	42	胳夹（白）甲（白）胛（白）□（蜈～虫：蜈蚣也）
kʱaʔ	7	42	恰掐
ŋaʔ	7	42	齧（训：咬也）鸭（白）押（白）压（白）轧（白：～花机）
xaʔ	7	42	狭（白）瞎（白）辖（白）
kuaʔ	7	42	刮
kʱuaʔ	7	42	□（泻～～里：言地上有很多稀泥也）
uaʔ	7	42	挖滑猾袜
ʧʯaʔ	7	42	决诀玦抉厥撅蕨獗倔崛掘拙矍折（又）哲（又）浙（又）褶（又）
ʧʱʯaʔ	7	42	缺阕阙辍啜（训，喝也）
ɳʯaʔ	7	42	月
ʃʯaʔ	7	42	血说穴（白）噱
ʯaʔ	7	42	曰粤越悦阅热（文：～情）
pøʔ	7	42	钵拨
pʱøʔ	7	42	泼䥽
møʔ	7	42	末沫茉
føʔ	7	42	活（文）缚或惑获
tøʔ	7	42	答掇
tʱøʔ	7	42	脱夺咄啜
nøʔ	7	42	拉纳捋
ʦøʔ	7	42	撮
ʦʱøʔ	7	42	杂撮
søʔ	7	42	刷□（放也：～得脚里）
køʔ	7	42	葛割括佮鸽
kʱøʔ	7	42	磕瞌渴
ŋøʔ	7	42	遏褐罯
xøʔ	7	42	曷喝合盒盍阖
kuøʔ	7	42	国
kʱuøʔ	7	42	阔括（西乡声也）豁
uøʔ	7	42	活（白）握幄沃斡
peʔ	7	42	北百（文）柏（文）伯（文）
pʱeʔ	7	42	白（文）拍（文）珀帕（文）迫泊帛（文）魄（文）菔（萝～）
meʔ	7	42	没墨默麦（文）脉（文）陌（文）
feʔ	7	42	或（又）获（又）
teʔ	7	42	得（文）德
tʱeʔ	7	42	特忒
neʔ	7	42	勒肋
ʦeʔ	7	42	则恻铡（文）窄责摘（文）仄
ʦʱeʔ	7	42	策册侧测厕泽择（文）宅贼拆（文）
seʔ	7	42	啬色虱瑟塞涩膝（白：～头公）
keʔ	7	42	给嗝隔（文）格胳革
kʱeʔ	7	42	客（文）克咳刻
ŋeʔ	7	42	额（文）厄扼轭
xeʔ	7	42	黑核劾阂赫吓（文）
piɛʔ	7	42	屄（训）
pʱiɛʔ	7	42	撇憋鳖瞥瘪别
miɛʔ	7	42	灭搣（掰开）蔑篾
tiɛʔ	7	42	跌
tʱiɛʔ	7	42	铁迭瓞帖贴碟蝶牒谍叠耋餮
niɛʔ	7	42	列冽洌趔烈裂猎劣鬣
ʦiɛʔ	7	42	接节疖
ʦʱiɛʔ	7	42	切窃妾绝截捷睫婕
siɛʔ	7	42	薛雪泄屑亵
kiɛʔ	7	42	结洁秸劫荚搛（～菜）
kʱiɛʔ	7	42	怯锲挈惬箧揭竭杰桀
ŋiɛʔ	7	42	业邺聂镊嗫捏涅臬镍孽日（白，西乡声也）热（白）苶
xiɛʔ	7	42	协胁歇洽（旧）穴（文）侠峡匣
iɛʔ	7	42	页叶葉乙谒掖曳醃烨晔
kueʔ	7	42	国（又）
kʱueʔ	7	42	扩
pət	7	42	不
pʱət	7	42	勃脖渤膊
mət	7	42	□（方形小高凳或小桌也）
fət	7	42	佛拂弗勿忽
tət	7	42	扽（训读：扯抻也）
tʱət	7	42	突凸秃腯
nət	7	42	□（壮～～）
ʦət	7	42	卒
ʦʱət	7	42	猝捽（擦也）
sət	7	42	率蟀刷（白）
ʧət	7	42	蜘（又）祇织职执蛰汁质炙蛭隻（文）
ʧʱət	7	42	直值殖植侄姪秩赤尺掷斥蜇
ʃət	7	42	十什拾适矢失文氏室实食蚀湿识饰释石文
ŋinʔ	7	42	日白逆
inʔ	7	42	一
kuət	7	42	骨
kʱuət	7	42	窟
uət	7	42	物□（木月骨⿲“核”别体也，即北京话“桃核儿”之本字，广韵胡骨切）
ʧʯət	7	42	桔橘倔（又）
ʧʱʯət	7	42	出屈
ʃʯət	7	42	术述沭
ʯət	7	42	日文入域役疫熨（～贴）鬰
pɑʔ	7	42	百（白）陌（白，生～子）伯（白）柏（白）
pʱɑʔ	7	42	白（白）拍（白）帕（白）帛（白）魄（白）
mɑʔ	7	42	麦（白）脉（白：～坼）
fɑʔ	7	42	划（白：～开）
nɑʔ	7	42	拿（白）
ʦɑʔ	7	42	摘（白）拶（训：压住也）
ʦʱɑʔ	7	42	择（白：～菜）拆（白）坼（白）㿭（白）
sɑʔ	7	42	析（一瓣也）
ʧɑʔ	7	42	只（白）隻（白）炙（白，烤也：～火）
ʧʱɑʔ	7	42	赤（白）尺（白）
ʃɑʔ	7	42	石（白）
kɑʔ	7	42	隔（白）合（白：一～米）
kʱɑʔ	7	42	客（白）
ŋɑʔ	7	42	额（白）轭（牛～）
xɑʔ	7	42	吓嚇（白）
piɑʔ	7	42	壁（白）
pʱiɑʔ	7	42	劈（白）
tiɑʔ	7	42	滴（白）
tʱiɑʔ	7	42	踢（白）剔（白）籴（白）靮（训：捆绑、打结也，又作“缔”）
niɑʔ	7	42	栗（白）栎（白）沥（白）累（训，本字疑似“苶”也）
ʦiɑʔ	7	42	脊（白）毑（伯～，伯母也）
ʦʱiɑʔ	7	42	缉（白，又作“緁”也）
siɑʔ	7	42	锡（白）
kiɑʔ	7	42	夹（文）甲（文）
kʱiɑʔ	7	42	喫（白）吃（白）
ŋiɑʔ	7	42	入（训：交合也）
xiɑʔ	7	42	狭（文）洽（文）瞎（文）辖（文）匣狎
iɑʔ	7	42	压（文）
poʔ	7	42	博搏驳剥瀑卜（姓氏也：佘翁柳～，有也不多）
pʱoʔ	7	42	薄
moʔ	7	42	莫寞漠穆牧木沐目睦
toʔ	7	42	㧻擢□（言扔掉也）
tʱoʔ	7	42	托讬铎拓庹裰
noʔ	7	42	洛烙骆络酪赂落乐
ʦoʔ	7	42	卓桌作捉琢涿啄（文）镯
ʦʱoʔ	7	42	昨柞凿戳濯浊
soʔ	7	42	朔溯塑索缩
ʧoʔ	7	42	着斫酌脚觉
ʧʱoʔ	7	42	绰焯着却
ʃoʔ	7	42	硕烁灼勺芍
koʔ	7	42	各阁搁角郭廓
kʱoʔ	7	42	确搉榷鹤壳
ŋoʔ	7	42	鄂鳄腭颚恶噩
xoʔ	7	42	霍藿鹤（又）郝嗬学（白）
nioʔ	7	42	略掠
ʦioʔ	7	42	爵嚼
ʦʱioʔ	7	42	雀鹊
sioʔ	7	42	削
kioʔ	7	42	脚（又）
kʱioʔ	7	42	却（又）
ŋioʔ	7	42	弱虐疟
xioʔ	7	42	学（文）
ioʔ	7	42	乐跃钥约药若诺岳
pʱaiʔ	7	42	□（言松树做劈柴烧的也）
naiʔ	7	42	□（快速咽下也）
ʦʱaiʔ	7	42	擦（训：抹掉也）
saiʔ	7	42	塞（又）
təɯʔ	7	42	笃督
tʱəɯʔ	7	42	独毒牍读犊渎
nəɯʔ	7	42	鹿漉麓录禄碌戮□（弄也）
ʧəɯʔ	7	42	竹筑竺烛嘱瞩祝粥
ʧʱəɯʔ	7	42	触镯束畜纣轴宙逐独（又）
ʃəɯʔ	7	42	叔淑熟塾属蜀赎
niɯʔ	7	42	六陆录绿
ʦiɯʔ	7	42	足
ʦʱiɯʔ	7	42	促
siɯʔ	7	42	宿肃粟俗续赎
kiɯʔ	7	42	菊鞠掬
kʱiɯʔ	7	42	曲粬麯蓄局（白）
ŋiɯʔ	7	42	肉狱
xiɯʔ	7	42	畜蓄旭
iɯʔ	7	42	育辱褥郁囿欲浴
m̩	1	443	呣姆（～妈）
n̩	1	443	□（又，更远指，犹言“那儿”也）
n̩	2	14	不（训读，表意愿也：～喜欢、～晓得、～想）
n̩	4	11	尔嗯
ŋ̍	1	443	□（更远指，犹言“那儿”也）
ŋ̍	2	14	鱼（白）吴（白）
ŋ̍	4	11	五（白）
ŋ̍	5	554	瓮（白：～江）蕹（白）
