聲韻	調類	調值	
pø	5	554	簸播背（白：后～）婆（变，～则：言祖母也）
pʱø	1	443	坡
pʱø	2	14	婆鄱
pʱø	3	35	颇叵笸
pʱø	5	554	破婆（变，婆～：奶奶也）
pʱø	6	223	婆（变，～婆：奶奶也）
mø	1	443	摸
mø	2	14	魔磨摩
mø	6	223	磨（～粉）
fø	2	14	和（文）
fø	3	35	火伙夥
fø	5	554	货伙（包括式也，西乡声，我～）
fø	6	223	祸和（文：～面）
tø	3	35	朵（文）躲
tø	5	554	剁
tʱø	1	443	□（劝也）
tʱø	2	14	坨砣
tʱø	3	35	妥椭
tʱø	4	11	舵垛摞（训：叠也）
tʱø	5	554	唾堕
tʱø	6	223	惰
nø	1	443	摞
nø	2	14	螺骡挼
nø	4	11	裸卵（白）
nø	5	554	□（言树上果实多也）
nø	6	223	糯懦
ʦø	3	35	左
ʦø	5	554	佐
ʦʱø	1	443	槎搓磋嵯蹉
ʦʱø	2	14	蹉
ʦʱø	4	11	坐
ʦʱø	5	554	挫锉错措
ʦʱø	6	223	座
sø	1	443	梭唆睃蓑□（滑行也）
sø	3	35	所锁琐
ʧʱø	5	554	这（文）
ʧʱø	1	443	□（哄也）
kø	5	554	盖（白）
kuø	1	443	锅戈
kuø	3	35	果裹
kuø	5	554	过
kʱuø	1	443	科蝌窠
kʱuø	3	35	棵颗
kʱuø	5	554	课
uø	1	443	窝蜗涡莴屙喔
uø	2	14	禾和（白：～尚）
uø	3	35	抈（折也）
uø	5	554	□（拼命大叫也）
uø	6	223	和（白，言掺进去也）
me	1	443	哞妈（白：姆～）
te	5	554	德（新～，人名，平江扯泡王也）
ne	4	11	嘞（陈述语气词也：我是平江嘅～）
ne	5	554	嘞（犹“呢”也）
ʧe	3	35	这（文）
ʃe	4	11	舐（白）舓是（句尾语气词也）
ke	1	443	鸡（白）
ke	3	35	弆（言藏物也）
ke	5	554	锯（白）系（白）
kʱe	4	11	渠（第三人称面称、包括式）
ŋe	2	14	泥（白）
ŋe	3	35	□（暗色也）
xe	4	11	渠（第三人称面称、包括式也）
e	4	11	渠（懒，第三人称面称、包括式也）呃
pie	1	443	□（～淡）
pie	3	35	瘪
pʱie	1	443	□（歪倒也）
pʱie	3	35	蹩
tie	1	443	爹（文）
nie	6	223	捩（不正也）
kʱie	5	554	去（白）
ŋie	4	11	□（懒音，犹“哪儿”也：去～）
ie	4	11	敥（撒撒～～：言食物掉地上也）
ʃʯe	5	554	水（油沫～光）
pai	1	443	𨃅（跛也）
pai	3	35	摆
pai	5	554	拜
pʱai	2	14	牌簰排徘
pʱai	3	35	棑（柴块也）
pʱai	5	554	派湃
pʱai	6	223	败
mai	2	14	埋霾
mai	4	11	买
mai	5	554	卖
fai	2	14	踝槐淮怀（文）
fai	6	223	坏
tai	1	443	呆（文）襶
tai	3	35	逮绐（犹“骗”也）
tai	4	11	辵
tai	5	554	带
tʱai	1	443	胎
tʱai	2	14	台抬苔臺
tʱai	4	11	□（～肚：怀孕也）
tʱai	5	554	太态汰泰傣
tʱai	6	223	大待殆怠代袋贷
nai	1	443	疓
nai	2	14	遗（训：～尿）
nai	3	35	□（言人胖走路身子晃动也）
nai	4	11	乃奶
nai	6	223	赖癞耐奈
ʦai	1	443	灾斋
ʦai	3	35	宰
ʦai	5	554	债
ʦʱai	1	443	差钗猜
ʦʱai	2	14	柴侪
ʦʱai	3	35	揣采彩睬踩
ʦʱai	5	554	蔡菜
ʦʱai	6	223	寨
sai	1	443	筛
sai	3	35	甩摔洒灑（白：～网：一种渔网也）
sai	5	554	晒曬（文）帅（白）率（～领）塞赛
sai	6	223	寨（又）
kai	1	443	街阶階皆喈（蔡伯～）
kai	3	35	解
kai	5	554	戒诫届介芥界疥尬丐钙盖（文）
kʱai	1	443	揩
kʱai	3	35	楷恺凯
kʱai	5	554	蟹械慨概溉
ŋai	1	443	哀挨娭
ŋai	2	14	崖岩埃呆（白）皑癌
ŋai	3	35	矮霭蔼
ŋai	5	554	隘
ŋai	6	223	挨艾外白
xai	1	443	嗨
xai	2	14	鞋偕谐孩骇还（文）
xai	3	35	懈
xai	4	11	□（～肚：怀孕也）
xai	6	223	解
kuai	1	443	乖
kuai	3	35	拐□（坏）
kuai	5	554	怪
kʱuai	3	35	傀蒯
kʱuai	4	11	□（怀孕也）
kʱuai	5	554	快块筷会哙狯脍刽
uai	1	443	歪
uai	2	14	怀（白：～抱里）
uai	3	35	崴（训，言行动不稳，两头摇摆也）
uai	6	223	外（文）
