#注释	文成县志，落橙抄
#调值	[1]55[2]13[3]54[4]33[5]435[6]312[7]35[8]213
#ɿ	
ɦ	[2]函涵嫌鞋[4]限[8]匣
∅	[3]矮[7]鸭押压
#uɔ	
p	[1]包胞邦帮雹[3]饱绑榜[5]豹[7]八
pʰ	[1]抛[3]跑[5]炮泡
b	[2]旁傍螃{〜蟹}[4]鲍庞[6]刨[8]拔
m	[1]猫[2]矛茅芒茫[4]莽蟒网[6]貌
f	[1]方肪芳妨[3]仿纺访[5]放[7]法发
v	[2]房防亡忘[6]望[8]乏伐罚
t	[1]刁貂雕[3]鸟-[5]钓吊
tʰ	[1]挑[5]跳粜
d	[2]条调{〜料}[6]掉调{音〜}
l	[2]辽寥聊廖[6]料[8]录绿
k	[1]冈岗刚纲钢缸光江扛[3]广讲港[5]杠降
kʰ	[1]康糠[5]抗矿旷扩囥{藏}
#yɔ	
tɕ	[1]钟恭供[3]种{〜子}肿[5]种{〜树}
tɕʰ	[3]闯恐
dʑ	[4]重[6]共
ȵ	[8]肉
ɕ	[1]胸凶双
ɦ	[2]从[6]诵颂讼[8]欲浴
#ø	
p	[5]半[7]拨
pʰ	[1]潘[5]判[7]泼
b	[2]盘般搬盆[4]拌伴[6]叛绊[8]鈸勃脖雹{龙〜、冰〜}
m	[2]瞒馒{〜头}鳗[4]满[8]末沫没{沉〜}
t	[1]端敦墩[3]短[5]断{决〜}锻{〜练}
tʰ	[1]吞贪[7]脱
d	[2]团臀[4]断{〜绝}[6]段缎钝遁[8]夺突
n	[4]暖=[6]嫩
l	[6]乱论
ts	[1]钻尊
tsʰ	[1]村参{〜加}氽{〜芥菜}[3]惨[5]窜寸
s	[1]酸孙闩[3]损[5]算蒜逊[7]刷
z	[2]存
k	[1]甘
h	[1]憨{痴}
ɦ	[2]含寒韩翰[4]旱
∅	[1]安鞍温{〜度}[5]按案
#yø	
f	[1]欢昏婚荤[5]唤涣焕[7]血恤
tɕ	[1]焦蕉椒昭招骄娇浇专砖捐朝{〜阳}沼{〜气}绢[3]缴转卷{动}[5]照叫眷卷{试〜}[7]决诀蕨
tɕʰ	[1]川穿圈[3]犬[5]劝券[7]缺出
dʑ	[2]朝{〜代}潮乔侨桥传椽拳权颧{〜骨}[4]兆篆赵[6]召轿倦
ȵ	[2]元原源[4]软[6]愿绕[8]月
ɕ	[1]消销硝烧宣喧肖宵[3]小少选[5]笑[7]雪
ʑ	[2]全泉[4]扰[6]邵旋绍
ɦ	[2]摇谣窑姚丸员圆缘园援[4]缓远[6]院县[8]悦阅越穴粤
∅	[1]妖邀腰冤渊温{〜州}瘟怨[3]碗腕稳
#ɛ	
p	[1]褒{〜奖}[3]保堡宝[5]报
pʰ	[1]剖
b	[2]袍[4]抱[6]暴
m	[2]毛谋[6]冒帽茂贸
v	[2]浮
t	[1]刀[3]岛倒{打〜}[5]到倒{〜水}
tʰ	[3]讨[5]套
d	[2]桃逃淘{〜米}陶萄{葡〜}涛[4]道稻[6]盗导
n	[4]脑恼
l	[2]劳牢[4]老
ts	[1]遭糟[3]早枣蚤[5]澡
tsʰ	[1]操[3]草[5]糙{〜米}
s	[1]骚[3]嫂[5]扫燥
z	[2]曹[4]皂造
k	[1]高膏羔糕[3]稿[5]告
kʰ	[1]烤拷[3]考[5]靠
ŋ	[2]放熬鳌[6]傲
h	[3]好[5]耗
ɦ	[2]豪壕毫[4]浩[6]号
∅	[3]袄[5]奥懊{〜悔}岙{山〜}
#iɛ	
t	[3]点[5]店
tʰ	[1]添[3]舔[7]帖贴
d	[2]甜填[6]垫[8]叠碟蝶谍
ȵ	[2]严谚[4]仰[6]念让
l	[2]良凉粮梁粱量{〜长短}[4]两{几〜几钱}辆[6]亮谅量{数〜}[8]列烈裂律
tɕ	[1]将{〜军}章樟疆僵缰姜张[3]蒋奖掌长{生〜}涨桨[5]酱浆仗帐胀将{大〜}[7]接劫哲蜇节即结洁击激
tɕʰ	[1]枪昌腔[3]抢厂[5]唱畅倡[7]切妾
dʑ	[2]强长{〜短}肠场[4]丈杖
ɕ	[1]相{互〜}湘箱厢轩襄镶商伤香乡[3]想响鲞赏[5]向相{〜貌}[7]削设
ʑ	[2]墙详祥尝偿裳[4]象像橡上{〜去}[6]匠尚{和〜}上{〜下}[8]若勺弱嚼
ɦ	[2]羊洋烊{融化}扬杨阳垟{田〜}[4]痒
∅	[1]央秧殃[3]养[5]样
#e	
p	[7]北笔
m	[7]密[8]墨默蜜
t	[5]戴[7]得德
tʰ	[1]胎[5]态贷
d	[2]台抬潭[1]待[6]代袋[8]特
n	[2]南力[6]耐[8]纳
l	[2]来[8]胁勒立栗劣率{效〜}
ts	[1]灾栽[5]再[7]则
tsʰ	[3]采彩睬[5]菜[7]侧测
s	[7]塞色
z	[2]才材财裁[4]在[8]杂贼
k	[1]该柑泔{〜水}[3]改敢[5]盖溉[7]鸽
kʰ	[1]开[3]凯[7]磕刻克
ŋ	[2]呆
h	[3]海[7]黑
ɦ	[4]亥孩核{市〜}[6]害[8]合盒核{〜桃}
∅	[1]哀庵[5]爱暗
#ie	
p	[1]标编边蝙彪鞭[3]表扁匾贬[5]变遍[7]鳖憋
pʰ	[1]飘篇编{又}漂{〜流}[3]漂{〜白}[5]票骗片[7]撇匹
b	[2]鳔瓢嫖[4]辩辨辫[6]便[8]别
m	[2]苗描绵棉眠[4]秒渺免勉[6]庙面妙[8]蔑
t	[1]颠[7]跌
tʰ	[1]天[7]铁
d	[2]田钱[6]电殿奠
l	[2]连联怜莲廉镰帘[4]脸敛[6]练炼
tɕ	[1]尖兼肩坚煎[3]剪茧展[5]剑箭溅战建荐见
tɕʰ	[1]签廉迁千牵[3]浅遗歉[5]欠[7]揭
dʑ	[2]钳钱=缠[4]俭件[8]杰
ȵ	[1]研[2]年[6]验[8]业热
ɕ	[1]仙鲜先[3]险显[5]线扇宪献[7]胁歇
ʑ	[2]前潜蝉然燃[4]贱践[6]善渐[8]涉舌捷
j	[2]炎盐延筵贤弦[4]演[6]现艳焰[8]叶协
∅	[1]烟蔫{食物不新鲜}[3]掩野燕[5]厌[7]页噎
#ai	
p	[1]杯碑悲[5]背辈
pʰ	[5]配
b	[2]培陪赔裴[4]倍[6]佩背{〜诵}焙{〜干}
m	[2]枚楣{倒〜}
f	[1]灰徽挥{又}辉{又}[3]贿悔
v	[2]回茴{〜香}[6]会汇
t	[1]堆 [5]对碓{水〜}
tʰ	[1]推[3]腿[5]退蜕{〜皮}唾{〜液}
d	[6]队兑
n	[6]内
l	[2]雷脶{手指纹}[4]累{积〜}垒[6]泪
ts	[5]最醉=
tsʰ	[1]催崔{姓}猜[3]脆[5]翠
s	[3]碎
z	[4]罪[6]睡粹{纯〜}
k	[1]归[5]会{〜计}桧个
kʰ	[1]盔魁恢亏[5]块刽
ŋ	[6]魏饿-
#au	
t	[1]兜[3]斗抖[5]斗{战〜}
tʰ	[1]偷[3]般{〜开}[5]透
d	[2]投骰{〜子，赌具}
n	[4]冇{没有}
l	[2]楼[4]篓[6]漏陋
ts	[1]邹[3]走九久[5]奏皱救究
s	[1]搜休[3]朽瘦[5]嗽{咳〜}
z	[2]愁
k	[1]勾钩沟[3]狗苟[5]够购构
kʰ	[3]口[5]扣寇
ŋ	[2]牛[4]藕偶
ɦ	[2]侯猴喉[4]后[6]候
ɡ	[4]厚
∅	[1]瓯欧殴呕
#iau	
tɕʰ	[1]丘[5]凑
dʑ	[2]求球[4]臼舅[6]旧骤宙
ɦ	[2]尤邮由油游犹[4]有友[6]右佑祐诱
∅	[1]忧优幽幼
#ieu	
l	[1]溜{〜走}[2]流刘留[4]柳榴{石〜}
tɕ	[1]周舟州洲[3]酒帚[5]咒
tɕʰ	[1]秋抽[3]丑[5]臭
dʑ	[2]囚绸稠筹仇酬
ɕ	[1]修收[3]手首守[5]秀绣锈兽
ʑ	[2]柔揉泅[4]受授[6]寿袖就
∅	[7]育郁
#aŋ	
p	[1]奔崩[3]本
pʰ	[1]喷
b	[2]坌{〜尘，灰尘飞扬}[6]笨
m	[2]门蚊-[6]闷问-
f	[1]分芬纷[3]粉[5]奋粪
v	[2]文坟纹蚊=闻[4]愤忿吻刎焚[6]份问
t	[1]登灯[3]等[5]凳顿
tʰ	[5]氽{浮在水面}
d	[2]腾誉藤饨{馄〜}[4]断-[6]邓
n	[2]能人[4]暖
l	[2]伦沦轮
ts	[1]津珍榛臻真曾{姓}增[3]枕[5]进晋镇振震浸{又}
tsʰ	[1]侵[3]寝衬乘{〜车}
dz	[2]沉陈尘臣[6]阵
s	[1]参{人〜}兴{〜盛}辛新薪身申伸僧欣[3]沈审[5]信渗兴{高〜}
z	[2]辰晨人=仁层秦[4]尽肾[6]任{责〜}慎赠
k	[1]跟关{〜门}[3]亘
h	[3]很狠
ɦ	[2]恒[6]恨
#iaŋ	
tɕ	[1]今金襟巾斤筋茎京经荆[3]紧颈景[5]禁劲{〜头}敬镜警
tɕʰ	[1]钦卿轻亲[5]庆
dʑ	[2]琴禽勤芹擎竞[4]近妗{舅母}[6]仅
ȵ	[2]银迎 [4]忍 [6]认任{姓}
ɦ	[2]邢形刑型盈颖[4]引
∅	[1]音阴因姻殷英婴缨应{〜当}[3]饮{米汤}隐影[5]印赢
#eŋ	
p	[1]彬宾槟冰兵滨殡鬓斌[3]丙饼秉[5]柄并{合〜}
pʰ	[1]拼妍{〜头}[3]品聘
b	[2]贫凭平坪评瓶屏萍[6]病
m	[2]民鸣明名[4]敏悯抿皿铭[6]命
t	[1]丁钉{铁〜}[3]顶鼎[5]钉{〜住}订
tʰ	[1]听厅汀[3]艇挺
d	[2]亭停廷庭蜓{蜻〜}[6]定
l	[1]拎扔[2]铃邻鳞陵凌菱灵零伶林淋临[4]领岭[6]令另吝{〜啬}
ts	[1]精晶睛贞征蒸针[3]井整拯{〜救}[5]正{〜好}政证症浸
tsʰ	[1]清青蜻{〜蜓}称[3]请[5]秤
dz	[2]澄呈程[6]郑剩
s	[1]声星腥升心[3]醒[5]性姓圣胜
z	[2]乘{〜法}绳承丞仍成城诚情晴[4]静靖[6]净盛{兴〜}
#əŋ	
v	[2]云匀[6]运韵孕
z	[2]循巡唇纯旬[6]顺润
k	[3]滚[5]棍
kʰ	[1]坤[3]捆[5]困
#yəŋ	
tɕ	[1]均钧君军肫{鸡〜}[3]准遵
tɕʰ	[1]春
dʑ	[2]裙群[4]盾{矛〜}虹{挂〜}[6]郡
ɕ	[1]勋
#oŋ	
pʰ	[3]捧
b	[2]篷蓬朋棚
m	[2]蒙懵{〜懂}[6]梦
f	[1]风枫疯封峰蜂锋丰
v	[2]逢[4]奉[6]凤缝
t	[1]东冬[3]董懂[5]冻栋
tʰ	[1]通[3]统[5]痛
d	[2]同铜桐筒童[4]桶动[6]洞
n	[2]农[5]糯{〜米饭}
l	[2]隆笼聋垅[4]拢[6]弄
ts	[1]棕宗鬃中忠终[3]总[5]粽
tsʰ	[1]聪匆葱囱{烟〜}充冲[3]宠[5]铳{打〜}
s	[1]松兄[3]怂[5]宋送
z	[2]崇戎绒丛
k	[1]公工攻功蚣{娱〜}[5]贡
kʰ	[1]空{〜气}[3]孔[5]空{亏〜}
h	[1]烘哄{闹〜〜}[3]哄{〜骗}
ɦ	[2]冯红洪鸿虹=宏
∅	[1]翁瓮
#ioŋ	
tɕ	[1]弓宫[5]众
dʑ	[2]穷琼虫
ɦ	[2]荣营熊雄融容蓉
∅	[1]雍拥[3]永泳咏
#ŋ̍	
	[2]儿[4]耳我[6]二
