	註釋：-白讀，=文讀									
kʰ	[8]□{用}									
h	[8]獲穫{又}劃=峽{～兜，地名}									
∅	[8]狹-									
#aiʔ										
p	[7]八別{知道}百=佰=柏=檗陌									
pʰ	[7]迫{～擊炮}									
t	[7]得德									
tʰ	[7]貼帖忒忑									
ts	[7]則責汁節-鍘=									
tsʰ	[7]側測惻策拆=廁{又}									
s	[7]色瑟虱穡嗇澀塞=									
k	[7]隔=格=革鍥膈潔-									
kʰ	[7]客=刻克剋□{目～，閉眼}咳□{擠}									
h	[7]血-黑赫									
∅	[7]厄扼搤抑軛									
#ouʔ										
p	[8]薄=亳									
pʰ	[8]□{擊打，擊打聲}									
m	[8]莫=寞漠={～然}									
t	[8]奪-鐸度凸突□{肥～～}									
tʰ	[8]□{往下落}									
n	[8]諾訥=									
l	[8]樂=落=洛烙絡=酪駱									
ts	[8]昨={又}鑿=濁擢濯=柞									
tsʰ	[8]撮{又}戳=簇-									
s	[8]挲{用手撫平}									
k	[8]滑-									
kʰ	[8]撞搕□{動}磕-									
ŋ	[8]樂{音～}嶽=岳=									
h	[8]學=鶴核劾紇貉									
∅	[8]□{坐在地上手，腳，臀並用前行}									
#ɔuʔ										
p	[7]博搏蔔{～卦}駁=𦢊爆-膊剝=									
pʰ	[7]璞挨樸撲{～克}									
m	[7]嫫幕漠-{沙～}□{爛了}									
t	[7]掇{～椅}琢啄涿卓悼酌{對～}									
tʰ	[7]託托=柝橐□{熱水衝}拓脫-橐									
n	[7]□{初入水}									
l	[7]踱犖									
ts	[7]作捽昨=									
tsʰ	[7]錯撮蹉{齷～}猝攥{～毛}									
s	[7]率{～領}蟀朔索=									
k	[7]角={牛～梳}覺=刮-各=骨									
kʰ	[7]壑涸窟嚳恪玨確磕瞌愨									
ŋ	[7]顎鱷鄂萼噩諤愕									
h	[7]搕{又}									
∅	[7]惡齷沃=喔									
#øyʔ										
pʰ	[8]雹									
m	[8]墨目-木-茉									
t	[8]毒-									
tʰ	[8]讀-									
l	[8]六陸-磟漉									
tsʰ	[8]鑿{動詞}									
s	[8]□{顛簸}									
h	[8]或惑=斛□{氣喘}									
#ɔyʔ										
p	[7]北									
pʰ	[7]珀魄									
m	[7]抹-									
t	[7]觸觕									
tʰ	[7]□{捅，刺}									
l	[7]□{散了}									
tsʰ	[7]軸-									
s	[7]摔									
k	[7]角□{四分之一鬥}									
kʰ	[7]殼									
h	[7]蓄-									
