来源：	宋小丽 2012《山西孝义白壁关话语音研究》；Skanda 整理录入
tɕʰ	［1］签-千-迁-牵-{～挂}杞{枸～～}［2］茄钳-潜-前-钱-乾-{～坤}虔-{～诚}［3］且浅-膁{腿～：膝盖弯曲部分}［5］欠-{～款}歉-
ɕ	［1］些仙-鲜-席［2］邪斜涎-{～水}［3］写-险-{好～}癣-显-{～示}县-［5］泄卸谢献-{～出}现-{～成}线-
k	［1］干-{～湿}肝-{～花：煮好的肝儿}竿-{～子}［3］擀-{～面}赶-{～会}
kʰ	［3］砍-{～树}［5］看-{～见}
ŋ	［1］鞍-{马～子}安-{～～地儿：封闭严密}屙-{～屎}［3］我掩-{～雀儿：手覆}［5］饿案-{～板儿：面板}
Ø	［1］揖阉{～猪}蔫-{花萎}烟-［2］盐-阎-{姓}沿-{～边边：缝}檐-{房～}爷={～～：诸神}蜒-{蚰～}［3］也=野-掩-{～盖}迤{～逗}［5］夜验-液咽-抑=翼=
#u	
p	［1］波-菠-玻{～璃}搬-般-{一～的：同岁}［3］簸{～一～}补捕［5］簸{～箕}部薄{礼～}抱菢{～鸡娃儿}布怖步埠伴-拌-半-□{头～子}
pʰ	［1］颇-坡-铺{～设}［2］婆-蒲葡菩脯□{喷吐}盘-{～～碟碟}［3］谱普浦仆{～倒：农作物在大雨后大面积倒了}堡-{下～：地名}［5］破-铺{～子}扑{～克儿}
m	［2］磨{～刀}魔-蘑-模{～子}模-{～范}摹-{～仿}谋-膜毛-{～～：碎毛}瞒-{～住人}摩-{～托车}［3］满-亩母牡姆拇抹-{～搽}［5］磨{石～}暮慕墓募漫-{水～金山}幔-幕牧□{～书：对书痴迷}□{～糊：觉睡得很死}□{～坡坡}□{～了一砖：砸}□{夹～：傻}
t	［1］都{～城}端-嘟□{圪～：拳头}［3］朵-躲-赌堵睹肚{猪～}短-［5］惰-垛-{柴～}剁-杜肚{大～子}度渡镀断-段-缎-锻-{～造}
tʰ	［1］屠徒途涂图团-［3］妥-椭-土吐{呕～}［5］唾吐{～痰}兔
n	［3］暖-努-{～筋暴力}
l	［2］庐={～山}炉=［5］乱-
ts	［1］砖-{～头}装-{～裹}钻-{～牛角尖}［3］左-{～面}佐-转-{投生}祖=组=［5］座-坐-转-{～圈圈}钻-{～开}
tsʰ	［1］穿-传-{～猪儿：疫病传染}□{～壶：一种热水器}粗=［3］喘-［5］串-醋=
s	［1］蓑-梭-酸-［3］嗦-{罗～}锁-琐-所-唢-［5］算-肃蒜-戍漱={～口}
ʐ	［2］儒=［3］软乳辱=孺=蠕=
k	［1］锅-{～盖}姑咕蛄孤箍棺-□{～～：男性生殖器}冠-{鸡～～}［3］果-古裹-估盬股鼓管-□{催迫}［5］过-故固锢雇顾灌-罐-
kʰ	［1］科-窠-棵-颗-枯宽-骷［3］苦款-{～～儿地：轻轻地}可-{～以}［5］课-库裤酷□{～子：为防木板变形而加的横木}
x	［1］呼夫皮肤跗{脚面}敷俘孵{～小鸡}麸{麦～子}［2］和{～气}禾胡湖瑚狐泭{～上水：巴结有权势的人}壶乎符{鬼画～}扶浮{～头：上面}芙□{～合牢牢地：轻而放不稳的样子}［3］火-伙-虎浒釜腐辅抚府腑俯甫斧否［5］祸-货-和{～面}户互护父付赋傅赴讣附妇负阜富副唤-焕-换-糊{～弄}符{～合}□{水～：浑浊不清}
Ø	［1］倭-踒{～了脚}窝-蜗-乌污豌-{～豆}剜-{～出肉来}睕-{～了一眼}［2］蜈吾梧无巫诬丸-［3］五伍午武舞侮鹉碗-［5］卧-误悟恶{厌～}务腕-雾挽-戊
#y	
n	［3］女=
l	［5］恋-{～人：小孩喜欢接近大人}□{～汤熬到家，水乳交融}
tɕ	［3］卷-{～起来}［5］圈-{猪～}卷-{～子}绢-捐-
tɕʰ	［1］圈-{圆～～}［2］全-{～部}泉-{～子}瘸颧-{～骨}拳-{划～}呿{赶鸟声}［5］劝-
ɕ	［1］靴掀{～开门子：用手推}［5］旋-{～吃～做：现吃现做}楦-{鞋～}漩-{～涡}
Ø	［1］于=［2］缘-{～法}圆-{～的}元-{～宝}园-{～子}原-{～～本本}［3］远-［5］院-{～里}冤-{～报：责怪}
#ʮ	
n	［3］女-
l	［2］驴［3］吕旅屡铝缕{丝～}履［5］虑滤泪-类-垒-{～起来}
ts	［1］猪诸居车{～马炮}诛蛛株朱珠拘驹［3］阻组煮举拄主矩嘴-{～巴子}帚-［5］著助巨拒距炬据锯苣聚柱驻注住蛀炷{一～香}苎{～麻线}铸句具俱惧醉-{喝～}剧{～烈}箸{火～：捅火器}
tsʰ	［1］初趋区驱蛆{生～}觑{圪～～眼：眯着眼睛看}□{～起：用铲子等堆起来}□{～出手来：伸出手}［2］除储锄渠厨雏瞿□{～～地：水挤压出来发出的声音}□{～～炮：哑炮}［3］褚楚处{相～}杵础［5］处{～理}去{～皮}取娶
s	［1］梳{～头}疏{～远}蔬虚嘘需枢输吁兄-{弟～}遂-{半生不～}随-{手：顺手}［2］徐书舒殊抒□{～伏}［3］暑鼠黍署{专～}薯{红～}许数{～鸭子}蜀髓-{骨～}［5］序许绪絮叙疏{注～}庶恕续={～弦}数{～学}树竖岁-{三～}穗-{麦～～}戌{戊～}
z	［1］於{～此}淤{～没}迂□{～土：用土围堤}［2］如鱼渔余馀儒-愚虞于盂榆逾{过～：过分}愉□{～～地：慢慢移动}［3］汝语与{给予}擩{～进去}雨宇禹羽予腴{红圪～～：红润柔软的样子}嚅{口～白沫}辱-孺-蠕-{圪～：虫子爬动的样子}［5］御誉预豫遇寓愈芋喻裕郁玉欲浴吁{～：喝令牲畜的停下来的声音}娱谕□{～血：往外渗血}稔{红圪～～：果实长势很好}
#a	
p	［1］巴芭疤粑{熰圪～：锅巴}□{～～：小孩儿的大便}叭{象声词}□{～叉：两腿撤开}［3］靶把{～门}［5］霸坝爸耙{～地}罢把{锨～}
pʰ	［2］爬琶杷［5］怕帕
m	［2］麻蟆妈=［3］马玛码蚂［5］骂
t	［2］□{～：爸爸（被称）}［3］打［5］大=□{～：爸爸（面称）}
tʰ	［1］他□{走路～～地儿：走路有力}
n	［2］拿{～人：刁难要挟他人}那={姓}［3］□{～～样儿：软弱的样子}［5］□{～：给人东西时的呼语}
l	［1］拉{～扯}啦［3］□{～糊：马虎}［5］旯{旮～}落{～下}
ts	［1］渣眨咱-喳臜{腌～}［3］斩-咋{～地：怎么样}□{圪～：骑着}［5］诈榨炸={爆～}栅{～～：栅栏}乍
tsʰ	［1］楂叉杈差{～别}查□{兀家把我}□{～了一顿：斥责}［2］茶搽茬□{～豆：黄豆}［3］衩镲扠□{一：拇指与食指撇开的距离}［5］差{～不多}岔□{希～：少有的东西或少来往的人}
s	［1］沙纱痧裟杈{～子：农具}［3］洒撒［5］□{～：挑拣}
tʂ	［1］睁-{～开眼}［5］□{～庄：地名，“张家、赵家”的合音}占{分～开}
ʂ	［1］生-{～熟}甥-{外～子}□{～好：很好}啥［3］傻［5］厦{大～}
ʐ	［1］□{～：“人家”的合音}
k	［2］□{～～地儿：重物敲击的声音}［3］□{～晃：晃晃悠悠的}嘎［5］尬{尴～}
kʰ	［3］卡{～片}
ŋ	［1］腌{～臜}［3］哑-
x	［1］罅{～开门}哈［2］□{有～数：有分寸}［5］下-{底～}夏-{～天}吓-{～死}
Ø	［1］啊阿-
#ia	
p	［1］绷-{～被子：缝}□{～～地儿：鞭炮响的声音}［3］绷-{～下脸}□{皱～～：固执}［5］迸{～火星}绷-{～开：裂开}
pʰ	［2］棚-{～～：简易的棚屋}□{～～热水放冷水里凉凉}［3］□{～开腿：叉开腿}［5］片-{一～水}□{～下一地：占满了}
m	［2］咩虻-{～蝇}□{圪～地儿：轻轻地}□{～眉瞪眼：干瞪眼}□{～～：芦苇制成的口哨}［3］猛-{～不防}□{立～～：陡直的样子}
n	［1］桠-{～杈}酽{～茶}［2］牙-芽-蚜{肉～子}衙-鸦-{～片}崖-［3］雅-哑-［5］砑{～平}压-硬-亚-{不～于}□{～柴}轧{～花}□{给东西时的呼语}
l	［1］□{～庄：“梁家”的合音}［3］两{～个}俩{～人}□{～庄：“李家”的合音}
tɕ	［1］家加痂嘉佳□{面～：面条}耕-{～地}袈［3］假{真～}贾［5］假{～期}架驾嫁稼价□{驱赶牲口的声音}
tɕʰ	［1］揢{～孩儿：抱孩子}［3］卡{～住}［5］掐{～死}恰洽
ɕ	［1］虾{～米}［2］霞瑕遐［5］下={～降}夏={姓}吓=厦{～门}杏-{～梅梅}
Ø	［1］鸦丫桠={～杈}［2］□{～地儿：哪个地方}爷-涯崖=牙=衙=鸭=鸦=芽=［3］哑=雅=也-［5］亚-押-压-
#ua	
n	［2］□{～～：小孩子弯曲手指}
ts	［1］抓［3］爪{～子}［5］□{～～地儿：甩物的声音}
tsʰ	［2］□{流水发出的声音}［5］□{泼水的声音}
s	［3］耍
k	［1］瓜刮{～脸}呱［3］寡剐［5］挂=褂卦
kʰ	［1］夸［3］垮侉胯［5］跨挂-{～刀}
x	［1］花［2］华{中～}铧划{～船}［3］婳{羞羞～～：害羞的样子}［5］化华{～山}桦{～树}画话
Ø	［1］蛙娃挖［2］瓦{砖～}搲{用匙匙～上吃}［3］瓦{～刀}洼{白糖～到碗底啦：附着在底部}□{～～声：回声}
#ya	
tɕ	［3］倔-{这人可～咧：脾气倔}□{～巴巴地儿：较硬，没柔软感}
tɕʰ	［2］□{咳嗽得～～地儿}
ɕ	［2］横-{～顺}［5］□{～腥气：肉腐烂后的气味}
Ø	［1］□{我把兀家～了一顿：斥责}□{～庄：“蔚家”的合音}［2］曰［3］哕{圪～：欲呕吐的样子}
#ɔ	
p	［1］帮-剥-菠-波-梆-{～子}□{鞋～子}播［2］□{～烟：抽烟}□{～～：禾茎}［3］膀-{～子}绑-{～身上}［5］棒-{～槌}□{～把你弄住：避免}
pʰ	［1］颇=坡=旁-{～人}［2］婆=［5］膨-{肿得～牛地儿}魄=珀{琥～}破=
m	［1］魔=模=蘑=摹=摩=［2］馍忙-［3］抹=莽-{戳～：胆大泼辣}［5］陌=寞=默
#iɔ	
n	［2］娘-{～～：奶奶}［5］酿-{～酒}
l	［2］良-{～心}凉-{着～}量-{～布}梁-{姓～}粮-{～食}粱-{高～}□{～袜儿：袜子}［3］两-{斤～}［5］亮-{明～}谅-{～解}晾-{～衣服}量-{饭～}辆-{一～车}
tɕ	［1］将-{～来}疆-{～土}僵-{～硬}缰-{～绳}礓-{～石}姜-{生～}江-{～水}豇-{～豆}□{～才：刚才}［3］蒋-{姓～}奖-{～励}讲-{～课}［5］匠{木～}将-{大～}酱-{～油}浆-{～子}倔-{～鬼}
tɕʰ	［1］藏-{～～麦故儿：捉迷藏}枪-{手～}腔-{～调}［2］墙-{～～：墙壁}强-{要～}［3］抢-{～东西}［5］□{～上点面：掺和}呛-{～气}
ɕ	［1］相-{互～}箱-{～子}厢-{车～}湘-{～西}襄-{～阳}镶-{～牙}香-{～气}乡-{～亲}［2］详-{～细}祥-{～和}降-{投～}［3］想-{～象}享-{～受}响-{～应}［5］象-{大～}像-{好～}橡-{～树}向-{方～}相-{照～}项-{一～一～说}巷-{～子}
Ø	［1］央-{中～}秧-{～苗}殃-{～及}［2］羊-{～汤}洋-{～气}烊-杨-{～树}扬-{～面}［3］仰-{～仗}养-{～生}氧-{～气}痒-［5］样-{～子}□{～水：抖动使水落下}
#uɔ	
t	［1］多=当-{～时}裆-{裤～}□{罗～：弄脏}［3］朵=躲=党-{～员}挡-{～着}［5］剁=垛=惰=当-{典～}挡-{圪～住}
tʰ	［1］拖=汤-{面～}托={～儿所}［2］堂-{～～：神位}棠-螳-唐-{～僧}糖-{～水}塘-［3］妥=椭=［5］烫-{～头发}
n	［2］挪=［5］诺懦糯□{鼻～：鼻子不通}
l	［2］罗={～列}啰={～嗦}锣={～鼓}箩={～筐}骡={～子}裸={～体}狼-{～群}郎-{二～神}□{～多：弄脏}［5］洛{～阳}洛={联～}烙={～铁}骆={～驼}落={～下}
ts	［1］庄-{张家～}装-{～裹}［3］左=佐=［5］座=坐=葬-{圪～：合葬}状-{～纸}壮-{～实}
tsʰ	［1］搓={～澡工}疮-{口～}窗-{～子}双-{一～鞋}唆{挑～}［2］床-{～～：小板凳；～儿：条凳}［3］闯-{～出}［5］双-{～生生：双胞胎}错=措=锉=
s	［1］蓑=梭=桑-{～叶}丧-{报～}霜-{下～了}孀-{遗～}［3］嗦={罗～}锁=琐=所=唢=索{绳～}嗓-{～子}
tʂ	［1］张-{姓}章-{～节}帐-{蚊～}胀-{膨～}［3］涨-{～潮}长-{～大}掌-{～柜}［5］丈-{老～人}仗-{依～}杖-{拐～}账-{～本}障-{保～}瘴-{～气}
tʂʰ	［1］昌-{～盛}［2］长-{～短}场-{～里}肠-{～子}常-{经～}尝-{～～味道}偿-{～还}［3］厂-{～里}场-{～子}［5］畅-{舒～}唱-{～歌}倡-{提～}
ʂ	［1］商-{经～}伤-{受～}［3］赏-{～赐}［5］裳-{衣～}上-{～山}尚-{和～}朔={阳～}
ʐ	［2］瓤-{瓜～～}穰=［3］嚷-{～吵}壤-攘-［5］让-若={倘～}弱={～小}
k	［1］锅=刚-{～才}纲-{大～}钢-{～丝}光-{～线}框-{窗～～}观-{～光}［3］哥-果={～子}裹={～住}广{～州}［5］过=钢-{刀钝了，～～}桄{一～线}逛-{～～}幹-{红～～}
kʰ	［1］康-{～复}糠-{米～}匡-{～住}筐-{～子}眶-{眼～}［2］狂-{～妄}［3］抗-{抵～}［5］阔{～气}炕-{～上}旷-{空～}况-{情～}
x	［1］荒-{～草}慌-{～张}方-{～子}肪-{脂～}妨-{～害}欢-{～快}［2］黄-{～色}皇-{～帝}蝗-{～虫}房-{～子}防-{～御}磺-{硫～}惶-{恓～}喤-［3］火={～车}伙={～伴}谎-{～话}仿-{～效}纺-{～车}仿-{～佛}访-{～问}幌-{～子}［5］货={～车}祸={～害}晃-{～眼}放-{～人}贩-{～猪}巷-{～子}
Ø	［1］汪-{一～水}喔窝-涡蜗-挝［2］王-{～子}亡-{～命徒}芒-{麦～儿}□{～～：高粱等去粒后的空穗}［3］往-{～来}枉-{～为人}我=［5］旺-{兴～}忘-{～记}妄-{～图}望-{～孩儿}卧=沃握=
#ɚ	
Ø	［2］儿而□{暖壶响得～～地儿：象声词}［3］尔耳饵［5］二贰
#ɤ	
t	［1］多-{～少}□{这～：这儿}［5］大-
tʰ	［1］拖-{～走}［2］驼-{骆～}驮-{～起来}［3］躺-{～下}
n	［2］挪-{～开}
l	［2］罗-{～汉}锣-{～鼓}箩-{～筐}骡-{～子}螺-{～纹}啰-{～嗦}裸-{～体}萝-{～卜}［3］□{～住：通过不正当的方式取得，带有贬义色彩}□{～粗：马虎}［5］摞-{～起来}
ts	［3］左-{～手}
tsʰ	［1］搓-{～澡}［5］锉-{～子}错-{对～}
tʂ	［1］遮招-{～上门女婿}［3］者展{～开}［5］蔗照-{～孩儿}占-{～据}
tʂʰ	［1］车={马～}［2］朝-{～前}潮-{～气}缠-{～住}［3］扯
ɳ	［2］粘-{～：形容词}［3］碾-{～米}粘-{～：动词}
ʂ	［1］奢赊烧-{～火}扇-{～刮子}［2］蛇佘□{～咧：表否定}［3］舍{～不得}少-{多～}闪-{打～}［5］射麝舍{宿～}社{～区}扇{～子}□{～色：褪色}□{～了：火烧云}
ʐ	［3］惹扰-{～民}绕-{～道儿}燃-{～着}染-{～色}攘{圪～人：烦人}［5］绕-{～远}
k	［1］歌{～子}高-{～处}糕-{～点}膏-{～药}［3］戈{干～}哥={二～}［5］个={～人}告={～诉}
kʰ	［1］科={～学}窠={～臼}棵={一～树}颗={～粒}苛［3］可={这颜色～红：表程度轻}［5］课=靠-{依～}铐-{手～子}可={兀家～世界跑咧：到处}咳{～嗽}
ŋ	［1］阿-{～胶}爊-{～白菜}［2］蛾鹅俄讹熬-{～夜}额{～头}屙-{～屎}［5］鏊-{～子：烙饼用具}膏-{～油：添加润滑剂}
x	［1］荷{薄～}涎-{～水}憨-［2］河何呵{～气}饸{～饹面}荷{～花}［3］□{～上：拿上}□{～住：被难住}［4］旱-{～地}鹤{仙～}赫{～～有名}吓{恐～}汗-{足～气}鼾-{打～}贺{～礼}
#iu	
p	［1］膘-{～子}鳔-{鱼～}［3］表-{手～}裱-{装～}婊-{～子}［5］摽-{～住做活计咧}
pʰ	［1］飘-{～起来}漂-{～走}［2］瓢-{～～}嫖-{～客}［3］漂-{～白}［5］票-{车～}漂-{～亮}
m	［2］苗-{菜～～}描-{～红}［5］庙-{～里}妙-{～龄}苗-{～条}
t	［1］刁-{派～}［5］钓-{～鱼}调-{～过}掉-{～过得脑}吊-{上～}□{～水：骂人的话}
tʰ	［1］挑-{～刺}笤-{～帚}劁-{～猪}［2］调-{～和}条-{～状}［3］挑-{～担}［5］跳-{～绳}粜-{～米}苕-{灰～菜}
n	［5］尿-{～～}
l	［2］燎-{～着}镣-{～窝：炉渣坑}撩-{～起}缭-{～贴边}獠-{～牙}潦-{～浆泡}□{～逗：挑逗}［3］燎-{火～眉}了-{～结}［5］瞭-{～～：望望}尥-{马～蹶子}料-{贴～}□{～衣裳：清洗}
tɕ	［1］焦-{烧～}椒-{花～}浇-{～花}娇-{～气}□{燎～泡}［3］搅-{圪～}绞-{～水：用轱辘往上提水}□{～～：系连}［5］噍-{倒～}叫-{～鸣}窖-{～里}□{～得不行：穷}
tɕʰ	［1］悄-{～～地}荞{～麦}跷-{高～}［3］雀-{～儿}
ɕ	［1］消-{雪～了}［3］小-{～孩}［5］笑-{～脸}
Ø	［1］妖-{～里～气}腰-{～带}约-{～摸}□{～鸡：赶鸡}［2］摇-{～摆}窑-{煤～}［3］舀-{～水}［5］要-{想～}鹞-{～子}葽-{草～子}靿-{鞋～子}
#ai	
p	［2］白{～菜}［3］摆□{～～：用清水略洗}［5］拜败=稗{水～子：一种青草}
pʰ	［2］牌排［3］□{～刁：刁难}［5］派
m	［3］买［5］卖迈
t	［1］呆{～子}［3］逮={～住}［5］戴={～帽子}带={～子}大{～夫}待={等～}怠={～慢}歹殆贷={～款}代={～表}袋={～子}
tʰ	［1］胎={备～}台{～湾}［2］台={戏～}苔={青～}抬={～东西}［5］太泰态
n	［1］奶{～～：乳汁或乳房}［3］乃奶{～孩儿：给小孩子喂奶}［5］耐={～用}奈内-{～情}
l	［2］来={～往}［3］□{薄～：摇摆}［5］赖癞
ts	［1］灾={～难}栽={～树}斋{聊～}［3］宰={～死}载={年～}崽{狗～子}□{～文：咬文嚼字}［5］在={～家}再={～见}载={～重}债寨=
tsʰ	［1］猜={～想}钗{金～}差{～事}［2］才={成～}材={木～}财={～礼}裁={～缝}豺{～狼}柴{～火}揣-{～到怀}搋-{～面：以拳头揉面}□{～人：牛以头角抵人}［3］彩={～色}采={～花}睬={理～}踩□{～猪：使公母猪交配}［5］菜={～叶}蔡
s	［1］腮={～红}鳃={鱼～}筛{～灰}［3］□{～秧歌：摇摆舞动}筛{～锣}［5］赛晒
k	［1］该={应～}［3］改=［5］概={～括}溉={灌～}丐{乞～}钙{～片}盖={～子}
kʰ	［1］开={～门}［3］凯楷［5］慨
ŋ	［1］哀{～求}埃{尘～}挨{～着}［3］蔼矮癌［5］碍={妨～}艾={～草}爱={～人}隘=
x	［2］孩=咳{～声叹气}鞋-［3］海嗨{～：表惊异}［5］亥害={～人}骇{惊～}□{～下：明白懂得}嗨{～：表呼唤}□{～开糖：使得溶解}
Ø	［5］唉哎
#iai	
n	［2］捱{～打}崖-［5］□{～饿：忍耐}
tɕ	［1］阶街［3］解{～开}［5］介疥界芥届械戒
tɕʰ	［1］揩{～抹打扫}
ɕ	［5］解{姓}蟹{螃～}懈{～怠}
#uai	
ts	［2］□{～～地：像嚼物之声}［5］拽{拖～}
tsʰ	［1］膗{～得很：笨拙～}□{～掇：硬性售出}［3］揣={～度}搋={～面}［5］□{懦～：肥肉笨}
s	［1］衰摔［3］甩［5］帅率蟀
ʐ	［2］□{～～地：像嚼物之声}［5］□{～点：行贿}
k	［1］乖［3］拐柺［5］怪
kʰ	［3］□{～哄：假言安慰}［5］会{～计}刽{～子手}快筷
x	［1］怀槐淮［3］块{两三～：通用量词}［5］坏
Ø	［1］歪［3］崴{～住足啦}□{～：“维块”的合音，代词，那}［5］外=喂{～～：呼唤声}□{～的兀的：死坐}
#ei	
p	［1］杯碑卑悲［5］贝背倍备=辈鞴={～马}焙{～干}败-{～兴}被=
pʰ	［1］埋-{～人}［2］胚{～胎}柸{土～子}［3］培陪赔裴［5］沛佩配辔=呸=
m	［2］埋={～东西}梅枚媒煤霉玫嵋莓［3］美镁每□{黑～～：庄稼因病而生的黑穗儿}［5］妹媚魅寐没昧
t	［3］逮-{～住}［5］戴-{～帽子}带-{～子}待-{～会儿}怠-{～慢}贷-{～款}代-{～理}袋-{～子}
tʰ	［1］胎-{～位}□{～好：藏起来}［2］台-{圪～～}苔-{蒜～}抬-{～东西}□{～火：生火}
n	［5］耐-{～用}内-{～情}
l	［2］来-{～往}雷={～电}［3］儡蕾磊□{餶～：一种杂拌面菜的颗粒状的食物}
ts	［1］灾-{～难}栽-{～树}贼□{不值～害：起不了作用}［3］宰-{～死}载-{年～}□{～了一疙瘩：偷窃}［5］在-{～家}再-{～见}载-{～重}寨-
tsʰ	［1］猜-{～想}［2］才-{成～}材-{棺～}财-{～礼}裁-{～缝}［3］彩-{云～}采-{～花}睬-{理～}［5］菜-{～叶叶}
s	［1］腮-{～里}鳃-{鱼～}
k	［1］该-{应～}［3］改-给［5］概-{～括}溉-{灌～}盖-{～子}
kʰ	［1］开-{～门}
ŋ	［5］碍-{～事}艾-{～草}爱-{～人}
x	［2］孩-嘿［5］害-{～人}
#uei	
t	［1］堆□{～儿：睾丸}［5］对碓队兑
tʰ	［1］推［3］腿［5］退蜕褪煺
l	［2］雷-{吼～}［3］累{～积}垒=［5］累{劳～}泪=类=
ts	［1］追［2］椎锥［3］嘴=［5］罪最缀赘醉=坠
tsʰ	［1］催崔吹炊猜-{～谜}［2］垂槌锤［5］脆翠粹
s	［1］随=虽绥衰［2］谁［3］髓=水［5］碎岁=税睡隧遂帅祟{鬼～}
ʐ	［3］蕊［5］芮{姓}锐瑞睿
k	［1］圭闺规龟归□{～刀子：磨刀}［3］轨诡鬼癸［5］贵桂跪={～下}柜={～～}
kʰ	［1］傀魁盔奎亏葵窥［5］溃=愧跪-{～倒}
x	［1］灰恢麾非妃挥辉徽［2］茴回肥=［3］悔诽毁匪［5］汇贿会{开～}绘晦废肺吠惠慧秽痱费翡卉彗烩溃-{发～：感染}和-{～搅}
Ø	［1］威［2］桅危为{作～}维唯惟［3］煨{～冬瓜}伪萎{枯～}委微尾=苇伟纬［5］外-{～头}为{～什么}位未味卫喂=胃魏谓慰畏渭讳
#aɔ	
p	［1］包胞{～衣}□{～地：用手脚挖地}［2］刨雹［3］褒保堡=宝饱［5］报菢抱=暴豹爆铇鲍
pʰ	［1］抛脬剖-［2］袍［3］跑［5］泡炮疱
m	［2］毛={皮～}茅锚猫矛茅眊{～～：窥视}蟊{～～贼：小偷}［3］铆卯毛{～～钱}［5］冒帽貌茂贸
t	［1］刀叨倒{～气：呼吸困难}［3］稻蹈捣岛倒{跌～}祷［5］道到倒{～水}盗导
tʰ	［1］滔掏［2］桃逃淘陶萄涛［3］讨［5］套□{～穗：高粱}
n	［2］挠铙脑{山～子：圆球体的顶端}［3］脑{～筋}恼□{～起来：用肩扛}瑙{玛～}［5］闹□{～人：用药毒害人或物}
