参考资料	阮桂君《五峰方言研究》	
剃	tʰi35	
剔	tʰi35	
倜	tʰi35	
惕	tʰi35	
嚏	tʰi35	
涕	tʰi35	
屉	tʰi35	
厉	ni55	
□	ni55	
泥	ni13	
犁	ni13	
黎	ni13	
篱	ni13	
尼	ni13	
妮	ni13	
昵	ni13	
梨	ni13	
倪	ni13	
鲵	ni13	
立	ni13	
笠	ni13	
粒	ni13	
历	ni13	
沥	ni13	
雳	ni13	
坜	ni13	
栗	ni13	
匿	ni13	
力	ni13	
励	ni13	
戾	ni13	
逆	ni13	
离	ni13	
璃	ni13	
漓	ni13	
溺	ni13	
礼	ni42	
你	ni42	
李	ni42	
里	ni42	
理	ni42	
鲤	ni42	
锂	ni42	
蠡	ni42	
醴	ni42	
例	ni35	
厉	ni35	
砺	ni35	
蛎	ni35	
隶	ni35	
腻	ni35	
利	ni35	
痢	ni35	
吏	ni35	
莉	ni35	
厉	ni35	
丽	ni35	
俪	ni35	
骊	ni35	
荔	ni35	
鸡	ʨi55	
稽	ʨi55	
嵇	ʨi55	
肌	ʨi55	
基	ʨi55	
机	ʨi55	
讥	ʨi55	
叽	ʨi55	
几	ʨi55	
饥	ʨi55	
奇	ʨi55	
唧	ʨi55	
集	ʨi13	
急	ʨi13	
级	ʨi13	
及	ʨi13	
疾	ʨi13	
吉	ʨi13	
即	ʨi13	
鲫	ʨi13	
极	ʨi13	
汲	ʨi13	
积	ʨi13	
迹	ʨi13	
稽	ʨi13	
姬	ʨi13	
圾	ʨi13	
脊	ʨi13	
瘠	ʨi13	
籍	ʨi13	
屐	ʨi13	
笈	ʨi13	
绩	ʨi13	
寂	ʨi13	
击	ʨi13	
激	ʨi13	
棘	ʨi13	
吸	ʨi13	
辑	ʨi13	
藉	ʨi13	
岌	ʨi42	
挤	ʨi42	
己	ʨi42	
戟	ʨi42	
几	ʨi42	
纪	ʨi42	
麂	ʨi42	
济	ʨi42	
祭	ʨi35	
际	ʨi35	
济	ʨi35	
计	ʨi35	
继	ʨi35	
髻	ʨi35	
寄	ʨi35	
技	ʨi35	
妓	ʨi35	
冀	ʨi35	
记	ʨi35	
忌	ʨi35	
既	ʨi35	
嫉	ʨi35	
系	ʨi35	
穄	ʨi35	
徛	ʨi35	
霁	ʨi35	
妻	ʨʰi55	
欺	ʨʰi55	
溪	ʨʰi55	
骑	ʨʰi55	
凄	ʨʰi55	
戚	ʨʰi55	
崎	ʨʰi55	
栖	ʨʰi55	
蹊	ʨʰi55	
期	ʨʰi55	
齐	ʨʰi13	
脐	ʨʰi13	
奇	ʨʰi13	
骑	ʨʰi13	
岐	ʨʰi13	
祁	ʨʰi13	
鳍	ʨʰi13	
其	ʨʰi13	
棋	ʨʰi13	
旗	ʨʰi13	
綦	ʨʰi13	
祈	ʨʰi13	
泣	ʨʰi13	
七	ʨʰi13	
漆	ʨʰi13	
讫	ʨʰi13	
乞	ʨʰi13	
迄	ʨʰi13	
戚	ʨʰi13	
吃	ʨʰi13	
歧	ʨʰi13	
颀	ʨʰi13	
骐	ʨʰi13	
琪	ʨʰi13	
淇	ʨʰi13	
祺	ʨʰi13	
琦	ʨʰi13	
埼	ʨʰi13	
膝	ʨʰi13	
企	ʨʰi42	
启	ʨʰi42	
起	ʨʰi42	
杞	ʨʰi42	
岂	ʨʰi42	
砌	ʨʰi35	
荠	ʨʰi35	
契	ʨʰi35	
器	ʨʰi35	
弃	ʨʰi35	
氣	ʨʰi35	
汽	ʨʰi35	
剂	ʨʰi35	
西	ɕi55	
犀	ɕi55	
奚	ɕi55	
兮	ɕi55	
牺	ɕi55	
嬉	ɕi55	
熙	ɕi55	
稀	ɕi55	
希	ɕi55	
嘻	ɕi55	
唏	ɕi55	
羲	ɕi55	
浠	ɕi55	
郗	ɕi55	
烯	ɕi55	
硒	ɕi55	
醯	ɕi55	
习	ɕi13	
袭	ɕi13	
吸	ɕi13	
悉	ɕi13	
息	ɕi13	
熄	ɕi13	
媳	ɕi13	
惜	ɕi13	
昔	ɕi13	
席	ɕi13	
夕	ɕi13	
矽	ɕi13	
锡	ɕi13	
析	ɕi13	
蜥	ɕi13	
牺	ɕi13	
稀	ɕi13	
蟋	ɕi13	
袭	ɕi13	
隙	ɕi13	
隰	ɕi13	
噏	ɕi13	
洗	ɕi42	
铣	ɕi42	
喜	ɕi42	
蟢	ɕi42	
细	ɕi35	
系	ɕi35	
戏	ɕi35	
伊	Øi55	
医	Øi55	
衣	Øi55	
依	Øi55	
铱	Øi55	
漪	Øi55	
祎	Øi55	
黟	Øi55	
宜	Øi13	
仪	Øi13	
移	Øi13	
夷	Øi13	
姨	Øi13	
胰	Øi13	
疑	Øi13	
嶷	Øi13	
沂	Øi13	
飴	Øi13	
一	Øi13	
壹	Øi13	
乙	Øi13	
逸	Øi13	
忆	Øi13	
亿	Øi13	
弋	Øi13	
谊	Øi13	
抑	Øi13	
翼	Øi13	
益	Øi13	
溢	Øi13	
亦	Øi13	
译	Øi13	
轶	Øi13	
佚	Øi13	
液	Øi13	
腋	Øi13	
饴	Øi13	
怡	Øi13	
贻	Øi13	
遗	Øi13	
懿	Øi13	
役	Øi13	
绎	Øi13	
疫	Øi13	
裔	Øi13	
揖	Øi13	
噎	Øi13	
易	Øi13	
蜴	Øi13	
燚	Øi13	
迤	Øi13	
邑	Øi13	
眙	Øi13	
矣	Øi42	
已	Øi42	
以	Øi42	
蚁	Øi42	
椅	Øi42	
尾	Øi42	
艺	Øi35	
刈	Øi35	
缢	Øi35	
蚁	Øi35	
义	Øi35	
议	Øi35	
毅	Øi35	
意	Øi35	
异	Øi35	
臆	Øi35	
薏	Øi35	
易	Øi35	
瞖	Øi35	
肄	Øi35	
逆	Øi35	
□	pu55	
□	pu55	
不	pu13	
钚	pu13	
勃	pu13	
卜	pu13	
饽	pu13	
谱	pu42	
补	pu42	
布	pu35	
怖	pu35	
佈	pu35	
部	pu35	
簿	pu35	
步	pu35	
捕	pu35	
埠	pu35	
铺	pʰu55	
噗	pʰu55	
蒲	pʰu13	
扑	pʰu13	
仆	pʰu13	
曝	pʰu13	
朴	pʰu13	
菩	pʰu13	
脯	pʰu13	
醭	pʰu13	
瀑	pʰu13	
濮	pʰu13	
蹼	pʰu13	
普	pʰu42	
浦	pʰu42	
谱	pʰu42	
璞	pʰu42	
蒲	pʰu42	
圃	pʰu42	
讣	pʰu35	
铺	pʰu35	
木	mu13	
目	mu13	
穆	mu13	
牧	mu13	
募	mu13	文读
墓	mu13	文读
没	mu13	
母	mu42	
姆	mu42	
拇	mu42	
亩	mu42	
呼	fu55	
忽	fu55	
夫	fu55	
肤	fu55	
敷	fu55	
跗	fu55	
俘	fu55	
孵	fu55	
麸	fu55	
□	fu55	
胡	fu13	
湖	fu13	
葫	fu13	
蝴	fu13	
狐	fu13	
壶	fu13	
乎	fu13	
符	fu13	
扶	fu13	
佛	fu13	
缚	fu13	
富	fu13	
福	fu13	
幅	fu13	
複	fu13	
腹	fu13	
服	fu13	
伏	fu13	
蝠	fu13	
覆	fu13	
栿	fu13	
茯	fu13	
复	fu13	
拂	fu13	
氟	fu13	
黻	fu13	
瓠	fu13	
芙	fu13	
芾	fu13	
涪	fu13	
佛	fu13	
虎	fu42	
府	fu42	
腑	fu42	
俯	fu42	
甫	fu42	
抚	fu42	
辅	fu42	
斧	fu42	
腐	fu42	
浒	fu42	
脯	fu42	
殕	fu42	
□	fu42	
頫	fu42	
𫖯	fu42	
户	fu35	
沪	fu35	
互	fu35	
护	fu35	
扈	fu35	
付	fu35	
赋	fu35	
傅	fu35	
赴	fu35	
讣	fu35	
附	fu35	
父	fu35	
副	fu35	
负	fu35	
阜	fu35	
戽	fu35	
瓠	fu35	
嘟	tu55	
都	tu55	
独	tu13	
读	tu13	
牍	tu13	
笃	tu13	
督	tu13	
毒	tu13	
椟	tu13	
犊	tu13	
渎	tu13	
赌	tu42	
堵	tu42	
睹	tu42	
肚	tu42	
度	tu35	
渡	tu35	
妒	tu35	
杜	tu35	
镀	tu35	
突	tʰu13	
秃	tʰu13	
徒	tʰu13	
屠	tʰu13	
途	tʰu13	
涂	tʰu13	
图	tʰu13	
凸	tʰu13	
土	tʰu42	
吐	tʰu42	
兔	tʰu35	
吐	tʰu35	
鹿	nu13	
禄	nu13	
绿	nu13	
录	nu13	
氯	nu13	
碌	nu13	
麓	nu13	
辘	nu13	
戮	nu13	
勠	nu13	
奴	nu13	
炉	nu13	
芦	nu13	
鸬	nu13	
鲈	nu13	
卢	nu13	
颅	nu13	
陆	nu13	
肉	nu13	
庐	nu13	
甪	nu13	
卤	nu42	
努	nu42	
鲁	nu42	
橹	nu42	
虏	nu42	
掳	nu42	
怒	nu35	
路	nu35	
赂	nu35	
漉	nu35	
露	nu35	
璐	nu35	
鹭	nu35	
租	ʦu55	
猪	ʦu55	
诸	ʦu55	
诛	ʦu55	
蛛	ʦu55	
株	ʦu55	
朱	ʦu55	
硃	ʦu55	
珠	ʦu55	
铢	ʦu55	
侏	ʦu55	
洙	ʦu55	
諸	ʦu55	
誅	ʦu55	
銖	ʦu55	
茱	ʦu55	
𣎍	ʦu55	~那，地名
朝	ʦu55	~那，地名
櫧	ʦu55	
槠	ʦu55	
櫫	ʦu55	
橥	ʦu55	
瀦	ʦu55	
潴	ʦu55	
硃	ʦu55	
絑	ʦu55	
藸	ʦu55	
蕏	ʦu55	
蠩	ʦu55	
袾	ʦu55	
豬	ʦu55	
跦	ʦu55	
邾	ʦu55	
鮢	ʦu55	
鴸	ʦu55	
鼄	ʦu55	
跦	ʦu55	
楮	ʦu55	
藷	ʦu55	
𫉄	ʦu55	
㦵	ʦu55	
䃴	ʦu55	
㶆	ʦu55	
𫞛	ʦu55	
䇬	ʦu55	
䐗	ʦu55	
𤝹	ʦu55	
𪏿	ʦu55	
咮	ʦu55	
蝫	ʦu55	
駯	ʦu55	
鯺	ʦu55	
䡤	ʦu55	
䣷	ʦu55	
𡱖	ʦu55	
𧳯	ʦu55	
𫁍	ʦu55	
𤥮	ʦu55	
𥛂	ʦu55	
𦧙	ʦu55	
𧘣	ʦu55	
𨾲	ʦu55	
𩊣	ʦu55	
𩋵	ʦu55	
𩴀	ʦu55	
𪋏	ʦu55	
𪋑	ʦu55	
𪎡	ʦu55	
𠧀	ʦu55	
𡻌	ʦu55	
𢑳	ʦu55	
𢒕	ʦu55	
𢔪	ʦu55	
𣦁	ʦu55	
𤃣	ʦu55	
㧣	ʦu55	
𧙕	ʦu55	
𧭷	ʦu55	
𩣿	ʦu55	
𪣎	ʦu55	
𥅲	ʦu55	
𧵺	ʦu55	
𨪥	ʦu55	
𣆦	ʦu55	
𤈐	ʦu55	
𤔏	ʦu55	
䏭	ʦu55	
𧑤	ʦu55	
搊	ʦu55	
騶	ʦu55	
驺	ʦu55	
㑳	ʦu55	
㑇	ʦu55	
𩤍	ʦu55	
𢮢	ʦu55	
卒	ʦu13	
猝	ʦu13	
足	ʦu13	
竹	ʦu13	
筑	ʦu13	
𥬄	ʦu13	方言词，手脚因猛触另一物体而扭伤
逐	ʦu13	
祝	ʦu13	
𡎺	ʦu13	方言词，塞，堵塞
粥	ʦu13	
烛	ʦu13	
妯	ʦu13	
嘱	ʦu13	
瞩	ʦu13	
燭	ʦu13	
竺	ʦu13	
孎	ʦu13	
斀	ʦu13	
斸	ʦu13	
𣃁	ʦu13	
欘	ʦu13	
𣚚	ʦu13	
瘃	ʦu13	
篴	ʦu13	
舳	ʦu13	
茿	ʦu13	
蓫	ʦu13	
蠋	ʦu13	
蠾	ʦu13	
𧑏	ʦu13	
逫	ʦu13	
钃	ʦu13	
鱁	ʦu13	
噣	ʦu13	
䌵	ʦu13	
䮱	ʦu13	
𤷚	ʦu13	
𧏿	ʦu13	
磩	ʦu13	
蚰	ʦu13	
䟉	ʦu13	
䘚	ʦu13	
笁	ʦu13	
劚	ʦu13	
㔉	ʦu13	
敱	ʦu13	
𣪱	ʦu13	
曯	ʦu13	
灟	ʦu13	
爥	ʦu13	
𪹳	ʦu13	
䕽	ʦu13	
薥	ʦu13	
䠱	ʦu13	
𨅛	ʦu13	
𢄘	ʦu13	
𢲿	ʦu13	
𣤁	ʦu13	
𣥀	ʦu13	
𣵸	ʦu13	
𣽆	ʦu13	
𤐋	ʦu13	
𥋛	ʦu13	
𥞏	ʦu13	
𥫗	ʦu13	
𦯋	ʦu13	
𫇼	ʦu13	
𥬑	ʦu13	
𥬶	ʦu13	
𥭰	ʦu13	
𥯹	ʦu13	
𦅉	ʦu13	
𦆂	ʦu13	
𨄃	ʦu13	
𧼙	ʦu13	
𨌇	ʦu13	
𨞕	ʦu13	
𩁍	ʦu13	
𩞈	ʦu13	
𩲠	ʦu13	
𩲬	ʦu13	
𪅱	ʦu13	
𫇸	ʦu13	
䥮	ʦu13	
𪈺	ʦu13	
𣀈	ʦu13	
䙱	ʦu13	
𧜭	ʦu13	
𢤷	ʦu13	
𣆣	ʦu13	
𤂎	ʦu13	
𩳥	ʦu13	
囑	ʦu13	
矚	ʦu13	
屬	ʦu13	
属	ʦu13	
鸀	ʦu13	
𣀻	ʦu13	
𣀼	ʦu13	
𡆜	ʦu13	
𢦇	ʦu13	
𤧤	ʦu13	
𫍘	ʦu13	
𫍏	ʦu13	
築	ʦu13	
柷	ʦu13	
麆	ʦu13	
䐢	ʦu13	
䝒	ʦu13	
𧱛	ʦu13	
𥴁	ʦu13	
䫖	ʦu13	
𦜻	ʦu13	
𦚲	ʦu13	
𦛴	ʦu13	
𦛑	ʦu13	
𨆄	ʦu13	
𪊹	ʦu13	
𤋰	ʦu13	
拀	ʦu13	
篫	ʦu13	
𥱋	ʦu13	
簗	ʦu13	
𡤗	ʦu13	
𢑍	ʦu13	
𢑎	ʦu13	
𩱱	ʦu13	
𥘱	ʦu13	
𥙐	ʦu13	
𩚶	ʦu13	
𥰺	ʦu13	
𥲒	ʦu13	
𥲔	ʦu13	
𥴀	ʦu13	
𥵭	ʦu13	
𢃃	ʦu13	
𡴅	ʦu13	
朮	ʦu13	白~，金兀~
术	ʦu13	白~，金兀~
炢	ʦu13	
窋	ʦu13	
茁	ʦu13	
𦬸	ʦu13	
䠼	ʦu13	
笜	ʦu13	
𠮌	ʦu13	
𠮐	ʦu13	
𠷅	ʦu13	
𡧨	ʦu13	
𥾅	ʦu13	
𨲈	ʦu13	
𩶄	ʦu13	
䆝	ʦu13	
𤇍	ʦu13	
乼	ʦu13	
𨦤	ʦu13	
𨩾	ʦu13	
㗟	ʦu13	
祖	ʦu42	
组	ʦu42	
阻	ʦu42	
煮	ʦu42	
主	ʦu42	
拄	ʦu42	
渚	ʦu42	
肘	ʦu42	
煑	ʦu42	
丶	ʦu42	
宔	ʦu42	
帾	ʦu42	
罜	ʦu42	
褚	ʦu42	
詝	ʦu42	
𬣞	ʦu42	
陼	ʦu42	
麈	ʦu42	
枓	ʦu42	
眝	ʦu42	
陼	ʦu42	
䘢	ʦu42	
䰞	ʦu42	
𢁼	ʦu42	
𪐴	ʦu42	
𤲑	ʦu42	
劯	ʦu42	
濐	ʦu42	
砫	ʦu42	
㵭	ʦu42	
𠰍	ʦu42	
𡺐	ʦu42	
𢅔	ʦu42	
𤑨	ʦu42	
𤑜	ʦu42	
𢐼	ʦu42	
𣎧	ʦu42	
𣙞	ʦu42	
𤆯	ʦu42	
𤆼	ʦu42	
𤌄	ʦu42	
𤮫	ʦu42	
𦉐	ʦu42	
𤱤	ʦu42	
𥘭	ʦu42	
𦅷	ʦu42	
𦇃	ʦu42	
𦊝	ʦu42	
𦉷	ʦu42	
𦊄	ʦu42	
𧉞	ʦu42	
𩒊	ʦu42	
𩨻	ʦu42	
𩱰	ʦu42	
𪋰	ʦu42	
𪸦	ʦu42	
𫎓	ʦu42	
𣔯	ʦu42	
燝	ʦu42	
𦒼	ʦu42	
𧻄	ʦu42	
𪜋	ʦu42	
𡏄	ʦu42	
助	ʦu35	
驻	ʦu35	
注	ʦu35	
柱	ʦu35	
住	ʦu35	
蛀	ʦu35	
铸	ʦu35	
贮	ʦu35	
炷	ʦu35	
著	ʦu35	
箸	ʦu35	
伫	ʦu35	
莇	ʦu35	
駐	ʦu35	
鑄	ʦu35	
鋳	ʦu35	
佇	ʦu35	
貯	ʦu35	
註	ʦu35	
杼	ʦu35	
砫	ʦu35	
苧	ʦu35	
苎	ʦu35	
宁	ʦu35	
壴	ʦu35	
尌	ʦu35	
嵀	ʦu35	
櫡	ʦu35	
澍	ʦu35	
疰	ʦu35	
眝	ʦu35	
𪾣	ʦu35	
祩	ʦu35	
竚	ʦu35	
𥩟	ʦu35	
筯	ʦu35	
紵	ʦu35	
纻	ʦu35	
羜	ʦu35	
翥	ʦu35	
芧	ʦu35	
跓	ʦu35	
軴	ʦu35	
鉒	ʦu35	
飳	ʦu35	
馵	ʦu35	
㫂	ʦu35	
㹥	ʦu35	
㺛	ʦu35	
㾻	ʦu35	
䍆	ʦu35	
䎷	ʦu35	
䘄	ʦu35	
䪒	ʦu35	
䬡	ʦu35	
䭖	ʦu35	
𠴦	ʦu35	
𡪄	ʦu35	
𡻠	ʦu35	
𤲑	ʦu35	
𤳐	ʦu35	
𤳯	ʦu35	
𨙔	ʦu35	
𨙦	ʦu35	
嗻	ʦu35	
坾	ʦu35	
紸	ʦu35	
樦	ʦu35	
殶	ʦu35	
迬	ʦu35	
㤖	ʦu35	
㑏	ʦu35	
㝉	ʦu35	
㿾	ʦu35	
䇠	ʦu35	
䇡	ʦu35	
䝬	ʦu35	
𠩈	ʦu35	
𡀐	ʦu35	
𡱱	ʦu35	
𡸌	ʦu35	
𢚻	ʦu35	
𢥃	ʦu35	
𢩄	ʦu35	
𣋐	ʦu35	
𣥧	ʦu35	
𣥼	ʦu35	
墸	ʦu35	
𤎧	ʦu35	
𤕞	ʦu35	
𤤛	ʦu35	
𤳌	ʦu35	
𤳼	ʦu35	
𤾄	ʦu35	
𧈚	ʦu35	
𥃓	ʦu35	
𥅖	ʦu35	
𥩣	ʦu35	
𥩽	ʦu35	
𥬾	ʦu35	
𥯄	ʦu35	
𥯸	ʦu35	
𥵟	ʦu35	
𥷿	ʦu35	
𥹍	ʦu35	
𦂂	ʦu35	
𦑥	ʦu35	
𦙴	ʦu35	
𧉶	ʦu35	
𧯛	ʦu35	
𧵴	ʦu35	
𨀉	ʦu35	
𨭅	ʦu35	
𨮚	ʦu35	
𨮩	ʦu35	
𨮾	ʦu35	
𩶂	ʦu35	
𪚹	ʦu35	
𫁢	ʦu35	
𫟱	ʦu35	
㴻	ʦu35	
䎝	ʦu35	
𧵤	ʦu35	
𩣷	ʦu35	
𪷏	ʦu35	
䳠	ʦu35	
𨥇	ʦu35	
𧝙	ʦu35	
𠰍	ʦu35	
𤡹	ʦu35	
𤟨	ʦu35	
㴤	ʦu35	
𩅻	ʦu35	
𫇕	ʦu35	
粗	ʦʰu55	
初	ʦʰu55	
𠿝	ʦʰu55	
𥘉	ʦʰu55	
𥘨	ʦʰu55	
䃼	ʦʰu55	
𠜆	ʦʰu55	
𢀰	ʦʰu55	
𢀯	ʦʰu55	
𠁉	ʦʰu55	
𣦂	ʦʰu55	
𠫎	ʦʰu55	
𡔈	ʦʰu55	
䥚	ʦʰu55	
𤙟	ʦʰu55	
𪁲	ʦʰu55	
𩷞	ʦʰu55	
貙	ʦʰu55	
𤠾	ʦʰu55	
摴	ʦʰu55	
樗	ʦʰu55	
櫖	ʦʰu55	
㯉	ʦʰu55	
𩙙	ʦʰu55	
摢	ʦʰu55	
𥽜	ʦʰu55	
𧲰	ʦʰu55	
𣛲	ʦʰu55	
榋	ʦʰu55	
除	ʦʰu13	
锄	ʦʰu13	
厨	ʦʰu13	
橱	ʦʰu13	
蹰	ʦʰu13	
亍	ʦʰu13	
雏	ʦʰu13	
出	ʦʰu13	
族	ʦʰu13	
促	ʦʰu13	
触	ʦʰu13	
躇	ʦʰu13	
刍	ʦʰu13	
黜	ʦʰu13	
储	ʦʰu13	
畜	ʦʰu13	
矗	ʦʰu13	
绌	ʦʰu13	
雛	ʦʰu13	
芻	ʦʰu13	
鋤	ʦʰu13	
鶵	ʦʰu13	
耡	ʦʰu13	
媰	ʦʰu13	
𨿊	ʦʰu13	
𨿉	ʦʰu13	
𩿮	ʦʰu13	
𩿿	ʦʰu13	
𪀫	ʦʰu13	
𪄞	ʦʰu13	
犓	ʦʰu13	
豠	ʦʰu13	
助	ʦʰu13	
鉏	ʦʰu13	
䅳	ʦʰu13	
𧱑	ʦʰu13	
𪆷	ʦʰu13	
㗙	ʦʰu13	
㜗	ʦʰu13	
𡞋	ʦʰu13	
𪀩	ʦʰu13	
耝	ʦʰu13	
蒭	ʦʰu13	
𠣧	ʦʰu13	
𣺥	ʦʰu13	
𤕂	ʦʰu13	
𤚂	ʦʰu13	
𤛃	ʦʰu13	
𤚄	ʦʰu13	
𥟷	ʦʰu13	
𦮊	ʦʰu13	
𦱪	ʦʰu13	
𦱻	ʦʰu13	
𦷝	ʦʰu13	
𡦅	ʦʰu13	
㐥	ʦʰu13	
𢭟	ʦʰu13	
𪈺	ʦʰu13	
觸	ʦʰu13	
搐	ʦʰu13	
俶	ʦʰu13	
傗	ʦʰu13	
滀	ʦʰu13	
儊	ʦʰu13	
