来源：	沈明 2014《山西岚县方言》；sainirwuu 整理录入
tsʰ	［1］仓苍昌疮窗［2］藏{～起来}长{～短}场{打～}肠常尝床□{种谷～：布谷鸟}［3］厂场{～面；一～雨}氅{大～}闯{～王}［5］畅唱倡撞{～车}创
s	［1］桑丧{～事}商伤霜双{一～}生-{～日；～瓜}甥-{外～子}［5］騇{～牛：母牛}所嗓{～牙：臼齿}爽赏偿晌{头～：上午}省-{～下}［5］丧{～门星：骂女人的话}裳{衣～}上{～山；山～}尚绱{～鞋}
ʐ	［2］瓤［3］嚷壤［5］让酿{～茄子}
k	［1］冈岗刚{人名}纲钢{～铁}缸光桄{扯～：椅子撑儿}［3］港广［5］钢{～刀：在水缸等的边上鐾刀}杠逛
kʰ	［1］康糠筐匡姓［2］狂［3］慷扛{～起来}□{(用车)别：他一拐把我～到沟里咧}［5］炕{～咧：口渴}抗况旷矿
ŋ	［2］昂
x	［1］荒{～年}慌［2］行{～当}航杭黄簧皇蝗{蚂～}凰隍{城～庙}惶{恓～：可怜}［3］谎幌［5］晃{～荡；～眼}巷{～道}荒{荒芜：地～咧}
Ø	［1］汪［2］王亡［3］网枉往［5］望忘妄旺□{～嚎嚎的：跑龙套的}
#yə
n	［2］娘{～～：奶奶}［3］仰-{圪～下：躺下}
l	［2］良凉量{～长短}粮梁□{□kuəʔ～子：架子猪，不分公母}［5］亮谅晾量{重～}辆{一～车}
tɕ	［1］将{～就}浆{～水：豆腐做好之后挤压下来的水}疆缰礓姜江豇刚{～～；オ～}□{圪～～：搓得很细很长的莜麦面条儿}□{揪；拉：把钉子～出来}［3］蒋奖讲虹{放～：出彩虹}［5］浆{～子：浆糊}将{大～}酱降{下～}
tɕʰ	［1］枪跄{～倒：摔倒}□{～风：逆风}羌{～族}［2］墙［3］强{勉～；～大}抢［5］呛框{门～：门套}□{～门：拿棍子顶门}
ɕ	［1］相{～人家：相亲}箱湘厢襄{定～，县名}镶香乡［2］祥详降{投～}［3］想享响饷{关～：旧指发工资}［5］象像橡相{长～}向项巷{柳～：太原著名商业街}
Ø	［1］央秧殃{～状：阴阳先生写的记有死者生平的状子，迷信认为是通往阴间的路条}［2］羊洋阳杨扬□{～山怀：丘陵和山的交界处}［3］养疡{溃～}［5］样□{放下；丢弃：我把这本书给你～下；你把兀东西～唠哇，不要咧}
#ai
p	［2］白{～鲢鱼}［3］摆［5］拜稗{～子草}韛{风箱}
pʰ	［1］丕{人名}［2］排牌［5］派败
m	［2］埋［3］买［5］卖迈□{烧～：一种面食}
t	［1］呆［3］逮{～人；～鸟儿}［5］戴={姓}带={～领}贷代大{～黄；老～：老虎}待={～席的：举办婚礼的时候，男方招待客人的人，一般为男性}□{吆喝骡马前进}
tʰ	［1］胎={头～}［2］台={教～：讲台}胎{轮～}［5］太态泰
n	［2］捱{～打；～骂}［3］奶□{～□tsʰai53：啰唆}矮{身矬～小}［5］耐={忍～}内{～外}捺{吃唠干粮～倒心床，意思是没有也就不惦记了}
l	［3］攋{拉}［5］赖
ts	［1］灾=斋□{圪～：没牙的人反复咀嚼的样子}［3］宰贼{旧时私塾老师的读音}［5］再载{～重；三年五～}债寨㩟{楔：～上个～子}
tsʰ	［1］差{应～}揣{～在怀里头}猜={～测}［2］才={人～}材={～料}财{发～}豺柴［3］彩采踩={家禽家畜交配}搋{用拳头压：～糕}［5］蔡□{□nai312～：啰唆}□{寡不～～：形容人长得不耐看}
s	［1］筛□{风骚：～骨殖，骂女人风骚}［2］□{因痛苦而肌肉抽搐：疼得嘴也～开咧}［5］赛{比～}晒
k	［2］□{唆狗离开：把狗～出去！}［5］概{大～}慨{感～}
kʰ	［1］开={召～}［3］凯{人名}楷
ŋ	［1］哀埃{苏维～}挨{～住}［3］矮{身矬～小}［5］碍爱={～护}隘{狭～}
x	［2］鞋-孩={～儿：孩子}□{爬～～：面人儿，有鱼、猪等动物形状。农历七月十五给放牛娃吃的}［3］海{～□nia44花：风仙花}［5］害={灾～}亥骇澥{加水使稀}解{明白：～下咧，明白了}
#iai
n	［2］捱{周瑜打黄盖，有愿打愿～的}崖{高～湾；村名}
tɕ	［1］皆阶秸{麦～}街［3］解{～开}［5］介界芥疥届戒械解{押解(犯人)}
tɕʰ	［1］揩{～桌子；～眉眼：洗脸}
ɕ	［5］解{姓}蟹懈{松～}解{明白}
ŋ	［2］崖{用着唠抱在怀里，用不着推到～里}
#uai
ts	［1］□{强迫别人吃喝：我不吃咧，不要～地给我}［5］拽
tsʰ	［1］揣［2］□{懦弱；没出息：～爹～娘养下块出超的孩来}［5］踹
s	［1］衰摔［3］甩［5］帅率{～领}□{条状物顺畅的样子：头发～～地}
ʐ	［5］□{没牙的嘴靠牙床反复咀嚼的样子：老人们吃饭就是圪～哩}
k	［1］乖［3］拐□{抿～：做醋时用来压实醋糟的工具}［5］怪
kʰ	［1］块{一～钱}［5］会{～计}刽{～子手}快筷
x	［2］怀淮槐踝{～拉骨：踝骨}［5］坏
Ø	［1］歪［3］崴{～脚}［5］外={里～；～罩}
#ei
p	［1］背{～东西}卑碑悲杯［5］贝{川～}辈背{脊～；～书}倍焙{～干}
pʰ	［1］坯{砖～子}［2］培陪赔裴［5］沛配佩
m	［2］梅枚{笛子}玫媒霉煤{混～：煤块与煤末混在一起}迷{藏～～：捉迷藏}谜{猜～～：猜谜}［3］每美煤{总称}［5］妹昧{～良心}
f	［1］非妃飞={～机}［2］肥={～缺}匪{土～}［3］翡{～翠}［5］废肺费={～劲}
t	［3］歹-{好～}［5］戴-{～孝}带{裤～}袋-{布～～}待-{～一阵阵}
tʰ	［2］台-{戏～子；圪～：台阶儿}苔-{舌～}抬-{～东西}［5］台-{前府～，村名}
n	［5］耐-{结实}奈-{有～无～，瓜皮就菜}
l	［2］来-{～回}
ts	［1］栽-{～树}这{“这一”的合音：～阵阵；～块}［3］贼{抓～}［5］在-{～不～}
tsʰ	［1］猜-{～疑：怀疑}［2］才-{～来}材-{棺～；～地}裁-{～衣裳}［3］踩-{～高跷}［5］菜-
s	［1］腮-{脸圪～：腮帮子}鰓-{鱼～}
ʐ	［2］□{感叹词，表惊叹：～地圪哇，这□tie214多人！}
k	［1］该-{～着的：理所应当}［3］改-给［5］盖-{～子}□{哽咽的样子：哭得～～地}
kʰ	［1］开-{～门}
ŋ	［5］艾-{～蓄沟，村名}爱-{～见}
x	［2］孩-{单念}［5］害-{～人}孩{□xɐu44～：小孩儿}
#uei
t	［1］堆{动词}［5］队碓{～臼}对兑
tʰ	［1］推［3］腿{大～；小～}［5］退蜕{～皮}褪{～色}腿{羊～：羊小腿骨做的水烟袋}
n	［5］内{白～瘴}
l	［2］雷［3］累{积～}［5］类累={～赘}
ts	［1］追［5］罪最赘{累～}
tsʰ	［1］崔催炊吹={鼓～}猜{～谜谜}［2］垂锤{～头}捶槌［5］脆={干～}翠粹{这块事纯～做不成}
s	［2］虽隋绥{～远}□{把豆、米放在簸箕上水平方向转来转去，以使草棍等浮在表面}［3］水={～利}［5］碎税瑞{人名}岁={万～}
ʐ	［5］芮{～城，县名}锐瑞{～雪}
k	［1］刏{～刀：鐾刀}圭规龟归［2］鬼诡癸轨［5］刽{～子手}桂柜={～台；掌～子}贵块{量词：一～人；一～猪；一～桌子}
kʰ	［1］亏盔魁奎［2］逵葵［3］块{量词：一～奖章}［5］跪愧
x	［1］灰恢挥辉徽［2］回茴［3］悔毁［5］桧{秦～}贿{～赂}汇溃{流脓～水}会{开～；～不～}绘惠慧讳={名～}
Ø	［1］倭{～寇}危威兀{“兀一”的合音：～块；～阵阵}［2］为{～人处事}维唯{～数你事多}微{～家：稍微}薇违围炜硙{磨，动词：～面}［3］伪委萎伟苇={芦～沟，村名}纬{经～}尾={结～}［5］喂硙{名词：硙uei44～}卫为{～甚：为什么}位未味魏畏胃谓外-{～甥}
#au
p	［1］包［3］保堡{碉～}宝饱［5］报豹暴爆{～玉稻黍：爆米花}刨{推～：刨子}鲍{姓}
pʰ	［1］胞{衣～}泡{燎～}抛脬{尿～}剖{解～}［2］袍刨{～地}狍胞{同～}［3］跑［5］炮泡{～在水里}抛{直落：杯子从桌子上～下来咧}
m	［2］毛猫矛{～盾}茅{～子：厕所}［3］牡{～丹}卯铆峁{～上，村名}□{舍弃：买一斤二两，算一斤，把那二两～唠哇}［5］冒帽貌茂贸□{用力扔}
t	［1］刀叨{～～：唠叨}［3］岛祷倒{打～}［5］到倒{～水}道盗导{领～}□{～～：衣兜儿}
tʰ	［1］滔掏［2］桃逃淘陶萄涛焘{人名}［3］讨稻{～子：水稻}［5］套稻{～黍：高粱}
n	［2］铙{～钹}挠脑{头}［3］恼脑{～头：上头}瑙{玛～}□{肩扛：～上比提溜上省力}□{(小孩)胖}［5］闹{～架：打架吵架}
l	［2］劳捞唠{～～叨叨}牢□{□tʰue53□tʰəʔ～：一种简易的纺线工具，用筷子的一端扎一土豆，用来纺棉线}［3］老栳{□kəʔ～：圆形筐子；栲～～：莜麦面做的一种面食，蒸着吃}［5］涝痨{肺～}醪{～糟}络{活～}烙{～饼}落{没啦～得：小孩天折}骆{～驼}龙{黑～窊，村名}饹{饸～：用特制礤床压制而成的长面条}
ts	［1］遭糟搔{～痒}［3］早蚤{圪～：跳蚤}枣澡找［5］皂灶罩笊噪{聒～}
tsʰ	［1］操抄钞{～票：冥币}［2］曹槽{解～～：翻绳儿，一种儿童游戏}褿{(衣服)脏}［3］草吵炒剿{～贼寨，村名}［5］躁{急～}造糙{～米}肏钞{鬼～票：冥币}□{追：～住他}
s	［1］臊{～气}梢{树圪～}捎稍［3］扫{～地}嫂晌{～午}□{告～：告诉}［5］臊{肉～子}扫{～帚}哨梢{～马：辕马前面两匹并排的马}□{吆喝牲口后退}□{凉～：凉快}
ʐ	［2］饶{(新)}
k	［1］高膏{～药}羔糕［3］搞{只用于“～运动”}稿［5］告校{～笔：掭笔}
kʰ	［3］考烤拷［5］靠铐犒{～劳}栲{～栳栳：莜麦面做的一种面食，蒸着吃}
ŋ	［2］熬{～清饭：熬稀饭}［3］祆拗{～校：讨价还价}［5］傲鏊奥澳熬{～油：炸食物时空烧费油}闹{做事不要～个半截}□{～油：膏油}
x	［1］蒿{艾～}［2］毫豪壕嚎{～叫}号{～得哇哇地}耗{消～；～费}［3］好{～坏}［5］好{喜～}浩号{几～}
Ø	［1］□{语气词：～，事情原来是这□tie214块！}
#iau
n	［3］咬-鸟{～儿：鸟类}［5］靿-{高～子}
tɕ	［1］交郊胶教{～书}［3］铰狡搅缴{上～}［5］教{～师}较窖觉{睡～}酵{～子：面起子}校{～笔：掭笔；拗～：讨价还价}
