原文		單字	IPA轉寫	
Ll	ai	西徙	ɬ	ai
Ll	ak	塞	ɬ	ak
Ll	am	滲三	ɬ	am
Ll	an	散	ɬ	an
Ll	ang	僧	ɬ	aŋ
Ll	ap	𢶍	ɬ	ap
Ll	at	撒	ɬ	at
Ll	au	掃	ɬ	au
Ll	ei	四	ɬ	ei
Ll	eiê	冩	ɬ	eiɐ
Ll	eiêk	削	ɬ	eiɐk
Ll	eiêng	想	ɬ	eiɐŋ
Ll	en	先星	ɬ	en
Ll	ǐng	先星	ɬ	ɪŋ
Ll	ep	颯	ɬ	ep
Ll	et	屑昔	ɬ	et
Ll	ǐk	屑昔	ɬ	ɪk
Ll	eu	叟	ɬ	eu
Ll	iau	小肖	ɬ	iau
Ll	iêk	錫	ɬ	iɐk
Ll	iêng	腥	ɬ	iɐŋ
Ll	iêp	…	ɬ	iɐp
Ll	im	心	ɬ	im
Ll	in	新信	ɬ	in
Ll	ip	膝	ɬ	ip
Ll	iu	秀	ɬ	iu
Ll	oê	鎖	ɬ	oɐ
Ll	oên	算	ɬ	oɐn
Ll	oi	顋髓	ɬ	oi
Ll	ok	索	ɬ	ok
Ll	ong	桑	ɬ	oŋ
Ll	ou	素	ɬ	ou
Ll	ui	需	ɬ	ui
Ll	uk	宿	ɬ	uk
Ll	un	徇孫	ɬ	un
Ll	ung	送	ɬ	uŋ
Ll	ut	卹雪	ɬ	ut
M				
M		唔	m	
M	a	馬	m	a
M	ai	米買	m	ai
M	ak	麥擘	m	ak
M	an	萬	m	an
M	ang	萌盲	m	aŋ
M	at	襪蔑	m	at
M	au	貿茅毛	m	au
M	ei	尾	m	ei
M	eiê	𧴯	m	eiɐ
M	e	…	m	em
M	en	面命	m	en
M	ǐng	面命	m	ɪŋ
M	et	滅	m	et
M	ǐk	滅	m	ɪk
M	eu	謀	m	eu
M	iau	苗	m	iau
M	iêk	…	m	iɐk
M	iêng	名	m	iɐŋ
M	in	民	m	in
M	it	密覓	m	it
M	iu	貓	m	iu
M	oê	摩	m	oɐ
M	oên	門	m	oɐn
M	oêt	物末	m	oɐt
M	oi	每	m	oi
M	ok	莫	m	ok
M	ong	忘	m	oŋ
M	ou	暮瞀	m	ou
M	uk	木	m	uk
M	un	文問	m	un
M	ung	蒙	m	uŋ
M	ut	物	m	ut
N				
N	a	拿	n	a
N	ai	泥乃	n	ai
N	ak	齒匿	n	ak
N	am	南	n	an
N	an	難	n	an
N	ang	能	n	aŋ
N	ap	納	n	ap
N	at	捺	n	at
N	au	瑙	n	au
N	ei	餌	n	ei
N	eiê	…	n	eiɐ
N	eiêng	娘	n	eiɐŋ
N	em	腍	n	em
N	en	年寧卵心	n	en
N	ǐng	年寧卵心	n	ɪŋ
N	ep	…	n	ep
N	et	溺	n	et
N	ǐk	溺	n	ɪk
N	eu	耨錨	n	eu
Ng		五	ŋ	
Ng	a	雅	ŋ	a
Ng	ai	倪厓	ŋ	ai
Ng	ak	呃額	ŋ	ak
Ng	am	唅巖	ŋ	am
Ng	an	銀眼	ŋ	an
Ng	ang	硬	ŋ	aŋ
Ng	ap	口挾	ŋ	ap
Ng	at	齧	ŋ	at
Ng	au	肴	ŋ	au
Ng	ei	議	ŋ	ei
Ng	eiêk	弱	ŋ	eiɐk
Ng	eiêng	攘	ŋ	eiɐŋ
Ng	en	然迎	ŋ	en
Ng	ǐng	然迎	ŋ	ɪŋ
Ng	ep	…	ŋ	ep
Ng	et	熱抑蠲/鷁	ŋ	et
Ng	ǐk	熱抑蠲/鷁	ŋ	ɪk
Ng	eu	牛	ŋ	eu
Ng	i	耳	ŋ	i
Ng	iau	嬈柔	ŋ	iau
Ng	iê	惹	ŋ	iɐ
Ng	iêk	瘧	ŋ	iɐk
Ng	iêm	嚴	ŋ	iɐm
Ng	iêp	業	ŋ	iɐp
Ng	im	飲苒	ŋ	im
Ng	in	人	ŋ	in
Ng	ip	卄	ŋ	ip
Ng	it	日	ŋ	it
Ng	oê	我	ŋ	oɐ
Ng	oên	岸閏	ŋ	oɐn
Ng	oêt	*	ŋ	oɐt
Ng	oi	外	ŋ	oi
Ng	ok	嶽	ŋ	ok
Ng	ong	𧆐	ŋ	oŋ
Ng	ui	魚	ŋ	ui
Ng	uk	玉	ŋ	uk
Ng	un	言玩源	ŋ	un
Ng	ung	濃絨	ŋ	uŋ
Ng	ut	月	ŋ	ut
N	iau	鳥	n	iau
N	iêk	*	n	iɐk
N	iêm	念	n	iɐm
N	iêng	娘	n	iɐŋ
N	iêp	涅	n	iɐp
N	ip	湆	n	ip
N	it	奀	n	it
N	iu	鈕	n	iu
N	oê	懦	n	oɐ
N	oên	煖	n	oɐn
N	oi	耐	n	oi
N	ok	諾	n	ok
N	ong	曩	n	oŋ
N	ou	怒	n	ou
N	ui	女內	n	ui
N	uk	忸	n	uk
N	un	嫩	n	un
N	ung	農	n	uŋ
N	ut	訥	n	ut
O				
	Oê	柯多	ʔ	oɐ
	Oên	安端	ʔ	oɐn
	Oêt	奪	ʔ	oɐt
	Oi	哎代	ʔ	oi
	Ok	惡鐸	ʔ	ok
	Ök	琢	ʔ	œk
	Ong	盎當	ʔ	oŋ
	Ou	都	ʔ	ou
P				
P	a	巴	p	a
P'	a	怕	pʰ	a
P	ai	閉拜	p	ai
P'	ai	批派	pʰ	ai
P	ak	北百	p	ak
P'	ak	珀	pʰ	ak
P	an	班	p	an
P'	an	攀	pʰ	an
P	ang	崩	p	aŋ
P'	ang	朋彭	pʰ	aŋ
P	at	八	p	at
P'	at	*	pʰ	at
P	au	飽保	p	au
P'	au	剖跑抱	pʰ	au
P	e	*	p	e
P	ei	卑	p	ei
P'	ei	披	pʰ	ei
P	eiê	*	p	eiɐ
P'	eiê	跛疲	pʰ	eiɐ
P	em	*	p	em
P'	em	*	pʰ	em
P	en	邊兵	p	en
P	ǐng	邊兵	p	ɪŋ
P'	en	徧聘	pʰ	en
P'	ǐng	徧聘	pʰ	ɪŋ
P	et	偪必	p	et
P	ǐk	偪必	p	ɪk
P'	et	辟蹩	pʰ	et
P'	ǐk	辟蹩	pʰ	ɪk
P	eu	*	p	eu
P'	eu	*	pʰ	eu
P	i	*	p	i
P'	i	*	pʰ	i
P	iau	標表	p	iau
P'	iau	票	pʰ	iau
P	iêk	壁	p	iɐk
P'	iêk	劈	pʰ	iɐk
P	iêng	餅病	p	iɐŋ
P'	iêng	瓶平	pʰ	iɐŋ
P	iêt	鱉	p	iɐt
P'	iêt	撇	pʰ	iɐt
P	in	品	p	in
P'	in	貧	pʰ	in
P	it	畢拂	p	it
P'	it	疋	pʰ	it
P	oê	波	p	oɐ
P'	oê	破	pʰ	oɐ
P	oên	本	p	oɐn
P'	oên	判	pʰ	oɐn
P	oêt	勃	p	oɐt
P'	oêt	潑	pʰ	oɐt
P	oi	貝	p	oi
P'	oi	沛	pʰ	oi
P	ok	博	p	ok
P'	ok	樸	pʰ	ok
P	ong	邦	p	oŋ
P'	ong	謗	pʰ	oŋ
P	ou	布	p	ou
P'	ou	普	pʰ	ou
P	uk	卜	p	uk
P'	uk	蹼	pʰ	uk
P	un	笨	p	un
P'	un	盆	pʰ	un
P	ung	捧	p	uŋ
P'	ung	篷	pʰ	uŋ
P	ut	不	p	ut
P'	ut	*	pʰ	ut
S				
Sh	a	沙	ʃ	a
Sh	ai	世晒	ʃ	ai
Sh	ak	索	ʃ	ak
Sh	am	衫	ʃ	am
Sh	an	山	ʃ	an
Sh	ang	生省覡	ʃ	aŋ
Sh	ap	烚霎	ʃ	ap
Sh	at	殺	ʃ	at
Sh	au	梢廋	ʃ	au
Sh	eiêk	汋杓	ʃ	eiɐk
Sh	eiêng	商	ʃ	eiɐŋ
Sh	em	森	ʃ	em
Sh	en	成升	ʃ	en
Sh	ing	成升	ʃ	ɪŋ
Sh	et	適食	ʃ	et
Sh	ik	適食	ʃ	ɪk
Sh	eu	瘦	ʃ	eu
Sh	i	詩書	ʃ	i
Sh	iau	少	ʃ	iau
Sh	iê	赦	ʃ	iɐ
Sh	iêk	石	ʃ	iɐk
Sh	iêm	閃	ʃ	iɐm
Sh	iên	善	ʃ	iɐn
Sh	iêng	聲城	ʃ	iɐŋ
Sh	iêp	涉	ʃ	iɐp
Sh	iêt	舌	ʃ	iɐt
Sh	im	審	ʃ	im
Sh	in	身	ʃ	in
Sh	ip	十	ʃ	ip
Sh	it	失	ʃ	it
Sh	iu	守	ʃ	iu
Sh	oê	所	ʃ	oɐ
Sh	oên	船	ʃ	oɐn
Sh	oêt	說	ʃ	oɐt
Sh	oi	駛賽	ʃ	oi
Sh	ok	朔	ʃ	ok
Sh	ong	爽雙霜	ʃ	oŋ
Sh	ou	數	ʃ	ou
Sh	ui	水	ʃ	ui
Sh	uk	熟	ʃ	uk
Sh	un	順	ʃ	un
Sh	ung	崇	ʃ	uŋ
Sh	ut	術	ʃ	ut
T				
T	a	*	t	a
T	ai	祭	t	ai
T'	ai	妻	tʰ	ai
T	ak	則	t	ak
T'	ak	賊	tʰ	ak
T	am	簪	t	am
T'	am	參	tʰ	am
T	an	贊	t	an
T'	an	餐	tʰ	an
T	ang	憎	t	aŋ
T'	ang	層	tʰ	aŋ
T	ap	雜	t	ap
T'	ap	*	tʰ	ap
T	at	曱	t	at
T'	at	擦	tʰ	at
T	au	早	t	au
T'	au	曹	tʰ	au
T	ei	姊	t	ei
T'	ei	臍	tʰ	ei
T	eiê	借	t	eiɐ
T'	eiê	邪灺	tʰ	eiɐ
T	eiêk	雀斫	t	eiɐk
T	eiêng	將	t	eiɐŋ
T'	eiêng	詳	tʰ	eiɐŋ
T	em	泵	t	em
T'	em	*	tʰ	em
T	en	煎精	t	en
T	ĭng	煎精	t	ɪŋ
T'	en	千靑	tʰ	en
T'	ĭng	千靑	tʰ	ɪŋ
T	ep	*	t	ep
T'	ep	*	tʰ	ep
T	et	節卽	t	et
T	ĭk	節卽	t	ɪk
T'	et	切戚	tʰ	et
T'	ĭk	切戚	tʰ	ɪk
T	eu	走	t	eu
T'	eu	湊	tʰ	eu
T	i	*	t	i
T	iau	剿	t	iau
T'	iau	峭	tʰ	iau
T	iêk	蓆	t	iɐk
T'	iêk	瘌	tʰ	iɐk
T	iêm	尖	t	iɐm
T'	iêm	僉	tʰ	iɐm
T	iên	箋	t	iɐn
T	iêng	井	t	iɐŋ
T'	iêng	請	tʰ	iɐŋ
T	iêp	捷	t	iɐp
T'	iêp	妾	tʰ	iɐp
T	iêt	*	t	iɐt
T	im	浸	t	im
T'	im	寢	tʰ	im
T	in	進盡	t	in
T'	in	親	tʰ	in
T	ip	習	t	ip
T'	ip	緝	tʰ	ip
T	it	疾	t	it
T'	it	七	tʰ	i
T	iu	酒	t	iu
T'	iu	秋	tʰ	iu
T	l	子訾	t	l
T	oê	左	t	oɐ
T'	oê	傞	tʰ	oɐ
T	oên	鑽	t	oɐn
T'	oên	爨	tʰ	oɐn
T	oêt	啐	t	oɐt
T'	oêt	猝	tʰ	oɐt
T	oi	宰仔	t	oi
T'	oi	財	tʰ	oi
T	ok	作	t	ok
T'	ok	錯	tʰ	ok
T	ong	臧	t	oŋ
T'	ong	倉	tʰ	oŋ
T	ou	租	t	ou
T'	ou	粗	tʰ	ou
T	ui	聚罪	t	ui
T'	ui	取	tʰ	ui
T	uk	足	t	uk
T'	uk	速	tʰ	uk
T	un	樽尊	t	un
T'	un	旬全	tʰ	un
T	ung	總	t	uŋ
T'	ung	聰	tʰ	uŋ
T	ut	卒絕	t	ut
T'	ut	*	tʰ	ut
U				
	Ui	對	ʔ	ui
	Uk	督	ʔ	uk
	Un	敦	ʔ	un
	Ung	東	ʔ	uŋ
	Ut	突	ʔ	ut
W				
W	a	話	w	a
W	ai	懷	w	ai
W	ak	或域	w	ak
W	an	患	w	an
W	ang	橫	w	aŋ
W	at	滑	w	at
W	au	吼	w	au
W	ei	戚(威)	w	ei
W	eiê	*	w	eiɐ
W	en	榮	w	en
W	ĭng	榮	w	ɪŋ
W	et	役疫	w	et
W	ĭk	役疫	w	ɪk
W	oê	禾	w	oɐ
W	oên	碗	w	oɐn
W	oêt	活	w	oɐt
W	oi	偎	w	oi
W	ui	偎	w	ui
W	ok	鑊	w	ok
W	ong	黃	w	oŋ
W	u	烏	w	u
W	un	温	w	un
W	ut	核	w	ut
Y				
Y	a	也	j	a
Y	ai	曳	j	ai
Y	ap	*	j	ap
Y	eiêk	約	j	eiɐk
Y	eiêng	央	j	eiɐŋ
Y	i	衣	j	i
Y	iau	要	j	iau
Y	iê	野	j	iɐ
Y	iêk	*	j	iɐk
Y	iêm	淹	j	iɐm
Y	iên	烟	j	iɐn
Y	iêng	贏	j	iɐŋ
Y	iêp	葉	j	iɐp
Y	iêt	謁	j	iɐt
Y	ĭk	益	j	ɪk
Y	et	益	j	et
Y	im	音	j	im
Y	in	因	j	in
Y	ĭng	英	j	ɪŋ
Y	en	英	j	en
Y	ip	入	j	ip
Y	it	一	j	it
Y	iu	有	j	iu
Y	oên	完	j	oɐn
Y	oêt	穴	j	oɐt
Y	ui	裔	j	ui
Y	uk	育	j	uk
Y	un	勻	j	un
Y	ung	用	j	uŋ
