#注释	永嘉县志，落橙抄
#声调	[1]44[2]31[3]45[4]34[5]52[6]22[7]323[8]212
#a	
ɦ	[2]摇谣窑姚饶韶[4]淆扰绕{又}[6]邵绍耀鹤
∅	[1]妖腰么{一、二、三}[3]邀舀杳[5]要腰-{裤〜}
#o	[2]茶搽锄[6]助
p	[1]巴芭笆疤[3]把[5]霸坝
pʰ	[5]怕
b	[2]爬杷琶钯[6]耙𫜨{〜牙}
m	[2]麻𢳀痲蘑摩蟆模馍[4]马码[6]雾-{〜露}慕
t	[3]朵躲桗[5]剁[7]椓{敲击}㧻
tʰ	[1]拖椭[5]唾[7]秃忒
d	[2]驼驮[4]舵惰𥞛{沉积}[8]铎擢{拉引}
l	[1]啰{〜唆}[2]罗锣箩骡螺[4]虏[6]摞[8]绿录禄锋赂烙络落㓢
ts	[1]渣[3]左佐组阻抯{用手拿东西}[5]诈榨炸做[7]诈窄
tsʰ	[1]叉差{〜弗多}车初搓[3]楚础[5]銼锉措[7]促错措{又}
dz	[2]茶搽锄[6]助
s	[1]搓-{〜绳}蓑梭唆莎沙纱疏蔬梢-{〜马袋}[5]锁琐洒-所[5]素数閯[7]速索
z	[2]矬{矮〜}斜锄雏[4]坐[6]座助[8]𧮙{骂也}
k	[1]家加嘉稼傢瓜佳哥-[3]假贾寡副[5]架驾嫁价挂卦褂稼假{放假}[7]觉搅括刮郭廓角搁
kʰ	[1]夸垮跨[3]可[5]揢抲[7]确阔榷壳
ɡ	[8]搁-
ŋ	[2]鹅讹-{〜头}牙芽伤衙[4]雅瓦[6]砑[8]岳乐{音〜}狱
h	[1]虾花[3]𬮠{从高处取下}[6]化讹=[8]吓
ɦ	[2]霞瑕遐华铧桦[4]下[6]厦夏画话[8]鑊学
∅	[1]阿{〜弥陀佛}虾{〜蟆}鸦桠亚蛙[3]哑[5]下-{一下}亚挜桠握-沃[7]恶
#uo	[8]玉狱
p	[7]八剥驳
pʰ	[7]帕朴扑卜
b	[8]薄拔雹曝瀑罢
m	[8]袜物-{〜事}摸抹木目瞙
h	[7]法豁发霍藿
ɦ	[8]乏活猾滑伐筏罚缚
#yo	[2]镜挠囊[4]挠{挤}[6]闹
tɕ	[7]桌卓琢啄足捉烛
tɕʰ	[7]曲触戳
dʑ	[8]浊蜀属嘱局
ȵ	[8]玉狱
ɕ	[7]束粟缩
ɦ	[8]俗续赎欲浴属{又}
#ɔ	[1]敲康糠骹[3]巧[5]扩慷抗炕囥旷矿圹
t	[1]当[3]党挡[5]当档
tʰ	[1]他汤[3]倘躺[5]烫趟
d	[2]堂棠螳唐塘糖[4]宕荡{又}[6]荡趤
n	[2]镜挠囊[4]挠{挤}[6]闹
l	[2]郎廊狼螂[4]朗[6]浪
ts	[1]抓脏庄装[3]爪笊找[5]葬壮
tsʰ	[1]抄钞剿仓苍创疮[3]炒吵[5]𦨖
s	[1]捎梢稍桑丧磉嗓[3]耍嗓{又}磉{又}爽[5]爽{直〜}
z	[2]巢樵藏[6]䖳{〜鱼}藏{西〜}脏
k	[1]交郊胶冈岗刚纲钢焵缸光江[3]绞狡较广讲港[5]教搅{〜拌}校{〜对}较肴{〜配}杠降埄
kʰ	[1]敲康糠骹[3]巧[5]扩慷抗炕囥旷矿圹
ɡ	[2]旷-[4]□{行间}犷{蛮横}[6]□{搁}
ŋ	[2]熬-{〜油}昂[4]咬
h	[1]荒慌[3]谎[5]酵孝
ɦ	[2]行绗杭航黄簧皇蝗淆爻[4]项[6]效校旺巷笐
∅	[1]坳凹汪拗{不和}[3]泑{湿}拗{弯折}[5]拗{反对}
#uɔ	[1]霜孀双凶汹胸朔{〜门}[3]况怂耸[5]况{情〜}
P	[1]帮胞包邦[3]饱榜绑[5]豹趵爆{迸出}
Pʰ	[1]抛[3]跑膀[5]泡炮胖膀{又}
b	[2]旁滂螃谤傍庞{〜大}[4]鲍棒庞{姓氏}[6]刨鉋
m	[1]猫[2]茅猫{〜狸}锚矛忙芒茫[4]网卯莽蟒[6]貌望{探〜}
h	[1]方肪坊芳妨[3]仿纺彷访倣[5]放
ɦ	[2]房防亡忘[4]妄[6]望=
#yɔ	[1]咪眯[2]迷谜糜弥靡眉楣媚[4]米美尾[6]麦[8]蜜密
tɕ	[1]钟恭供拱桩妆[3]冢种肿-[5]壮-纵种供{又}
tɕʰ	[1]匡眶筐框窗[3]闯恐[5]闯{又}
dʑ	[2]狂逛重[4]重{轻〜}[6]逛撞重{〜迭}共
ɕ	[1]霜孀双凶汹胸朔{〜门}[3]况怂耸[5]况{情〜}
ɦ	[2]床王从松-{瓦〜}蓉-{芙〜花}[4]涌{〜汤}[6]状{告〜}从用颂讼诵
∅	[1]痈[3]枉往甬勇涌[5]壅
#i	[2]来黎犁离篱璃梨厘狸[4]李礼里理鲤[6]隶丽荔利痢吏厉泪-[8]力立笠栗历栎砾
p	[1]屄[3]彼毙比蓖[5]蔽敝闭鄙庇痺卑[7]笔逼臂毕必逢壁碧泌
pʰ	[1]批披丕枇[3]譬[5]屁[7]僻闢劈
b	[2]皮疲脾琵枇坒肥-{〜肉}[4]被[6]币弊陛脾婢避备躃{用脚〜}[8]吠-鼻
m	[1]咪眯[2]迷谜糜弥靡眉楣媚[4]米美尾[6]未-[8]蜜密
f	[1]飞非妃罹翡扉蜚斐[3]匪[5]废肺吠=痱费
v	[2]肥微薇淝[6]未
t	[1]低爹[3]底抵砥[5]帝缔蒂谛滴[7]的嫡扚镝
tʰ	[1]梯悌[3]体[5]涕屉剃[7]剔踢惕
d	[2]堤题提蹄啼[4]弟第[6]地递[8]敌笛迪涤荻
n	[8]日-
l	[2]来-黎犁离篱璃梨厘狸[4]李礼里理鲤[6]隶丽荔利痢吏厉泪-[8]力立笠栗历栎砾
ʑ	[2]邪斜姨夷矣[4]已[6]系异[8]食席夕石射-{跑}
∅	[1]伊医衣依[3]野椅倚[5]爷-{阿〜}易-意以忆亿
#u	[2]愚虞危伪阮渔[4]软[6]御遇寓蕊{花〜}伪[8]月
p	[1]波菠玻坡簸□{饭送口中}[3]补谱[5]布怖
pʰ	[1]铺[3]普浦甫圃[5]破铺{床〜}
b	[2]婆菩蒲[4]部篰簿[6]步埠孵-
f	[1]夫呼肤俘孵=麩敷[3]火夥伙虎浒府腑俯甫{又}脯斧焙{白~}抚釜弗辅涪[5]夥{〜计}付傅赋富副赴讣抚[7]复幅福蝠
v	[2]河何荷和胡湖狐壶瓠沪符芙无巫诬抚{又}浮-余与预于盂榆逾愉愈为维惟唯遗违围伟苇渭[4]祸户沪妇负雨宇禹羽[6]贺和互护扶誉芋喻裕卫惠慧为{〜什么}位穗胃谓蝟[8]伏服
k	[1]歌锅戈蜗姑孤箍裹[3]古果馃牯股鼓瞽[5]过故固雇顾锯-[7]谷
kʰ	[1]科窠棵颗窝-枯估[3]苦[5]课库裤[7]酷哭
∅	[1]乌呜坞污倭阿{〜胶}淤于迂威秽[3]委萎尉慰蔚[5]恶{可〜}污屎{屙}握畏慰{又}𫗪[7]屋
#y	[2]陪赔裴[4]培倍[6]佩背{〜诵}焙
tɕ	[1]专砖绢捐[3]转卷[5]眷卷{又}绢{又}[7]决拙
tɕʰ	[1]穿喘圈[3]犬喘[5]栓劝券[7]出
dʑ	[2]传椽篆拳权颧[6]传{〜记}倦[8]术掘
ȵ	[2]愚虞危伪阮渔[4]软[6]御遇寓蕊{花〜}伪[8]月
ɕ	[1]欢宣喧婚荤鼾[3]选[5]汉焕唤楦[7]血说雪
k	[1]干肝官棺观冠跟-[3]竿杆秆赶管绾馆琯[5]干{〜活}贯灌罐观{寺〜}冠{〜军}[7]骨割
kʰ	[5]困-睏[7]窟
ɦ	[2]寒韩砚-{〜瓦}桓丸完全泉船员园圆缘辕玄袁眩魂[4]远缓旱[6]汗焊翰岸旋院县眩{又}悬换-[8]穴越阅悦述绝
