fɔ			[54]否			1		
tɔ	[34]刀叨捯{夹：~点菜}		[54]祷岛倒捣导悼	[31]到倒道稻盗		3		
tʰɔ	[34]掏滔涛	[42]桃逃陶淘	[54]讨	[31]套		4		
nɔ	[34]孬	[42]挠铙	[54]脑恼□{扛：~粮食}	[31]闹		4		
lɔ	[34]唠捞	[42]劳牢	[54]老姥	[31]痨涝酪		4		
tsɔ	[34]遭糟		[54]早枣澡藻找	[31]燥皂造蚤躁灶罩笊{~篱}棹		3		
tsʰɔ	[34]抄钞操	[42]巢曹槽	[54]草吵炒	[31]糙肏懆{恼怒：~气}		4		
sɔ	[34]骚臊梢捎稍		[54]扫嫂	[31]扫哨潲臊		3		
tʂɔ	[34]朝招召沼昭□{看：~~他}			[31]赵兆照=诏		2		
tʂʰɔ	[34]超	[42]嘲朝潮晁				2		
ʂɔ	[34]烧		[54]少绍	[31]少邵韶		3		
ʐɔ		[42]饶	[54]扰绕{围~}	[31]绕{~线}照-		3		
kɔ	[34]高膏篙羔糕		[54]稿搞	[31]告诰膏		3		
kʰɔ			[54]考拷烤	[31]靠犒铐		2		
xɔ	[34]蒿薅	[42]豪壕毫蚝号	[54]好	[31]号耗好		4		
ɣɔ	[34]熬鏖	[42]熬鳌	[54]袄	[31]傲鏊烙饼用具奥懊澳		4		
piɔ	[34]膘标錶彪		[54]表	[31]摽		3		
pʰiɔ	[34]飘漂{~飞}	[42]瓢嫖	[54]瞟剽	[31]漂票		4		
miɔ	[34]□{没有}	[42]苗描瞄	[54]藐渺秒	[31]庙妙		4		
tiɔ	[34]刁貂雕凋		[54]屌	[31]钓吊掉调		3		
tʰiɔ	[34]挑	[42]条调	[54]挑	[31]跳眺粜		4		
niɔ		[42]□{~牙：难缠}	[54]鸟	[31]尿		3		
liɔ	[34]撩{~头发}	[42]辽疗僚聊撩{~拨}	[54]了燎	[31]料廖镣尥㙩{~天：野地}		4		
tsiɔ	[34]焦蕉椒			[31]趭{急躁：脾气~}		2		
tsʰiɔ	[34]锹缲{衣服~边}悄	[42]樵瞧		[31]俏峭		3		
siɔ	[34]消宵霄硝销逍萧箫潇		[54]小	[31]笑啸		3		
tɕiɔ	[34]交郊胶教浇骄娇姣鲛		[54]绞狡佼皎矫搅侥缴	[31]教校较窖轿觉		3		
tɕʰiɔ	[34]敲	[42]乔侨桥荞	[54]巧	[31]窍		4		
ɕiɔ	[34]嚣枵		[54]晓	[31]孝效校酵		3		
iɔ	[34]妖邀腰要幺吆	[42]摇谣窑遥瑶姚尧	[54]咬舀	[31]要耀腰跃-		4		
məu		[42]谋牟眸	[54]某个			2		
təu	[34]兜		[54]斗抖陡	[31]斗鬥豆逗痘窦		3		
tʰəu	[34]偷	[42]头投	[54]敨{捅：把煤火~~}	[31]透		4		
ləu	[34]搂{~钱}	[42]楼搂	[54]篓	[31]漏陋		4		
tsəu	[34]邹		[54]走	[31]奏揍皱绉做{白，~活}		3		
tsʰəu	[34]搊{托扶：把她~上去}	[42]愁	[54]瞅	[31]凑嗽		4		
səu	[34]搜馊艘		[54]搜擞{抖动：把衣服~~}	[31]瘦		3		
tʂəu	[34]周舟州洲粥	[42]妯	[54]帚肘扭{举：把手~起来}	[31]昼纣宙胄咒		4		
tʂʰəu	[34]抽	[42]绸稠筹仇雠酬畴	[54]丑醜	[31]臭		4		
ʂəu	[34]收	[42]熟	[54]手首守	[31]兽绶受寿授售		4		
ʐəu	[34]譳{瞎~：瞎说}	[42]柔揉		[31]肉朒{行动缓慢：这人真~}		3		
kəu	[34]勾钩沟		[54]狗	[31]垢够构购勾{~当}搆{探取：~东西}		3		
kʰəu	[34]抠瞘尻		[54]口	[31]扣叩寇蔻		3		
xəu	[34]齁	[42]侯喉猴瘊	[54]吼	[31]后後厚候		4		
ɣəu	[34]欧讴殴	[42]牛-熰{糊：饼烙~了}	[54]偶藕呕	[31]沤怄		4		
miəu				[31]谬=		1		
tiəu	[34]丢					1		
niəu	[34]妞	[42]牛=	[54]纽扭钮	[31]谬-拗{~不过他}		4		
liəu	[34]溜	[42]流刘浏留琉硫	[54]柳绺□{里头的合音}	[31]馏遛六=		4		
tsiəu	[34]揪鬏发辫		[54]酒	[31]就□{皱缩：圪~}□{腿~筋}		3		
tsʰiəu	[34]秋鞦鳅	[42]囚泅	[54]遒			3		
siəu	[34]修羞		[54]宿	[31]秀绣锈袖宿星宿		3		
tɕiəu	[34]鸠阄纠究		[54]九久韭	[31]救疚臼舅旧		3		
tɕʰiəu	[34]丘邱蚯朽-	[42]求仇球		[31]柩		3		
ɕiəu	[34]休		[54]朽=	[31]嗅		3		
iəu	[34]优忧邮悠幽	[42]尤由油游犹鱿蚰	[54]有友酉黝	[31]又右佑祐诱釉幼		4		
pan	[34]班斑颁扳般搬		[54]板版拌{丢弃：把东西~了}	[31]扮瓣办半绊伴		3		
pʰan	[34]攀潘	[42]盘磐	[54]耪{~地}	[31]盼叛判畔襻		4		
man		[42]蛮瞒馒蔓{~菁}	[54]满	[31]慢嫚漫幔蔓曼墁{用泥涂抹：~墙}□{翻越：~过去}		3		
fan	[34]翻番藩	[42]烦凡帆繁矾	[54]反返	[31]犯范泛贩饭嬎{~蛋，孵化}		4		
van		[42]蔓{缠：~人}	[54]晚挽	[31]万		3		
