来源：	sainirwuu 整理录入
tʂ	［1］遮［3］者［5］蔗
tʂʰ	［1］车［3］扯=［5］迠{代字。行貌。走上～～：形容步行去某地的不方便}勶{代字。后退或者形容人平时对什么也不上心}
ʂ	［1］奢赊［2］佘蛇［3］舍［5］舍社射{发～}赦
ʐ	［1］惹
k	［1］哥歌柯［5］个{～子}
kʰ	［3］可{～立：（病）好些了}［5］可{～肆无处：到处}
ŋ	［1］屙［2］讹俄鹅蛾［5］饿
x	［1］呵{短时间蒸，主要是加热}呵{～牙：哈欠}［2］何=河荷［5］贺和{接～：接话}
Ø	［2］阿={～胶}
#uɤ
t	［1］多［3］朵躲［5］剁垛舵惰驮
tʰ	［1］拖{～拉机}［2］驮驼坨柁鸵砣{秤～。另：轮胎}［3］妥椭拖{～子：一种冰上交通工具}［5］唾
n	［2］挪娜哪{～吒}［5］糯
l	［1］裸剆［2］罗啰{代字。～人：胡搅蛮缠别人}锣箩骡猡=［5］骆{～驼}摞
ts	［3］佐左=［5］坐座左-
tsʰ	［1］搓［5］锉错
s	［1］唆梭蓑娑挲{吥～：抚摸}［3］所琐锁
k	［1］戈锅过={～点。～于}［3］果裹=倮［5］过={～河}
kʰ	［1］科棵窠颗［5］课嗑
x	［2］禾和［3］火伙夥［5］货祸和{明～：亮堂}
#ɒ
p	［1］邦帮浜［3］绑榜［5］蚌傍棒谤
pʰ	［1］胮［2］膀滂庞旁螃［5］胖
m	［2］忙芒茫［3］莽蟒
f	［1］方芳［2］防肪房［3］妨仿访纺［5］放
v	［1］汪［2］芒亡王［3］网往枉［5］妄忘旺望
t	［1］当［2］当{～游子：紧要关头}［3］挡党［5］当宕荡
tʰ	［1］汤［2］唐堂棠塘糖溏{鸡～屎：鸡粪}嘡{代字。～子：傻子}螳［3］倘躺［5］烫趟
n	［1］攮［2］嚢
l	［2］郎狼廊榔螂［3］朗［5］浪
ts	［1］脏［5］藏脏葬
tsʰ	［1］仓苍疮［2］藏
s	［1］桑丧［3］嗓搡磉［5］丧
tʂ	［1］张章樟庄装［3］长涨掌［5］丈仗帐杖胀账障瘴壮状撞
tʂʰ	［1］昌菖窗晌-{后～：下午}［2］长肠偿=尝常场床裳-［3］厂场闯{～防价：万一}［5］畅倡唱创晌-{前～：上午}
ʂ	［1］伤商双霜孀［2］裳=［3］晌={～午：中午}赏爽偿-［5］上尚双{～生生：双胞胎}
ʐ	［2］瓤壤［3］嚷穰［5］让
k	［1］刚纲缸钢光［3］冈广港岗［5］钢杠逛
kʰ	［1］康慷糠扛匡筐框眶=［2］狂［5］抗匟{～板石：盘匟时候最上方铺的扁平石头}况旷矿炕{口渴。枯～：很久没喝水的样子}
ŋ	［2］昂
x	［1］荒慌谎［2］杭航皇黄蝗簧行［5］夯晃
#iɒ
n	［2］娘［3］仰-{圪～：躺下小憩}［5］酿
l	［2］良凉梁=粮粱量［3］两［5］亮谅晾辆量
tɕ	［1］江姜将浆刚{韵母特殊。～～儿：刚才}豇僵缰礓疆［3］讲奖桨蒋［5］匠将降酱强{发～力：强行用力}
tɕʰ	［1］枪=腔呛［2］强{～大}墙［3］抢羌强{勉～}［5］呛框眶-
ɕ	［1］乡相香厢湘箱镶［2］降详祥［3］享响想［5］相饷向巷项象像橡
