ɿ	
t	[52]爹[21]□{疲倦}[215]□{用刀割}
tʰ	[22]提[215]籴{~米}[55]踢
tɕ	[52]□{肢体不灵活或是残疾}[55]借
tɕʰ	[25]技[215]席{草~}□{跨：~过去}
ɕ	[52]□{不正经}[22]匣侠峡辖霞遐[21]写[215]谢夏{姓氏}
ȵ	[21]惹[215]□{撒娇}
Ø	[52]□{衣服松松垮垮的样子}[22]爷[21]雅野□{用手抓：~起来}[215]夜也亚
iæ	
k	[52]街阶[21]解械[215]个介戒界届
kʰ	[52]揩
ie	
p	[52]鳖
pʰ	[52]别{~个}
m	[52]咩[215]篾蔑
t	[215]力
tʰ	[215]碟笛敌
l	[215]裂劣立
n	[215]热
k	[215]□{用刀割}
tɕ	[21]姐
tɕʰ	[52]戚[21]且[215]集极洁杰籍婕
ɕ	[215]习席□{是}
Ø	[215]页叶□{撒：~肥}
io	
t	[215]绿
l	[215]录
tɕ	[52]□{形容字潦草}[25]□{水里的灰尘或沉淀物}
tɕʰ	[22]瘸[25]茄[215]局
ɕ	[52]靴
iu	
t	[22]流{白读}
l	[22]刘浏流{文读}留瘤硫榴琉[21]扭纽钮柳[55]遛溜
tɕ	[52]周洲州袖邹[21]酒九久帚揪
tɕʰ	[52]秋邱丘鳅抽[22]裘酋仇酬求球愁稠筹囚[21]丑[25]舅[215]旧[55]臭就
ɕ	[52]休修溴搜艘[21]首手守[55]修绣嗅锈售兽
iɔ	
p	[52]彪飙标镖□{跳}[21]表婊俵[215]□{分发：~糖}
pʰ	[52]飘[22]瓢剽嫖[21]瞟漂{~白}[55]漂{~亮}票
m	[52]瞄[22]苗描渺缈[21]淼秒亩[215]庙妙
t	[52]鲷雕貂凋□{聪明}[22]□{惹}[21]刁叼[25]鸟[215]掉调{音~}钓吊
tʰ	[52]挑[22]跳调{~整}□{欺骗}[215]□{打}[55]粜
l	[22]燎疗辽潦聊[215]廖料
n	[22]□{爱打扮：~头}[215]尿
tɕ	[52]骄焦浇娇蕉郊[21]缴搅[215]叫{哭}
tɕʰ	[52]悄[22]桥乔瞧侨[21]巧撬[215]嚼轿[55]翘窍俏
ɕ	[52]消嚣箫萧肖销霄潇宵硝[21]小晓[215]效[55]孝笑
Ø	[52]腰邀妖幺要{~求}[22]瑶姚遥摇谣窑[21]舀[215]耀曜[55]要{想~}
iã	
k	[52]监奸艰间{中~}坚肩[21]减碱简拣[215]鉴谏
kʰ	[21]砍
