繁體	简体	聲韻	聲調	注釋		調值
器	器	tsʰɿ	35			
契	契	tsʰɿ	35	～約，田～		
寸	寸	tsʰœ	35			
從	从	tsʰoŋ	35	～容		
撰	撰	tsʰœ	35			
棄	弃	tsʰɿ	35			
次	次	tsʰɿ	35			
氣	气	tsʰɿ	35			
汽	汽	tsʰɿ	35			
湊	凑	tsʰəu	35			
瀙	瀙	tsʰɐŋ	35	冷也		
燦	灿	tsʰã	35			
疵	疵	tsʰɿ	35			
竄	窜	tsʰœ	35			
篡	篡	tsʰœ	35			
糙	糙	tsʰɔu	35			
纂	纂	tsʰœ	35			
翅	翅	tsʰɿ	35			
翠	翠	tsʰai	35			
脆	脆	tsʰai	35			
菜	菜	tsʰai	35			
蔡	蔡	tsʰa	35			
醋	醋	tsʰœ	35			
銼	锉	tsʰo	35			
世	世	sɿ	35			
俏	俏	sɔu	35	俊～		
信	信	sɐŋ	35			
勢	势	sɿ	35			
四	四	sɿ	35			
塑	塑	sœ	35			
宋	宋	soŋ	35			
帥	帅	sai	35			
悴	悴	sai	35			
戲	戏	sɿ	35			
掃	扫	sɔu	35			
散	散	sã	35			
數	数	sœ	35			
曬	晒	sa	35			
滲	渗	sɐŋ	35	～底來：滲進來		
漱	漱	su	35			
璽	玺	sɿ	35			
瘦	瘦	səu	35			
碎	碎	sai	35			
算	算	sœ	35			
粹	粹	sai	35			
素	素	sœ	35			
細	细	sɿ	35			
肆	肆	sɿ	35			
蒜	蒜	sœ	35			
訊	讯	sɐŋ	35			
訴	诉	sœ	35			
試	试	sɿ	35			
賜	赐	sɿ	35			
賽	赛	sai	35			
迅	迅	sɐŋ	35			
送	送	soŋ	35			
遜	逊	sœ	35	半邊		
鋭	鋭	sai	35	～利		
中	中	tɕioŋ	35	v		
仗	仗	tɕie	35	打～，別，戰		
供	供	tɕiɔ̃	35	做～		
俊	俊	tɕioŋ	35			
借	借	tɕiɔ	35			
價	价	tɕiɔ	35	文		
劍	剑	tɕie	35			
占	占	tɕie	35			
句	句	tɕy	35			
叫	叫	tɕiɔu	35			
咒	咒	tɕiəu	35			
圭	圭	tɕy	35			
圳	圳	tɕioŋ	35			
壯	壮	tɕiɔ̃	35	胖也，～肉		
嫁	嫁	tɕiɔ	35	文		
季	季	tɕy	35			
將	将	tɕiã	35			
建	建	tɕie	35			
戰	战	tɕie	35			
拄	拄	tɕy	35			
據	据	tɕy	35			
政	政	tɕiŋ	35			
救	救	tɕiəu	35			
敬	敬	tɕiŋ	35			
晝	昼	tɕiəu	35			
架	架	tɕiɔ	35	文		
桂	桂	tɕy	35			
槳	桨	tɕiã	35			
正	正	tɕiŋ	35			
注	注	tɕy	35			
浚	浚	tɕioŋ	35	疏～		
涓	涓	tɕyœ	35			
潰	溃	tɕy	35	半邊		
濺	溅	tɕiã	35			
灸	灸	tɕiəu	35			
照	照	tɕiɔu	35			
獎	奖	tɕiã	35			
症	症	tɕiŋ	35			
瘴	瘴	tɕiã	35			
癸	癸	tɕy	35			
眷	眷	tɕyœ	35			
種	种	tɕiɔ̃	35	v		
稼	稼	tɕiɔ	35			
究	究	tɕiəu	35			
竟	竟	tɕiŋ	35			
箭	箭	tɕie	35			
絹	绢	tɕyœ	35			
舂	舂	tɕioŋ	35			
著	着	tɕy	35			
葵	葵	tɕy	35	別，桂		
蔗	蔗	tɕiɔ	35			
蔣	蒋	tɕiã	35			
薦	荐	tɕiã	35	推～，草～		
蛀	蛀	tɕy	35			
衆	衆	tɕioŋ	35			
見	见	tɕie	35			
證	证	tɕiŋ	35			
貴	贵	tɕy	35	寶～		
贅	赘	tɕy	35	招～		
醉	醉	tɕy	35			
醬	酱	tɕiã	35			
醮	醮	tɕiɔu	35			
鋸	锯	tɕy	35	文		
鏡	镜	tɕiŋ	35			
鑄	铸	tɕy	35			
閨	闺	tɕy	35			
障	障	tɕiã	35			
駕	驾	tɕiɔ	35	文		
倡	倡	tɕʰiã	35			
券	券	tɕʰyœ	35			
勸	劝	tɕʰyœ	35			
去	去	tɕʰy	35	文		
唱	唱	tɕʰiã	35			
嗅	嗅	tɕʰiəu	35	半邊		
慶	庆	tɕʰiŋ	35			
暢	畅	tɕʰiã	35			
欠	欠	tɕʰie	35			
歉	歉	tɕʰie	35			
痊	痊	tɕʰyœ	35			
磬	磬	tɕʰiŋ	35			
秤	秤	tɕʰiŋ	35			
笑	笑	tɕʰiɔu	35			
翹	翘	tɕʰiɔu	35			
臭	臭	tɕʰiəu	35			
處	处	tɕʰy	35			
趣	趣	tɕʰy	35			
銃	铳	tɕʰioŋ	35			
馨	馨	tɕʰiŋ	35	別，磬		
勛	勛	ɕioŋ	35			
勝	胜	ɕiŋ	35			
卸	卸	ɕiɔ	35			
向	向	ɕiã	35			
姓	姓	ɕiŋ	35			
少	少	ɕiɔu	35	～爺		
庶	庶	ɕy	35			
性	性	ɕiŋ	35			
恕	恕	ɕy	35			
憲	宪	ɕiã	35			
扇	扇	ɕie	35			
搧	搧	ɕie	35			
朽	朽	ɕiəu	35			
楦	楦	ɕyœ	35			
歲	岁	ɕy	35			
況	况	ɕiɔ̃	35			
瀉	泻	ɕiɔ	35			
獸	兽	ɕiəu	35			
獻	献	ɕiã	35			
相	相	ɕiã	35			
秀	秀	ɕiəu	35			
稅	税	ɕy	35			
穗	穗	ɕy	35			
笑	笑	ɕiɔu	35	文		
絮	絮	ɕy	35	棉～		
線	线	ɕie	35			
緯	纬	ɕy	35	經～，蔣～國		
繡	绣	ɕiəu	35			
聖	圣	ɕiŋ	35			
興	兴	ɕiŋ	35			
舍	舍	ɕiɔ	35			
舜	舜	ɕioŋ	35			
荀	荀	ɕioŋ	35			
莧	苋	ɕiã	35	～菜		
訓	训	ɕioŋ	35			
詢	询	ɕioŋ	35			
諱	讳	ɕy	35			
赦	赦	ɕiɔ	35			
釁	衅	ɕiŋ	35			
鏽	锈	ɕiəu	35			
鞘	鞘	ɕiɔu	35			
吼	吼	həu	35			
喊	喊	hã	35			
夯	夯	hã	35			
孝	孝	hɔu	35			
放	放	hɔ̃	35			
耗	耗	həu	35			
蚶	蚶	hɛ	35	花～：瓦楞子		
酵	酵	hɔu	35	文，半邊		
彌	弥	mi	35			
無	无	m	35			
糜	糜	mi	35			
爾	尔	ȵi	35			
冇	冇	ŋ	35	「無樂」的合音：不要		
吝	吝	liŋ	35			
舔	舔	liã	35			
麼	幺	iɔu	35			
亞	亚	ɔ	35			
億	亿	i	35			
冗	冗	ioŋ	35			
印	印	iŋ	35			
厭	厌	ie	35			
吆	吆	iɔu	35			
咽	咽	iã	35			
啞	哑	ɔ	35			
堰	堰	iã	35			
壅	壅	iɔ̃	35	人糞肥		
奧	奥	ɔu	35			
宴	宴	iã	35			
幼	幼	iəu	35			
怨	怨	yœ	35			
意	意	i	35			
愛	爱	ɛ	35			
慧	慧	y	35	文		
慰	慰	y	35	～問		
憶	忆	i	35			
應	应	iŋ	35			
懊	懊	əu	35			
懊	懊	əu	35	～悔		
按	按	uɛ	35			
擁	拥	ioŋ	35			
晏	晏	iã	35	～子		
暗	暗	ɐŋ	35	天～罷		
杳	杳	iɔu	35			
案	案	uɛ	35			
泳	泳	ioŋ	35			
湧	涌	ioŋ	35			
澳	澳	əu	35	～大利亞		
燕	燕	iã	35			
甕	瓮	uoŋ	35			
甬	甬	ioŋ	35			
畏	畏	y	35	後生可～		
癔	癔	i	35			
穢	秽	y	35	淫～		
系	系	i	35			
腕	腕	uã	35			
蔭	荫	iŋ	35			
蝟	猬	y	35			
要	要	iɔu	35			
訛	讹	o	35			
詠	咏	ioŋ	35			
謂	谓	y	35			
雍	雍	ioŋ	35			
鞍	鞍	uɛ	35			
餧	餧	y	35			
丙	丙	piŋ	51			
保	保	pɔu	51			
俾	俾	pi	51			
匾	匾	piã	51			
反	反	pã	51	～轉		
□	□	pɔ	51	跌也		
堡	堡	pɔu	51			
寶	宝	pɔu	51			
彼	彼	pi	51			
扁	扁	piã	51			
把	把	pɔ	51			
擺	摆	pa	51			
本	本	pɐŋ	51			
板	板	pã	51			
榜	榜	pɔ̃	51			
比	比	pi	51			
沸	沸	pai	51			
版	版	pã	51			
疿	疿	pai	51			
秉	秉	piŋ	51			
稟	禀	piŋ	51			
綁	绑	pɔ̃	51			
表	表	piɔu	51			
補	补	pʏ	51			
褒	褒	pɔu	51			
謗	谤	pɔ̃	51			
貶	贬	piã	51			
阪	阪	pã	51			
飽	饱	pɔu	51			
餅	饼	piŋ	51			
剖	剖	pʰu	51			
品	品	pʰiŋ	51	～行		
拋	抛	pʰɔu	51			
捧	捧	pʰoŋ	51			
普	普	pʰu	51			
浦	浦	pʰu	51			
甫	甫	pʰu	51			
痞	痞	pʰi	51			
聘	聘	pʰiŋ	51			
譜	谱	pʰu	51			
跑	跑	pʰɔu	51			
鄙	鄙	pʰi	51	～人		
倒	倒	tɔu	51			
典	典	tiã	51			
剁	剁	to	51			
堵	堵	tʏ	51			
塚	冢	tiɔ̃	51	墳也，指用泥土堆成的土墩狀的墳，不同於溫州地區常見的椅子墳		
妒	妒	tʏ	51			
島	岛	tɔu	51			
底	底	ti	51			
懂	懂	toŋ	51			
戥	戥	tɛ	51			
打	打	tɔ	51	文		
抖	抖	təu	51			
抵	抵	ti	51			
撣	掸	tã	51			
擋	挡	tɔ̃	51			
朵	朵	to	51			
瞪	瞪	tɐŋ	51			
短	短	tœ	51			
禱	祷	tɔu	51			
等	等	tɛ	51			
肚	肚	tʏ	51			
腆	腆	tiã	51	半邊		
膽	胆	tã	51			
董	董	toŋ	51			
賭	赌	tʏ	51			
躲	躲	to	51			
陡	陡	təu	51			
頂	顶	tiŋ	51			
鬥	斗	təu	51			
點	点	tiã	51			
黨	党	tɔ̃	51			
鼎	鼎	tiŋ	51			
倘	倘	tʰɔ̃	51			
土	土	tʰʏ	51			
坦	坦	tʰã	51			
妥	妥	tʰo	51			
挺	挺	tʰiŋ	51			
捅	捅	tʰoŋ	51			
敨	敨	tʰəu	51			
橢	椭	tʰo	51			
毯	毯	tʰã	51			
統	统	tʰoŋ	51			
腿	腿	tʰai	51			
艇	艇	tʰiŋ	51			
討	讨	tʰɔu	51			
趟	趟	tʰɔ̃	51			
躺	躺	tʰɔ̃	51			
體	体	tʰi	51			
乖	乖	kua	51			
假	假	kɔ	51			
剮	剐	kuɔ	51	千刀萬～		
古	古	kʏ	51			
咬	咬	kɔu	51	半邊		
哽	哽	kãi	51			
垢	垢	kəu	51			
埂	埂	kãi	51			
堿	碱	kã	51			
寡	寡	kuɔ	51	守～		
幾	几	kɛ	51			
廣	广	kɔ̃	51			
感	感	kɛ	51			
拐	拐	kua	51			
拱	拱	koŋ	51			
揀	拣	kã	51			
搞	搞	kɔu	51			
攪	搅	kʏ	51			
改	改	kɛ	51			
敢	敢	kɛ	51			
果	果	kuɔ	51			
柬	柬	kã	51			
梗	梗	kãi	51	桔～		
梗	梗	kuã	51			
汞	汞	koŋ	51			
減	减	kã	51			
港	港	kɔ̃	51			
滾	滚	kuɐŋ	51			
牯	牯	ku	51	文		
牯	牯	kʏ	51			
狗	狗	kəu	51			
狡	狡	kɔu	51			
稈	秆	kuœ	51			
稿	稿	kəu	51			
管	管	kuã	51			
絞	绞	kɔu	51			
耿	耿	kãi	51			
股	股	ku	51			
苟	苟	kəu	51			
裹	裹	kuɔ	51			
襉	襉	kã	51			
解	解	ka	51			
講	讲	kɔ̃	51			
趕	赶	kuœ	51			
鉸	铰	kɔu	51			
鐧	锏	kã	51			
鞏	巩	koŋ	51			
館	馆	kuã	51			
馃	馃	kuɔ	51			
鬼	鬼	kuai	51			
鼓	鼓	kʏ	51			
凱	凯	kʰɛ	51			
口	口	kʰəu	51			
可	可	kʰo	51			
困	困	kʰuɐŋ	51			
墾	垦	kʰɐŋ	51			
孔	孔	kʰoŋ	51			
巧	巧	kʰɔu	51			
懇	恳	kʰɐŋ	51			
捆	捆	kʰuɐŋ	51			
控	控	kʰoŋ	51			
棵	棵	kʰuɔ	51			
楷	楷	kʰɛ	51			
款	款	kʰuã	51			
犒	犒	kʰɔu	51	～賞		
考	考	kʰɔu	51			
肯	肯	kʰɛ	51			
艦	舰	kʰã	51	軍～		
苦	苦	kʰʏ	51			
顆	颗	kʰuɔ	51			
俯	俯	fʏ	51			
俸	俸	foŋ	51			
匪	匪	fi	51			
反	反	fã	51	文		
否	否	fɔu	51			
哄	哄	foŋ	51			
夥	伙	fɔ	51			
府	府	fʏ	51			
撫	抚	fu	51			
斧	斧	fʏ	51			
榧	榧	fi	51			
毀	毁	fai	51	文		
沸	沸	fi	51	文		
滸	浒	fʏ	51			
火	火	fɔ	51			
甫	甫	fu	51	少		
疿	疿	fi	51	文		
粉	粉	fɐŋ	51			
罕	罕	fɛ	51			
腑	腑	fʏ	51			
虎	虎	fʏ	51			
賄	贿	fai	51			
輔	辅	fʏ	51			
釜	釜	fʏ	51			
鬨	鬨	foŋ	51			
僅	仅	tsɐŋ	51			
只	只	tsɿ	51			
址	址	tsɿ	51			
姊	姊	tsɿ	51			
子	子	tsɿ	51			
宰	宰	tsɛ	51			
左	左	tso	51	～只手		
己	己	tsɿ	51			
幾	几	tsɿ	51	～乎		
幾	几	tsɿ	51	文		
找	找	tsɔu	51			
指	指	tsɿ	51			
斬	斩	tsã	51			
旨	旨	tsɿ	51			
早	早	tsɔu	51			
朕	朕	tsɐŋ	51			
枕	枕	tsɐŋ	51			
梓	梓	tsɿ	51			
棗	枣	tsɔu	51			
止	止	tsɿ	51			
滓	滓	tsɛ	51	半邊		
澡	澡	tsɔu	51			
煮	煮	tsɿ	51			
爪	爪	tsɔu	51			
盞	盏	tsã	51			
祖	祖	tsœ	51			
紀	纪	tsɿ	51			
紙	纸	tsɿ	51			
紫	紫	tsɿ	51			
組	组	tsu	51			
緊	紧	tsɐŋ	51			
總	总	tsoŋ	51			
脂	脂	tsɿ	51			
蚤	蚤	tsɔu	51			
謹	谨	tsɐŋ	51			
走	走	tsəu	51			
錦	锦	tsɐŋ	51			
鏨	錾	tsã	51	半邊		
阻	阻	tsu	51			
企	企	tsʰɿ	51			
侈	侈	tsʰɿ	51			
侵	侵	tsʰɐŋ	51			
吵	吵	tsʰɔu	51			
啓	啓	tsʰɿ	51			
寢	寝	tsʰɐŋ	51			
彩	彩	tsʰɛ	51			
忖	忖	tsʰœ	51			
恥	耻	tsʰɿ	51			
慘	惨	tsʰɛ	51			
措	措	tsʰo	51	又		
措	措	tsʰœ	51	～施		
杞	杞	tsʰɿ	51			
楚	楚	tsʰu	51			
此	此	tsʰɿ	51			
炒	炒	tsʰɔu	51			
癡	痴	tsʰɿ	51			
睬	睬	tsʰɛ	51			
礎	础	tsʰu	51			
草	草	tsʰɔu	51			
襯	衬	tsʰɐŋ	51			
豈	岂	tsʰɿ	51			
起	起	tsʰɿ	51			
趁	趁	tsʰɐŋ	51			
趾	趾	tsʰɿ	51			
采	采	tsʰɛ	51			
鏟	铲	tsʰã	51	鑊～		
鼠	鼠	tsʰɿ	51			
齒	齿	tsʰɿ	51			
使	使	sɿ	51			
傘	伞	sã	51			
叟	叟	səu	51			
史	史	sɿ	51			
喜	喜	sɿ	51			
嗓	嗓	sɔ̃	51			
嗽	嗽	səu	51			
始	始	sɿ	51			
婿	婿	sɿ	51			
嫂	嫂	sɔu	51			
嬸	婶	sɐŋ	51			
審	审	sɐŋ	51			
徙	徙	sɿ	51			
所	所	so	51			
損	损	sœ	51			
搡	搡	sɔ̃	51			
死	死	sɿ	51			
沈	沈	sɐŋ	51			
洗	洗	sɿ	51			
灑	洒	sa	51			
灑	洒	sɔ	51			
爽	爽	sɔ̃	51			
瑣	琐	so	51			
產	产	sã	51	～品，出～		
省	省	sãi	51			
磉	磉	sɔ̃	51			
稍	稍	sɔu	51			
耍	耍	sɔ	51			
蟢	蟢	sɿ	51			
鎖	锁	so	51			
駛	驶	sɿ	51			
主	主	tɕy	51			
久	久	tɕiəu	51			
九	九	tɕiəu	51			
井	井	tɕiŋ	51			
假	假	tɕiɔ	51	文		
僥	侥	tɕiɔu	51			
准	准	tɕioŋ	51			
剪	剪	tɕiã	51			
勁	劲	tɕiŋ	51			
卷	卷	tɕyœ	51			
咎	咎	tɕiəu	51			
嘴	嘴	tɕy	51	口～		
境	境	tɕiŋ	51			
展	展	tɕie	51			
帚	帚	tɕiəu	51			
徑	径	tɕiŋ	51			
拯	拯	tɕiŋ	51			
掌	掌	tɕiã	51			
整	整	tɕiŋ	51			
景	景	tɕiŋ	51			
檢	检	tɕie	51			
瞻	瞻	tɕie	51			
矩	矩	tɕy	51			
矯	矫	tɕiɔu	51	～正		
碾	碾	tɕie	51	半邊		
種	种	tɕiɔ̃	51	n		
筧	笕	tɕie	51			
糾	纠	tɕiəu	51			
繭	茧	tɕie	51			
繳	缴	tɕiɔu	51			
者	者	tɕiɔ	51			
肘	肘	tɕiəu	51			
腫	肿	tɕiɔ̃	51			
舉	举	tɕy	51			
賈	贾	tɕiɔ	51			
趼	趼	tɕie	51			
踐	践	tɕie	51			
軌	轨	tɕy	51			
轉	转	tɕyœ	51			
酒	酒	tɕiəu	51			
長	长	tɕiã	51			
韭	韭	tɕiəu	51			
頸	颈	tɕiŋ	51			
餃	饺	tɕiɔu	51			
且	且	tɕʰiɔ	51			
串	串	tɕʰioŋ	51	一～		
厰	厰	tɕʰiã	51			
取	取	tɕʰy	51			
喘	喘	tɕʰyœ	51			
娶	娶	tɕʰy	51			
強	强	tɕʰiã	51	勉～		
恐	恐	tɕʰiɔ̃	51			
扯	扯	tɕʰiɔ	51	～鑽		
搶	抢	tɕʰiã	51			
淺	浅	tɕʰie	51			
犬	犬	tɕʰyœ	51			
窘	窘	tɕʰioŋ	51			
竅	窍	tɕʰiɔu	51			
菌	菌	tɕʰioŋ	51			
蠢	蠢	tɕʰioŋ	51			
請	请	tɕʰiŋ	51			
遣	遣	tɕʰie	51			
醜	丑	tɕʰiəu	51			
闖	闯	tɕʰiɔ̃	51			
頃	顷	tɕʰioŋ	51			
享	享	ɕiã	51			
囂	嚣	ɕiɔu	51			
守	守	ɕiəu	51			
寫	写	ɕiɔ	51			
小	小	ɕiɔu	51			
少	少	ɕiɔu	51			
想	想	ɕiã	51			
手	手	ɕiəu	51			
數	数	ɕy	51	v		
暑	暑	ɕy	51			
曉	晓	ɕiɔu	51			
榫	榫	ɕioŋ	51			
毀	毁	ɕy	51			
水	水	ɕy	51			
癬	癣	ɕie	51			
省	省	ɕiŋ	51			
筍	笋	ɕioŋ	51			
許	许	ɕy	51			
賞	赏	ɕiã	51			
選	选	ɕyœ	51			
醒	醒	ɕiŋ	51			
險	险	ɕie	51			
響	响	ɕiã	51			
顯	显	ɕiã	51			
餉	饷	ɕiã	51			
首	首	ɕiəu	51			
鯗	鲞	ɕiã	51			
黍	黍	ɕy	51			
仿	仿	hɔ̃	51			
好	好	həu	51			
彷	彷	hɔ̃	51			
很	很	hɐŋ	51			
憾	憾	hã	51			
晃	晃	hɔ̃	51			
海	海	hɛ	51			
紡	纺	hɔ̃	51			
肪	肪	hɔ̃	51			
蟹	蟹	ha	51			
訪	访	hɔ̃	51			
謊	谎	hɔ̃	51			
駭	骇	hɛ	51			
免	免	mie	51			
勉	勉	mie	51			
卯	卯	mɔu	51			
妙	妙	miɔu	51			
妹	妹	mɛ	51	小孩		
媽	妈	mɔ	51			
尾	尾	mai	51			
幔	幔	mã	51			
憫	悯	miŋ	51			
懵	懵	moŋ	51	～古		
拇	拇	mu	51	文		
拇	拇	m	51			
敏	敏	miŋ	51			
晚	晚	mã	51			
某	某	məu	51			
母	母	mu	51	文		
母	母	m	51			
每	每	mai	51			
渺	渺	miɔu	51			
滿	满	mɛ	51			
漫	漫	mã	51			
澠	渑	miŋ	51			
牡	牡	miɔu	51			
牡	牡	məu	51	文		
猛	猛	mã	51			
畝	亩	məu	51			
皿	皿	miŋ	51			
碼	码	mɔ	51			
秒	秒	miɔu	51			
米	米	mi	51			
網	网	mɔ̃	51			
罵	骂	mɔ	51			
美	美	mi	51			
舞	舞	mʏ	51	～龍		
莽	莽	mɔ̃	51			
藐	藐	miɔu	51			
蟒	蟒	mɔ̃	51			
謬	谬	miɔu	51			
買	买	ma	51			
銘	铭	miŋ	51			
閩	闽	miŋ	51			
乃	乃	nãi	51			
努	努	nʏ	51			
哪	哪	nɔ	51			
囡	囡	nãi	51	女兒		
奶	奶	nãi	51			
惱	恼	nɔu	51			
打	打	nãi	51			
暖	暖	nœ	51	文		
暖	暖	nɐŋ	51			
腦	脑	nɔu	51			
那	那	nɔ	51			
仰	仰	ȵiã	51			
你	你	ȵi	51			
儼	俨	ȵie	51			
冉	冉	ȵie	51			
女	女	ȵy	51			
尿	尿	ȵiɔu	51			
忍	忍	ȵiŋ	51			
惹	惹	ȵiɔ	51			
扭	扭	ȵiəu	51			
擬	拟	ȵi	51			
染	染	ȵie	51			
紐	纽	ȵiəu	51			
蟻	蚁	ȵi	51	文		
語	语	ȵy	51			
議	议	ȵi	51			
軟	软	ȵyœ	51			
阮	阮	ȵyœ	51			
鳥	鸟	ȵiɔu	51	文		
五	五	ŋʏ	51			
伍	伍	ŋʏ	51			
偶	偶	ŋəu	51			
午	午	ŋʏ	51			
我	我	ŋo	51			
拗	拗	ŋɔu	51			
眼	眼	ŋã	51			
藕	藕	ŋəu	51			
雅	雅	ŋɔ	51	文～，～陽：地名		
了	了	liɔu	51			
儡	儡	lai	51			
兩	两	liã	51			
冷	冷	lãi	51			
卵	卵	lɐŋ	51	雞～，鴨～		
另	另	liŋ	51			
呂	吕	lʏ	51			
壘	垒	lai	51			
壟	垄	loŋ	51			
屢	屡	lʏ	51			
履	履	lʏ	51			
嶺	岭	liŋ	51			
懶	懒	lã	51			
摞	摞	lai	51	別，壘		
摟	搂	ləu	51			
攏	拢	loŋ	51			
攬	揽	lã	51			
旅	旅	lʏ	51			
朗	朗	lɔ̃	51			
李	李	li	51			
柳	柳	liəu	51			
櫓	橹	lʏ	51			
欖	榄	lã	51			
溜	溜	liəu	51			
濫	滥	lã	51			
理	理	li	51			
禮	礼	li	51			
簍	篓	ləu	51			
累	累	lai	51			
縷	缕	lʏ	51			
纜	缆	lã	51			
老	老	lɔu	51			
臉	脸	lie	51			
虜	虏	lʏ	51			
裏	里	li	51			
裸	裸	lo	51			
覽	览	lã	51			
輛	辆	liã	51			
隴	陇	loŋ	51			
領	领	liŋ	51			
餾	馏	liəu	51			
魯	鲁	lʏ	51			
鯉	鲤	li	51			
鹵	卤	lʏ	51			
亥	亥	ɛ	51			
以	以	i	51			
侮	侮	u	51			
倚	倚	i	51			
偉	伟	y	51	～大		
允	允	ioŋ	51			
刎	刎	uɐŋ	51			
剜	剜	uã	51			
勇	勇	ioŋ	51			
友	友	iəu	51			
吻	吻	uɐŋ	51			
委	委	y	51			
宇	宇	y	51			
宛	宛	uã	51			
尹	尹	ioŋ	51			
已	已	i	51			
幸	幸	ãi	51			
引	引	iŋ	51			
影	影	iŋ	51			
往	往	iɔ̃	51			
後	后	əu	51			
戶	户	ʏ	51			
挽	挽	uã	51			
掩	掩	ie	51			
旱	旱	uɛ	51			
映	映	iŋ	51			
有	有	iəu	51			
杏	杏	ãi	51			
枉	枉	iɔ̃	51			
椅	椅	i	51			
武	武	u	51			
永	永	ioŋ	51			
汪	汪	ɔ̃	51			
浩	浩	əu	51			
淹	淹	ie	51			
溫	温	uɛ	51			
滬	沪	ʏ	51			
演	演	ie	51			
瑕	瑕	ɔ	51			
瓦	瓦	uɔ	51	～片		
癢	痒	iã	51			
皖	皖	uã	51			
矮	矮	a	51			
碗	碗	uã	51			
禍	祸	uɔ	51			
禹	禹	y	51			
穎	颖	iŋ	51			
穩	稳	uɐŋ	51	文		
緩	缓	uã	51			
羽	羽	y	51			
舀	舀	iɔu	51			
與	与	y	51			
舞	舞	u	51	文		
莠	莠	iəu	51			
萎	萎	y	51			
葦	苇	y	51	蘆～		
蝦	虾	ɔ	51			
蝸	蜗	uɔ	51			
襖	袄	ɔu	51			
豌	豌	uã	51			
遐	遐	ɔ	51			
遠	远	yœ	51			
邀	邀	iɔu	51			
酉	酉	iəu	51			
野	野	iɔ	51			
閹	阉	ie	51			
限	限	ã	51			
隱	隐	iŋ	51			
雅	雅	iɔ	51	文		
雨	雨	y	51			
霞	霞	ɔ	51			
項	项	ɔ̃	51			
飲	饮	iŋ	51			
養	养	iã	51			
魘	魇	ie	51	～起來		
鵡	鹉	u	51			
便	便	pie	42			
傍	傍	pɔ̃	42			
坪	坪	piŋ	42			
培	培	pai	42			
婆	婆	pu	42			
嫖	嫖	piɔu	42			
屏	屏	piŋ	42			
平	平	piŋ	42			
彭	彭	pã	42			
憑	凭	piŋ	42			
排	排	pa	42			
搬	搬	pɛ	42			
旁	旁	pɔ̃	42			
朋	朋	pɛ	42			
杷	杷	pɔ	42			
枇	枇	pi	42			
棚	棚	poŋ	42			
滂	滂	pɔ̃	42			
爬	爬	pɔ	42			
爿	爿	pã	42			
牌	牌	pa	42			
琵	琵	pi	42			
琶	琶	pɔ	42			
瓢	瓢	piɔu	42			
瓶	瓶	piŋ	42			
疲	疲	pi	42			
皮	皮	pi	42			
盆	盆	pɛ	42	別，盤		
盤	盘	pɛ	42			
篷	篷	poŋ	42			
簰	簰	pa	42			
縫	缝	poŋ	42	v		
耙	耙	pɔ	42			
胞	胞	pɔu	42			
脯	脯	pu	42			
脾	脾	pi	42			
膨	膨	pã	42			
般	般	pɛ	42			
菩	菩	pu	42			
萍	萍	piŋ	42			
蒲	蒲	pu	42			
蓬	蓬	poŋ	42			
螃	螃	pɔ̃	42			
袍	袍	pɔu	42			
裴	裴	pai	42			
評	评	piŋ	42			
貧	贫	piŋ	42			
賠	赔	pai	42			
鈀	钯	pɔ	42			
陪	陪	pai	42			
頻	频	piŋ	42			
馮	冯	poŋ	42			
亭	亭	tiŋ	42			
停	停	tiŋ	42			
同	同	toŋ	42			
唐	唐	tɔ̃	42			
啼	啼	ti	42			
囤	囤	tɐŋ	42			
圖	图	tʏ	42			
團	团	tœ	42	綫～		
團	团	tɐŋ	42	一～糕		
堂	堂	tɔ̃	42			
堤	堤	ti	42			
塗	涂	tʏ	42			
塘	塘	tɔ̃	42			
填	填	tiã	42			
壇	坛	tã	42			
屠	屠	tʏ	42			
屯	屯	tɐŋ	42			
庭	庭	tiŋ	42			
廷	廷	tiŋ	42			
彈	弹	tã	42	v		
徒	徒	tʏ	42			
投	投	təu	42			
抬	抬	tɛ	42			
掏	掏	tɔu	42			
提	提	ti	42			
桃	桃	tɔu	42			
桐	桐	toŋ	42			
條	条	tiɔu	42			
棠	棠	tɔ̃	42			
檀	檀	tã	42			
沌	沌	tɐŋ	42			
淘	淘	tɔu	42			
潭	潭	tɛ	42			
澹	澹	tɛ	42	濕也		
濤	涛	tɔu	42			
甜	甜	tiã	42			
田	田	tiã	42			
痰	痰	tã	42			
瞳	瞳	toŋ	42			
童	童	toŋ	42			
筒	筒	toŋ	42			
糖	糖	tɔ̃	42			
臀	臀	tœ	42			
臺	台	tɛ	42			
苔	苔	tɛ	42	湖～		
萄	萄	tɔu	42			
藤	藤	tɐŋ	42			
蜓	蜓	tiŋ	42			
螳	螳	tɔ̃	42			
誕	诞	tã	42			
談	谈	tã	42			
謄	誊	tɛ	42			
譚	谭	tɛ	42			
豚	豚	tɐŋ	42			
蹄	蹄	ti	42			
逃	逃	tɔu	42			
途	途	tʏ	42			
銅	铜	toŋ	42			
錢	钱	tie	42			
長	长	tɛ	42	～年：長工		
陀	陀	to	42			
陶	陶	tɔu	42			
頭	头	təu	42			
頽	頽	tai	42			
題	题	ti	42			
飩	饨	tɐŋ	42			
馱	驮	to	42			
駝	驼	to	42			
騰	腾	tɛ	42			
龍	龙	tiɔ̃	42			
