繁體	简体	聲韻	聲調	注釋		調值
窗	窗	tsʰɔ̃	224			
筐	筐	tsʰɔ̃	224			
粗	粗	tsʰœ	224			
聰	聪	tsʰoŋ	224			
蒼	苍	tsʰɔ̃	224			
蔥	葱	tsʰoŋ	224			
親	亲	tsʰɐŋ	224			
釵	钗	tsʰa	224			
鈔	钞	tsʰɔu	224			
雌	雌	tsʰɿ	224			
餐	餐	tsʰã	224			
三	三	sã	224			
伸	伸	sɐŋ	224	文		
傻	傻	so	224			
僧	僧	sɛ	224			
刪	删	sã	224			
參	参	sɐŋ	224	人～		
司	司	sɿ	224			
唆	唆	so	224			
喪	丧	sɔ̃	224			
嬉	嬉	sɿ	224			
孫	孙	sœ	224			
屍	尸	sɿ	224			
屎	屎	sɿ	224			
山	山	sã	224			
嵩	嵩	soŋ	224			
希	希	sɿ	224			
師	师	sɿ	224			
廝	厮	sɿ	224			
心	心	sɐŋ	224			
思	思	sɿ	224			
憎	憎	sɛ	224			
捎	捎	sɔu	224	～馬袋		
掀	掀	sɐŋ	224	半邊		
搜	搜	səu	224			
撕	撕	sɿ	224			
斯	斯	sɿ	224			
新	新	sɐŋ	224			
施	施	sɿ	224			
杉	杉	sã	224			
松	松	soŋ	224	文		
松	松	soŋ	224			
桑	桑	sɔ̃	224			
梭	梭	so	224			
梳	梳	sɿ	224	～頭，頭～		
森	森	sɐŋ	224			
欣	欣	sɐŋ	224			
沙	沙	sɔ	224			
熙	熙	sɿ	224			
牲	牲	sãi	224			
犀	犀	sɿ	224			
犧	牺	sɿ	224			
獅	狮	sɿ	224			
珊	珊	sã	224			
生	生	sãi	224			
甥	甥	sãi	224			
申	申	sɐŋ	224			
疏	疏	sœ	224	文		
疏	疏	sœ	224			
疏	疏	sɔ	224			
疝	疝	sã	224	半邊		
矢	矢	sɿ	224			
私	私	sɿ	224			
稀	稀	sɿ	224			
笙	笙	sãi	224			
篩	筛	sa	224	～酒		
篩	筛	sɿ	224			
紗	纱	sɔ	224			
絲	丝	sɿ	224			
腮	腮	sɿ	224	半邊		
臊	臊	sɔu	224			
莎	莎	sɔ	224	半邊		
蓑	蓑	so	224			
蔬	蔬	sœ	224			
薪	薪	sɐŋ	224			
蘇	苏	sœ	224			
衫	衫	sã	224			
衰	衰	sai	224			
西	西	sɿ	224			
詩	诗	sɿ	224			
蹭	蹭	sɛ	224	別，僧		
身	身	sɐŋ	224			
辛	辛	sɐŋ	224			
酥	酥	sœ	224			
酸	酸	sœ	224			
颼	飕	səu	224			
餿	馊	səu	224			
騷	骚	sɔu	224			
鰓	鳃	sɿ	224	半邊		
中	中	tɕioŋ	224			
京	京	tɕiŋ	224			
供	供	tɕiɔ̃	224			
僵	僵	tɕiã	224			
兼	兼	tɕie	224			
加	加	tɕiɔ	224	文		
勁	劲	tɕiŋ	224			
召	召	tɕiɔu	224			
君	君	tɕioŋ	224			
周	周	tɕiəu	224			
嘉	嘉	tɕiɔ	224	文		
均	均	tɕioŋ	224			
堅	坚	tɕie	224			
嬌	娇	tɕiɔu	224			
宮	宫	tɕioŋ	224			
家	家	tɕiɔ	224	文		
專	专	tɕyœ	224			
尖	尖	tɕie	224			
居	居	tɕy	224			
州	州	tɕiəu	224			
弓	弓	tɕioŋ	224			
征	征	tɕiŋ	224			
忠	忠	tɕioŋ	224			
恭	恭	tɕiɔ̃	224			
懲	惩	tɕiŋ	224	半邊		
拘	拘	tɕy	224			
招	招	tɕiɔu	224			
捐	捐	tɕyœ	224			
掮	掮	tɕie	224	半邊		
擎	擎	tɕiŋ	224	半邊		
昭	昭	tɕiɔu	224			
晶	晶	tɕiŋ	224			
朝	朝	tɕiɔu	224	明～日		
朱	朱	tɕy	224			
株	株	tɕy	224			
樟	樟	tɕiã	224			
樵	樵	tɕiɔu	224	半邊		
正	正	tɕiŋ	224			
歸	归	tɕy	224	～去來兮		
氈	毡	tɕie	224			
沼	沼	tɕiɔu	224			
津	津	tɕioŋ	224			
洲	洲	tɕiəu	224			
漿	浆	tɕiã	224			
澆	浇	tɕiɔu	224			
焦	焦	tɕiɔu	224			
煎	煎	tɕie	224			
獐	獐	tɕiã	224			
珠	珠	tɕy	224			
疆	疆	tɕiã	224			
盅	盅	tɕiɔ̃	224			
睛	睛	tɕiŋ	224			
瞧	瞧	tɕiɔu	224	半邊		
硃	硃	tɕy	224			
磚	砖	tɕyœ	224			
章	章	tɕiã	224			
箋	笺	tɕie	224			
精	精	tɕiŋ	224			
終	终	tɕioŋ	224			
經	经	tɕiŋ	224			
羌	羌	tɕiã	224	別，薑		
肩	肩	tɕie	224			
舟	舟	tɕiəu	224			
荊	荆	tɕiŋ	224			
莖	茎	tɕiŋ	224			
蒸	蒸	tɕiŋ	224			
蕉	蕉	tɕiɔu	224			
薑	姜	tɕiã	224			
蛛	蛛	tɕy	224	文		
規	规	tɕy	224			
詔	诏	tɕiɔu	224			
誅	诛	tɕy	224			
諸	诸	tɕy	224			
躬	躬	tɕioŋ	224			
車	车	tɕy	224			
軍	军	tɕioŋ	224			
追	追	tɕy	224			
逵	逵	tɕy	224			
遮	遮	tɕiɔ	224			
遵	遵	tɕioŋ	224	又		
鈞	钧	tɕioŋ	224			
鍾	锺	tɕiɔ̃	224			
