来源：	韩昆瑜 2020《山西文水开栅方言语音研究》；Hynuza, Skanda 整理录入
kʰ	［3］块{一～}［5］会{～计}快筷
x	［1］恢灰回茴{～香}怀槐淮［3］悔［5］会{～不会}会{开～}坏□{相当于量词“个”}
Ø	［1］歪［3］崴□{形容人拖拖拉拉}［5］外
#ɯ
p	［1］波婆-{～姨}菠{～菜}播玻［3］跛簸{～一～}［5］簸{～箕}
pʰ	［1］颇坡婆={麻～豆腐}［3］□{～命：豁出命去}［5］破
m	［1］磨{～刀}蘑摩□{形容小孩爱乱动}魔馍［3］抹{～粉}［5］磨{石～}
t	［1］多驼-{骆～}驮-{～买}［5］大-{～小}
tʰ	［1］拖驼={～背}驮={～买}［3］□{～脸：拉着脸}
n	［1］挪
l	［1］箩锣萝骡罗螺{～蛳}逻［3］□{碰到某物}
ts	［1］遮知-{～道}迟-{～了}蒸-{～馍馍}［3］者［5］治-{政～}郑-{～家庄，地名}正-{～好好}
tsʰ	［1］车{～子}□{能～：形容人啥也干不了}痴-{～呆}［3］扯□{被鞭子甩到}［5］措错-{～了}撤={～走}
s	［1］蛇奢赊绳-{～～}升-{～子：量粮食的容器}声-{～音}城-{东旧～，地名}盛{～饭}成-{～村，地名}［3］舍［5］社射麝{～香}赦世-{～上}剩-{～下}□{不～气：形容气味不好闻}
ʐ	［3］惹
k	［1］歌哥={～～}［5］个{～人，一～}
kʰ	［1］苛轲［3］可={～以}岢{～岚}［5］□{～哪里：到处}
ŋ	［1］蛾鹅俄讹□{排泄}［3］我［5］饿
x	［1］河何荷{～花}荷{薄～}禾［3］□{拿上}［5］贺
#uɯ
t	［1］□{圆～～：圆形}□{摔；拍打}［3］朵躲［5］舵{～手}惰垛{柴～}剁跺堕
tʰ	［3］妥椭［5］唾{～液，～沫}
l	［5］摞{～起来}
ts	［5］坐座
tsʰ	［1］搓［3］□{绳子或鞭子甩到身上}［5］错{～杂}锉错={～误}
s	［1］梭蓑［3］锁琐{～碎}
k	［1］锅［3］果裹［5］过
kʰ	［1］棵科颗{一～珠}［3］颗{～粒}［5］课阔-{～气}骒{～马：母马}
x	［1］和{～气}和{～面}［3］火={上～}伙［5］祸货
Ø	［1］倭窝蜗［3］□{折坏}［5］卧涴{弄脏}
#ʊ
p	［1］帮-{～忙}［3］绑-{～住}膀-{翅～}［5］棒-{～子}
pʰ	［5］□{饱满}
m	［1］忙{帮～}芒-{～种}
t	［1］裆{～里}［3］挡-{～住}［5］当-{～铺}荡-{～灰}
tʰ	［1］汤-{～～}糖-{黑～}［3］躺{～下}［5］烫{～人}
n	［1］□{～肉：赘肉}［3］□{推}□{～吃～喝：过度地吃喝}［5］齉{～鼻子}
l	［1］狼{动物}［3］裸{～体}［5］浪-{～儿}
ts	［1］脏-{日～：不干净}装-{～下}长-{～短}□{整～：整齐}肠-{～子}张-{～开}庄-{～儿}将-{黑～来}瘴{乌烟～气}［3］左={～面}佐长-{～个子}涨{～价}［5］丈{～人}匠{木～}帐-{～儿}账-{～儿}胀-{肚～}
tsʰ	［1］常-{～来}双-{一～}霜-{～降}［3］场-{～子}闯-{～荡}厂-{～里}［5］唱双{～生生}
s	［1］桑-{～葚}疮-{漏～}床-{～～}伤-{～口}尝{～一下}裳{衣～}窗-{～子}［3］嗓所晌{前～，歇～}［5］上-{～山}
ʐ	［1］瓤{瓜～}［3］嚷［5］让-{～开}
k	［1］光-{～棍}［3］哥-{～儿}［5］刚{～去}
kʰ	［1］康-{姓}糠筐{～～}［3］扛{～不住}［5］炕
x	［1］荒{～地}慌{着～}黄{～色}方-{四～}房-{～子}防-{～备}［3］纺-{～线}访-{～问}［5］晃{～眼}放-{～羊儿}巷{～～}
Ø	［1］王-{～子}［3］网-{～～}［5］忘{～了}旺-{～火}
#iʊ
l	［1］良-{～武，地名}凉{着～}量-{～一下}粮-{～食}［5］亮-{明～}凉{～一～}
tɕ	［1］藏-{圪～}将-{下棋动作}墙-{～儿}豇{～豆}强-{心～}［3］□{铲}［5］姜{鲜～}酱-{～油}
tɕʰ	［1］悄{～～地}枪-{手～}［3］抢-{～东西}［5］呛{～人}
ȵ	［1］娘-{～～：奶奶}
ɕ	［1］箱-{～子}镶香-{～味}降-{投～}相-{～对象}［3］想-{～一下}享-{分～}响-{～声}［5］象-{～儿}像-{长得～}橡{～树}相-{～貌}向-{～阳}
